Date,Elevation (ft)
1/1/00,1522.75
1/2/00,1523.1
1/3/00,1523.87
1/4/00,1524.23
1/5/00,1524.28
1/6/00,1523.02
1/7/00,1524.79
1/8/00,1524.78
1/9/00,1524.76
1/10/00,1524.75
1/11/00,1524.7
1/12/00,1524.74
1/13/00,1524.72
1/14/00,1524.76
1/15/00,1524.72
1/16/00,1524.73
1/17/00,1524.74
1/18/00,1524.74
1/19/00,1524.72
1/20/00,1524.71
1/21/00,1524.71
1/22/00,1524.69
1/23/00,1524.67
1/24/00,1524.68
1/25/00,1524.68
1/26/00,1524.68
1/27/00,1524.67
1/28/00,1524.67
1/29/00,1524.67
1/30/00,1524.67
1/31/00,1524.67
2/1/00,1524.65
2/2/00,1524.65
2/3/00,1524.66
2/4/00,1524.63
2/5/00,1524.63
2/6/00,1524.61
2/7/00,1524.66
2/8/00,1524.66
2/9/00,1524.72
2/10/00,1524.72
2/11/00,1524.73
2/12/00,1524.71
2/13/00,1524.72
2/14/00,1524.72
2/15/00,1524.72
2/16/00,1524.76
2/17/00,1524.72
2/18/00,1524.74
2/19/00,1524.7
2/20/00,1524.72
2/21/00,1524.71
2/22/00,1524.77
2/23/00,1524.81
2/24/00,1524.83
2/25/00,1524.78
2/26/00,1524.77
2/27/00,1524.76
2/28/00,1524.83
2/29/00,1524.81
3/1/00,1524.82
3/2/00,1524.88
3/3/00,1524.87
3/4/00,1524.86
3/5/00,1524.87
3/6/00,1525.04
3/7/00,1525.07
3/8/00,1525.1
3/9/00,1525.09
3/10/00,1525.11
3/11/00,1525.1
3/12/00,1525.07
3/13/00,1525.42
3/14/00,1525.68
3/15/00,1525.71
3/16/00,1525.85
3/17/00,1527.11
3/18/00,1528.09
3/19/00,1528.11
3/20/00,1528.07
3/21/00,1528.1
3/22/00,1528.06
3/23/00,1528.01
3/24/00,1528.01
3/25/00,1527.98
3/26/00,1527.98
3/27/00,1527.94
3/28/00,1527.95
3/29/00,1527.94
3/30/00,1527.94
3/31/00,1527.89
4/1/00,1527.89
4/2/00,1527.86
4/3/00,1527.83
4/4/00,1527.82
4/5/00,1527.83
4/6/00,1527.79
4/7/00,1527.77
4/8/00,1527.75
4/9/00,1527.73
4/10/00,1527.9
4/11/00,1527.93
4/12/00,1527.28
4/13/00,1527.46
4/14/00,1527.65
4/15/00,1526.94
4/16/00,1526.31
4/17/00,1525.77
4/18/00,1525.23
4/19/00,1525
4/20/00,1524.42
4/21/00,1525.09
4/22/00,1525.83
4/23/00,1525.74
4/24/00,1526.33
4/25/00,1526.58
4/26/00,1526.59
4/27/00,1526.54
4/28/00,1526.52
4/29/00,1526.68
4/30/00,1526.96
5/1/00,1527.03
5/2/00,1527.02
5/3/00,1526.82
5/4/00,1526.6
5/5/00,1527
5/6/00,1526.86
5/7/00,1526.93
5/8/00,1526.95
5/9/00,1526.77
5/10/00,1526.89
5/11/00,1526.53
5/12/00,1526.93
5/13/00,1526.62
5/14/00,1526.66
5/15/00,1526.73
5/16/00,1526.78
5/17/00,1526.73
5/18/00,1526.27
5/19/00,1526.43
5/20/00,1526.6
5/21/00,1526.7
5/22/00,1526.82
5/23/00,1526.76
5/24/00,1526.8
5/25/00,1526.79
5/26/00,1526.56
5/27/00,1526.26
5/28/00,1526.24
5/29/00,1526.24
5/30/00,1526.21
5/31/00,1526.18
6/1/00,1526.1
6/2/00,1526.31
6/3/00,1526.16
6/4/00,1526.47
6/5/00,1526.97
6/6/00,1527.17
6/7/00,1527.06
6/8/00,1526.87
6/9/00,1527.04
6/10/00,1526.86
6/11/00,1526.96
6/12/00,1526.96
6/13/00,1526.96
6/14/00,1526.99
6/15/00,1526.94
6/16/00,1526.84
6/17/00,1526.65
6/18/00,1526.83
6/19/00,1527.22
6/20/00,1527.16
6/21/00,1527.01
6/22/00,1526.74
6/23/00,1526.63
6/24/00,1526.69
6/25/00,1527.23
6/26/00,1527.29
6/27/00,1527.08
6/28/00,1526.78
6/29/00,1526.73
6/30/00,1526.76
7/1/00,1526.76
7/2/00,1527.04
7/3/00,1524.95
7/4/00,1524.67
7/5/00,1524.84
7/6/00,1523.68
7/7/00,1523.18
7/8/00,1523.89
7/9/00,1523.54
7/10/00,1523.32
7/11/00,1523.25
7/12/00,1523.54
7/13/00,1523.53
7/14/00,1523.12
7/15/00,1523.12
7/16/00,1523.23
7/17/00,1523.31
7/18/00,1522.89
7/19/00,1523.6
7/20/00,1523.62
7/21/00,1523.29
7/22/00,1523.83
7/23/00,1523.96
7/24/00,1523.51
7/25/00,1523.41
7/26/00,1523.12
7/27/00,1523.46
7/28/00,1523.47
7/29/00,1523.31
7/30/00,1523.54
7/31/00,1523.66
8/1/00,1523.17
8/2/00,1523.24
8/3/00,1523.37
8/4/00,1523.45
8/5/00,1523.29
8/6/00,1523.66
8/7/00,1523.51
8/8/00,1523.38
8/9/00,1523.05
8/10/00,1523.76
8/11/00,1523.89
8/12/00,1523.48
8/13/00,1524.36
8/14/00,1523.21
8/15/00,1523.42
8/16/00,1523.86
8/17/00,1523.73
8/18/00,1523.46
8/19/00,1523.31
8/20/00,1523.15
8/21/00,1523.09
8/22/00,1522.97
8/23/00,1523.25
8/24/00,1523.46
8/25/00,1523.48
8/26/00,1523.99
8/27/00,1523.28
8/28/00,1523.22
8/29/00,1523.91
8/30/00,1524.21
8/31/00,1523.06
9/1/00,1523.18
9/2/00,1523.09
9/3/00,1523.06
9/4/00,1523.44
9/5/00,1523.19
9/6/00,1522.95
9/7/00,1523.14
9/8/00,1523
9/9/00,1523.09
9/10/00,1523
9/11/00,1523
9/12/00,1523.45
9/13/00,1523.04
9/14/00,1523.22
9/15/00,1523.09
9/16/00,1523.39
9/17/00,1523.74
9/18/00,1523.29
9/19/00,1523.42
9/20/00,1523.44
9/21/00,1523.17
9/22/00,1523.1
9/23/00,1522.68
9/24/00,1522.93
9/25/00,1523.29
9/26/00,1523.45
9/27/00,1523.07
9/28/00,1523.31
9/29/00,1523.2
9/30/00,1523.19
