Date,Elevation (ft)
3/18/03,5751.25
3/19/03,5751.25
3/20/03,5751.25
3/21/03,5751.23
3/22/03,5751.15
3/23/03,5751.1
3/24/03,5751.1
3/25/03,5751.05
3/26/03,5750.95
3/27/03,5751
3/28/03,5750.9
3/29/03,5750.85
3/30/03,5750.8
3/31/03,5750.75
4/1/03,5750.65
4/2/03,5750.65
4/3/03,5750.6
4/4/03,5750.5
4/5/03,5750.4
4/6/03,5750.35
4/7/03,5750.35
4/8/03,5750.25
4/9/03,5750.15
4/10/03,5750.05
4/11/03,5749.98
4/12/03,5749.83
4/13/03,5749.8
4/14/03,5749.7
4/15/03,5749.67
4/16/03,5749.6
4/17/03,5749.37
4/18/03,5749.24
4/19/03,5749.09
4/20/03,5748.92
4/21/03,5748.89
4/22/03,5748.74
4/23/03,5748.54
4/24/03,5748.57
4/25/03,5748.44
4/26/03,5748.24
4/27/03,5748.17
4/28/03,5748.04
4/29/03,5747.99
4/30/03,5747.76
5/1/03,5747.61
5/2/03,5747.53
5/3/03,5747.31
5/4/03,5747.23
5/5/03,5747.13
5/6/03,5746.98
5/7/03,5746.83
5/8/03,5746.68
5/9/03,5746.63
5/10/03,5746.58
5/11/03,5746.58
5/12/03,5746.33
5/13/03,5746.18
5/14/03,5746.07
5/15/03,5746.05
5/16/03,5745.92
5/17/03,5745.72
5/18/03,5745.55
5/19/03,5745.42
5/20/03,5745.3
5/21/03,5745.22
5/22/03,5745.02
5/23/03,5744.85
5/24/03,5744.72
5/25/03,5744.46
5/26/03,5744.31
5/27/03,5744.14
5/28/03,5743.99
5/29/03,5743.76
5/30/03,5743.51
5/31/03,5743.41
6/1/03,5743.16
6/2/03,5743.06
6/3/03,5742.91
6/4/03,5742.63
6/5/03,5742.5
6/6/03,5742.4
6/7/03,5742.23
6/8/03,5742.08
6/9/03,5742.05
6/10/03,5741.9
6/11/03,5741.78
6/12/03,5741.6
6/13/03,5741.35
6/14/03,5741.22
6/15/03,5741.04
6/16/03,5740.89
6/17/03,5740.69
6/18/03,5740.74
6/19/03,5740.54
6/20/03,5740.39
6/21/03,5740.24
6/22/03,5740.09
6/23/03,5739.94
6/24/03,5739.74
6/25/03,5739.59
6/26/03,5739.41
6/27/03,5739.28
6/28/03,5739.06
6/29/03,5738.83
6/30/03,5738.68
7/1/03,5738.48
7/2/03,5738.38
7/3/03,5738.13
7/4/03,5737.85
7/5/03,5737.67
7/6/03,5737.42
7/7/03,5737.12
7/8/03,5736.92
7/9/03,5736.62
7/10/03,5736.26
7/11/03,5736.04
7/12/03,5735.71
7/13/03,5735.39
7/14/03,5735.14
7/15/03,5734.86
7/16/03,5734.5
7/17/03,5734.23
7/18/03,5733.83
7/19/03,5733.38
7/20/03,5733.03
7/21/03,5732.62
7/22/03,5732.24
7/23/03,5731.77
7/24/03,5731.28
7/25/03,5730.76
7/26/03,5730.33
7/27/03,5729.88
7/28/03,5729.42
7/29/03,5729.07
7/30/03,5728.65
7/31/03,5728.32
8/1/03,5727.94
8/2/03,5727.49
8/3/03,5727.16
8/4/03,5726.66
8/5/03,5726.23
8/6/03,5725.8
8/7/03,5725.33
8/8/03,5724.83
8/9/03,5724.34
8/10/03,5723.94
8/11/03,5723.47
8/12/03,5722.88
8/13/03,5722.38
8/14/03,5721.63
8/15/03,5720.9
8/16/03,5720.27
8/17/03,5719.44
8/18/03,5718.76
8/19/03,5718.05
8/20/03,5717.3
8/21/03,5716.49
8/22/03,5715.74
8/23/03,5715.04
8/24/03,5714.23
8/25/03,5713.58
8/26/03,5712.72
8/27/03,5711.97
8/28/03,5711.26
8/29/03,5710.86
8/30/03,5710.26
8/31/03,5709.8
9/1/03,5709.33
9/2/03,5708.93
9/3/03,5708.5
9/4/03,5708.28
9/5/03,5707.94
9/6/03,5707.62
9/7/03,5707.24
9/8/03,5706.94
9/9/03,5706.58
9/10/03,5706.33
9/11/03,5705.93
9/12/03,5705.63
9/13/03,5705.38
9/14/03,5704.97
9/15/03,5704.76
9/16/03,5704.37
9/17/03,5704.12
9/18/03,5703.82
9/19/03,5703.47
9/20/03,5703.26
9/21/03,5702.96
9/22/03,5702.66
9/23/03,5702.36
9/24/03,5702.16
9/25/03,5701.91
9/26/03,5701.6
9/27/03,5701.29
9/28/03,5700.95
9/29/03,5700.65
9/30/03,5700.35
10/1/03,5700.09
10/2/03,5699.79
10/3/03,5699.37
10/4/03,5699.09
10/5/03,5698.79
10/6/03,5698.37
10/7/03,5698.07
10/8/03,5697.63
10/9/03,5697.16
10/10/03,5696.72
10/11/03,5696.22
10/12/03,5695.67
10/13/03,5695.22
10/14/03,5694.71
10/15/03,5694.31
10/16/03,5693.91
10/17/03,5693.61
10/18/03,5693.2
10/19/03,5692.89
10/20/03,5692.58
10/21/03,5692.15
10/22/03,5691.78
10/23/03,5691.38
10/24/03,5690.89
10/25/03,5690.59
10/26/03,5690.13
10/27/03,5689.88
10/28/03,5689.48
10/29/03,5688.93
10/30/03,5688.73
11/1/03,5688.42
11/2/03,5688.32
11/3/03,5688.27
11/4/03,5688.17
11/5/03,5688.12
11/6/03,5688.17
11/7/03,5688.07
11/8/03,5687.97
11/9/03,5687.97
11/10/03,5687.82
11/11/03,5687.77
11/12/03,5687.77
11/13/03,5687.67
11/14/03,5687.62
11/15/03,5687.62
11/16/03,5687.47
11/17/03,5687.37
11/18/03,5687.3
11/19/03,5687.32
11/20/03,5687.17
11/21/03,5687.07
11/22/03,5687.07
11/23/03,5687.02
11/24/03,5686.97
11/25/03,5686.86
11/26/03,5686.76
11/27/03,5686.68
11/28/03,5686.65
11/29/03,5686.55
11/30/03,5686.41
12/1/03,5686.36
12/2/03,5686.36
12/3/03,5686.31
12/4/03,5686.16
12/5/03,5686.16
12/6/03,5686.01
12/7/03,5685.99
12/8/03,5685.91
12/9/03,5685.91
12/10/03,5686.01
12/11/03,5685.96
12/12/03,5685.86
12/13/03,5685.76
12/14/03,5685.76
12/15/03,5685.66
12/16/03,5685.56
12/17/03,5685.56
12/18/03,5685.46
12/19/03,5685.39
12/20/03,5685.24
12/21/03,5685.36
12/22/03,5685.25
12/23/03,5685.15
12/24/03,5685.05
12/25/03,5685.02
12/26/03,5685
12/27/03,5684.8
12/28/03,5684.85
12/29/03,5684.75
12/30/03,5684.7
12/31/03,5684.6
1/1/04,5684.55
1/2/04,5684.5
1/3/04,5684.45
1/4/04,5684.4
1/5/04,5684.35
1/6/04,5684.15
1/7/04,5684.25
1/8/04,5684.15
1/9/04,5684.05
1/10/04,5684.05
1/11/04,5684
1/12/04,5683.95
1/13/04,5683.8
1/14/04,5683.75
1/15/04,5683.59
1/16/04,5683.59
1/17/04,5683.59
1/18/04,5683.44
1/19/04,5683.44
1/20/04,5683.34
1/21/04,5683.29
1/22/04,5683.24
1/23/04,5683.11
1/24/04,5683.09
1/25/04,5683.04
1/26/04,5682.89
1/27/04,5682.89
1/28/04,5682.89
1/29/04,5682.79
1/30/04,5682.69
1/31/04,5682.64
2/1/04,5682.6
2/2/04,5683.24
2/3/04,5684.16
2/4/04,5685.25
2/5/04,5686.16
2/6/04,5687.17
2/7/04,5687.97
2/8/04,5688.98
2/9/04,5689.78
2/10/04,5690.89
2/11/04,5691.79
2/12/04,5692.72
2/13/04,5693.54
2/14/04,5694.41
2/15/04,5695.32
2/16/04,5696.12
2/17/04,5697.03
2/18/04,5697.93
2/19/04,5698.84
2/20/04,5699.69
2/21/04,5700.55
2/22/04,5701.35
2/23/04,5702.11
2/24/04,5702.41
2/25/04,5702.36
2/26/04,5702.26
2/27/04,5702.26
2/28/04,5702.16
2/29/04,5702.01
3/1/04,5702.06
3/2/04,5701.96
3/3/04,5701.86
3/4/04,5701.91
3/5/04,5701.86
3/6/04,5701.7
3/7/04,5701.54
3/8/04,5701.6
3/9/04,5701.54
3/10/04,5701.4
3/11/04,5701.39
3/12/04,5701.29
3/13/04,5701.25
3/14/04,5701.19
3/15/04,5701.14
3/16/04,5701.19
3/17/04,5701.05
3/18/04,5701.03
3/19/04,5700.95
3/20/04,5700.9
3/21/04,5700.75
3/22/04,5700.78
3/23/04,5700.63
3/24/04,5700.55
3/25/04,5700.55
3/26/04,5700.4
3/27/04,5700.35
3/28/04,5700.25
3/29/04,5700.2
3/30/04,5700.08
3/31/04,5700.4
4/1/04,5701.08
4/2/04,5701.89
4/3/04,5702.69
4/4/04,5703.36
4/5/04,5704.1
4/6/04,5704.67
4/7/04,5705.41
4/8/04,5706.13
4/9/04,5706.74
4/10/04,5707.44
4/11/04,5708.09
4/12/04,5708.8
4/13/04,5709.45
4/14/04,5710.06
4/15/04,5710.56
4/16/04,5711.14
4/17/04,5711.67
4/18/04,5712.2
4/19/04,5712.77
4/20/04,5713.33
4/21/04,5713.73
4/22/04,5714.38
4/23/04,5714.83
4/24/04,5715.29
4/25/04,5715.74
4/26/04,5716.29
4/27/04,5716.75
4/28/04,5717.3
4/29/04,5717.8
4/30/04,5718.26
5/1/04,5718.81
5/2/04,5719.36
5/3/04,5719.71
5/4/04,5720.22
5/5/04,5720.6
5/6/04,5721.02
5/7/04,5721.53
5/8/04,5722.03
5/9/04,5722.48
5/10/04,5723.08
