Date,Elevation (ft)
1/1/97,2306.2
1/2/97,2306.22
1/3/97,2306.22
1/4/97,2306.22
1/5/97,2306.23
1/6/97,2306.23
1/7/97,2306.23
1/8/97,2306.23
1/9/97,2306.24
1/10/97,2306.25
1/11/97,2306.25
1/12/97,2306.25
1/13/97,2306.25
1/14/97,2306.25
1/15/97,2306.26
1/16/97,2306.28
1/17/97,2306.28
1/18/97,2306.28
1/19/97,2306.28
1/20/97,2306.29
1/21/97,2306.31
1/22/97,2306.31
1/23/97,2306.31
1/24/97,2306.32
1/25/97,2306.32
1/26/97,2306.32
1/27/97,2306.32
1/28/97,2306.32
1/29/97,2306.32
1/30/97,2306.34
1/31/97,2306.35
2/1/97,2306.36
2/2/97,2306.37
2/3/97,2306.37
2/4/97,2306.38
2/5/97,2306.39
2/6/97,2306.39
2/7/97,2306.41
2/8/97,2306.43
2/9/97,2306.43
2/10/97,2306.44
2/11/97,2306.45
2/12/97,2306.46
2/13/97,2306.46
2/14/97,2306.46
2/15/97,2306.47
2/16/97,2306.47
2/17/97,2306.47
2/18/97,2306.47
2/19/97,2306.47
2/20/97,2306.46
2/21/97,2306.46
2/22/97,2306.46
2/23/97,2306.47
2/24/97,2306.47
2/25/97,2306.47
2/26/97,2306.47
2/27/97,2306.47
2/28/97,2306.47
3/1/97,2306.47
3/2/97,2306.47
3/3/97,2306.47
3/4/97,2306.47
3/5/97,2306.46
3/6/97,2306.44
3/7/97,2306.45
3/8/97,2306.45
3/9/97,2306.45
3/10/97,2306.45
3/11/97,2306.42
3/12/97,2306.42
3/13/97,2306.43
3/14/97,2306.39
3/15/97,2306.39
3/16/97,2306.38
3/17/97,2306.37
3/18/97,2306.37
3/19/97,2306.36
3/20/97,2306.36
3/21/97,2306.37
3/22/97,2306.35
3/23/97,2306.34
3/24/97,2306.34
3/25/97,2306.31
3/26/97,2306.31
3/27/97,2306.32
3/28/97,2306.32
3/29/97,2306.3
3/30/97,2306.29
3/31/97,2306.27
4/1/97,2306.26
4/2/97,2306.23
4/3/97,2306.23
4/4/97,2306.23
4/5/97,2306.21
4/6/97,2306.2
4/7/97,2306.18
4/8/97,2306.14
4/9/97,2306.14
4/10/97,2306.14
4/11/97,2306.15
4/12/97,2306.15
4/13/97,2306.15
4/14/97,2306.15
