Date,Elevation (ft)
1/1/97,7472.23
1/2/97,7471.97
1/3/97,7472.59
1/4/97,7472.3
1/17/97,7472.36
1/18/97,7472.72
1/19/97,7472.09
1/20/97,7471.96
1/21/97,7472.43
1/22/97,7471.97
1/23/97,7472.45
1/24/97,7471.95
1/25/97,7472.07
1/26/97,7473.05
1/27/97,7472.38
1/28/97,7472.61
1/29/97,7472.53
1/30/97,7472.36
1/31/97,7472.41
2/1/97,7472.61
2/2/97,7472.8
2/3/97,7471.76
2/4/97,7472.86
2/5/97,7472.86
2/6/97,7472.74
2/7/97,7472.62
2/8/97,7473.09
2/9/97,7471.13
2/10/97,7473.07
2/11/97,7472.67
2/12/97,7472.16
2/13/97,7471.87
2/14/97,7472.42
2/15/97,7473.15
2/16/97,7472.72
2/17/97,7472.09
2/18/97,7472.78
2/19/97,7472.06
2/20/97,7472.01
2/21/97,7472.23
2/22/97,7472.45
2/23/97,7471.47
2/24/97,7471.93
2/25/97,7471.29
2/26/97,7471.01
2/27/97,7470.81
2/28/97,7470.68
3/1/97,7470.61
3/2/97,7470.64
3/3/97,7470.73
3/4/97,7470.67
3/5/97,7469.61
3/6/97,7469.61
3/7/97,7470.46
3/8/97,7472.8
3/9/97,7472.72
3/10/97,7471.79
3/11/97,7471.7
3/12/97,7471.66
3/13/97,7471.62
3/14/97,7471.81
3/15/97,7466.18
3/16/97,7465.29
3/17/97,7465.29
3/18/97,7465.29
3/19/97,7465.29
3/20/97,7465.29
3/21/97,7465.29
3/22/97,7465.29
3/23/97,7465.29
3/24/97,7465.29
3/25/97,7465.29
3/26/97,7465.29
3/27/97,7465.29
3/28/97,7465.29
3/29/97,7465.29
3/30/97,7465.29
3/31/97,7465.29
4/1/97,7465.29
4/2/97,7465.29
4/3/97,7465.29
4/4/97,7465.29
4/5/97,7465.29
4/6/97,7465.29
4/7/97,7466.61
4/8/97,7471.63
4/9/97,7471.84
4/10/97,7471.79
4/11/97,7471.93
4/12/97,7472.08
4/13/97,7472.25
4/14/97,7471.98
4/15/97,7471.74
4/16/97,7471.44
4/17/97,7472.8
