Date,Elevation (ft)
1/1/97,2062.61
1/2/97,2062.61
1/3/97,2062.62
1/4/97,2062.71
1/5/97,2062.72
1/6/97,2062.71
1/7/97,2062.71
1/8/97,2062.72
1/9/97,2062.76
1/10/97,2062.75
1/11/97,2062.76
1/12/97,2062.76
1/13/97,2062.75
1/14/97,2062.75
1/15/97,2062.76
1/16/97,2062.76
1/17/97,2062.76
1/18/97,2062.76
1/19/97,2062.76
1/20/97,2062.76
1/21/97,2062.76
1/22/97,2062.76
1/23/97,2062.76
1/24/97,2062.76
1/25/97,2062.76
1/26/97,2062.76
1/27/97,2062.76
1/28/97,2062.78
1/29/97,2062.78
1/30/97,2062.78
1/31/97,2062.78
2/1/97,2062.78
2/2/97,2062.78
2/3/97,2062.78
2/4/97,2062.78
2/5/97,2062.76
2/6/97,2062.51
2/7/97,2062.51
2/8/97,2062.5
2/9/97,2062.5
2/10/97,2062.49
2/11/97,2062.5
2/12/97,2062.5
2/13/97,2062.49
2/14/97,2062.49
2/15/97,2062.51
2/16/97,2062.51
2/17/97,2062.5
2/18/97,2062.5
2/19/97,2062.47
2/20/97,2062.5
2/21/97,2062.47
2/22/97,2062.47
2/23/97,2062.49
2/24/97,2062.46
2/25/97,2062.44
2/26/97,2062.4
2/27/97,2062.44
2/28/97,2062.45
3/1/97,2062.49
3/2/97,2062.44
3/3/97,2062.47
3/4/97,2062.42
3/5/97,2062.36
3/6/97,2062.3
3/7/97,2062.23
3/8/97,2062.13
3/9/97,2062.05
3/10/97,2061.98
3/11/97,2062.03
3/12/97,2062.21
3/13/97,2062.59
3/14/97,2062.97
3/15/97,2063.28
3/16/97,2063.52
3/17/97,2063.62
3/18/97,2063.69
3/19/97,2063.83
3/20/97,2065.33
3/21/97,2072.52
3/22/97,2077.62
3/23/97,2081.07
3/24/97,2082.19
3/25/97,2081.64
3/26/97,2081.47
3/27/97,2081.28
3/28/97,2080.55
3/29/97,2079.58
3/30/97,2078.43
3/31/97,2077.26
4/1/97,2076.03
4/2/97,2074.77
4/3/97,2073.45
4/4/97,2072.18
4/5/97,2071.01
4/6/97,2069.55
4/7/97,2068.41
4/8/97,2067.71
4/9/97,2067.19
4/10/97,2066.86
4/11/97,2066.52
4/12/97,2066.12
4/13/97,2065.78
4/14/97,2065.45
4/15/97,2065.21
4/16/97,2065
4/17/97,2064.97
4/18/97,2065.55
