Date,Elevation (ft)
1/1/97,4755.84
1/2/97,4756.93
1/3/97,4758.02
1/4/97,4759.11
1/5/97,4760.2
1/6/97,4761.3
1/7/97,4761.49
1/8/97,4761.68
1/9/97,4761.87
1/10/97,4762.06
1/11/97,4762.25
1/12/97,4762.44
1/13/97,4762.63
1/14/97,4762.82
1/15/97,4763.01
1/16/97,4763.2
1/17/97,4763.39
1/18/97,4763.58
1/19/97,4763.77
1/20/97,4763.96
1/21/97,4764.15
1/22/97,4764.34
1/23/97,4764.53
1/24/97,4764.72
1/25/97,4765
1/26/97,4765.45
1/27/97,4765.9
1/28/97,4766.35
1/29/97,4766.8
1/30/97,4767.25
1/31/97,4767.7
3/26/97,4774.5
4/7/97,4774.8
4/17/97,4774.9
4/23/97,4774
4/29/97,4774.4
5/15/97,4774.4
5/20/97,4774.4
6/12/97,4774.4
7/9/97,4769.5
8/5/97,4767.7
8/15/97,4766.3
8/25/97,4765.7
9/4/97,4764
9/15/97,4759.6
9/29/97,4761.2
9/30/97,4761.2
10/10/97,4762.3
10/27/97,4763.4
11/9/97,4764.5
11/30/97,4765.6
12/11/97,4766.7
12/30/97,4767.7
1/5/98,4768.8
1/29/98,4769.9
2/9/98,4771
2/20/98,4772
3/4/98,4773.5
3/18/98,4773.7
3/31/98,4774
4/15/98,4774.3
4/27/98,4774.4
5/7/98,4774.4
5/14/98,4774.4
5/21/98,4774.2
5/26/98,4774.2
5/31/98,4774.3
6/2/98,4774.3
6/11/98,4774.3
6/18/98,4774.3
6/24/98,4774.3
6/25/98,4774.3
7/8/98,4773.5
7/14/98,4771.5
7/27/98,4768
7/31/98,4768.3
8/10/98,4766.7
8/26/98,4762.5
9/7/98,4758.5
9/19/98,4759.6
9/30/98,4760.9
10/2/98,4761.2
10/14/98,4762.4
10/27/98,4763.3
11/6/98,4764.4
11/29/98,4765.5
12/1/98,4765.5
12/10/98,4765.7
3/18/99,4774
3/30/99,4774.5
3/31/99,4774.5
4/8/99,4774.4
4/22/99,4774.3
5/4/99,4774.3
5/10/99,4774.4
5/19/99,4774.4
5/25/99,4774.5
5/31/99,4774.5
6/1/99,4774.4
6/10/99,4774.4
6/15/99,4774.5
6/16/99,4775
6/17/99,4775
6/18/99,4775
