Date,Elevation (ft)
1/1/97,4579.35
1/2/97,4579.33
1/3/97,4579.33
1/4/97,4579.34
1/5/97,4579.23
1/6/97,4579.13
1/7/97,4579.09
1/8/97,4579.08
1/9/97,4579.07
1/10/97,4578.96
1/11/97,4578.87
1/12/97,4578.81
1/13/97,4578.77
1/14/97,4578.76
1/15/97,4578.76
1/16/97,4578.75
1/17/97,4578.74
1/18/97,4578.77
1/19/97,4578.78
1/20/97,4578.84
1/21/97,4578.83
1/22/97,4578.8
1/23/97,4578.79
1/24/97,4578.75
1/25/97,4578.67
1/26/97,4578.61
1/27/97,4578.57
1/28/97,4578.55
1/29/97,4578.55
1/30/97,4578.55
1/31/97,4578.56
2/1/97,4578.57
2/2/97,4578.57
2/3/97,4578.62
2/4/97,4578.65
2/5/97,4578.56
2/6/97,4578.47
2/7/97,4578.4
2/8/97,4578.34
2/9/97,4578.29
2/10/97,4578.27
2/11/97,4578.26
2/12/97,4578.22
2/13/97,4578.21
2/14/97,4578.25
2/15/97,4578.27
2/16/97,4578.28
2/17/97,4578.29
2/18/97,4578.25
2/19/97,4578.24
2/20/97,4578.22
2/21/97,4578.19
2/22/97,4578.13
2/23/97,4578.02
2/24/97,4577.93
2/25/97,4577.9
2/26/97,4577.89
2/27/97,4577.89
2/28/97,4577.89
3/1/97,4577.83
3/2/97,4577.8
3/3/97,4577.79
3/4/97,4577.71
3/5/97,4577.64
3/6/97,4577.61
3/7/97,4577.61
3/8/97,4577.61
3/9/97,4577.61
3/10/97,4577.61
3/11/97,4577.61
3/12/97,4577.61
3/13/97,4577.61
3/14/97,4577.49
3/15/97,4577.43
3/16/97,4577.47
3/17/97,4577.52
3/18/97,4577.59
3/19/97,4577.72
3/20/97,4577.93
3/21/97,4578.05
3/22/97,4578.1
3/23/97,4578.17
3/24/97,4578.21
3/25/97,4578.23
3/26/97,4578.27
3/27/97,4578.33
3/28/97,4578.37
3/29/97,4578.41
3/30/97,4578.44
3/31/97,4578.51
4/1/97,4578.53
4/2/97,4578.55
4/3/97,4578.61
4/4/97,4578.7
4/5/97,4578.79
4/6/97,4578.61
4/7/97,4578.48
4/8/97,4578.47
4/9/97,4578.51
4/10/97,4578.56
4/11/97,4578.58
4/12/97,4578.61
4/13/97,4578.64
4/14/97,4578.7
4/15/97,4578.72
4/16/97,4578.75
4/17/97,4578.85
4/18/97,4579.01
4/19/97,4579.29
4/20/97,4579.69
4/21/97,4580.2
4/22/97,4580.59
4/23/97,4580.85
4/24/97,4581.01
4/25/97,4581.03
4/26/97,4581.02
4/27/97,4581
4/28/97,4580.95
4/29/97,4580.93
4/30/97,4580.95
5/1/97,4581.01
5/2/97,4581.07
5/3/97,4581.08
5/4/97,4581.18
5/5/97,4581.39
5/6/97,4581.6
5/7/97,4581.94
5/8/97,4582.11
5/9/97,4582.25
5/10/97,4582.36
5/11/97,4582.35
5/12/97,4582.32
5/13/97,4582.27
5/14/97,4582.15
5/15/97,4582
5/16/97,4581.84
5/17/97,4581.63
5/18/97,4581.35
5/19/97,4581.08
5/20/97,4580.82
5/21/97,4580.66
5/22/97,4580.5
5/23/97,4580.27
5/24/97,4580.06
5/25/97,4580.15
5/26/97,4580.37
5/27/97,4580.63
5/28/97,4580.87
5/29/97,4581.02
5/30/97,4581.08
5/31/97,4581.03
6/1/97,4580.99
6/2/97,4581.31
6/3/97,4582.17
6/4/97,4582.69
6/5/97,4583.01
6/6/97,4583.13
6/7/97,4583.19
6/8/97,4583.16
6/9/97,4583.02
6/10/97,4582.83
6/11/97,4582.7
6/12/97,4582.54
6/13/97,4582.31
6/14/97,4582.07
6/15/97,4581.73
6/16/97,4581.4
6/17/97,4581.03
6/18/97,4580.74
6/19/97,4580.58
6/20/97,4580.5
6/21/97,4580.36
6/22/97,4580.27
6/23/97,4580.08
6/24/97,4579.97
6/25/97,4579.95
6/26/97,4580.07
6/27/97,4580.15
6/28/97,4580.22
6/29/97,4580.25
6/30/97,4580.31
7/1/97,4580.29
7/2/97,4580.27
7/3/97,4580.26
7/4/97,4580.27
7/5/97,4580.26
7/6/97,4580.27
7/7/97,4580.26
7/8/97,4580.24
7/9/97,4580.24
7/10/97,4580.21
7/11/97,4580.13
7/12/97,4580.09
7/13/97,4580.05
7/14/97,4580.05
7/15/97,4580.05
7/16/97,4580.07
7/17/97,4580.05
7/18/97,4580.08
7/19/97,4580.19
7/20/97,4580.41
7/21/97,4580.56
7/22/97,4580.61
7/23/97,4580.58
7/24/97,4580.59
7/25/97,4580.79
7/26/97,4580.82
7/27/97,4580.81
7/28/97,4580.77
7/29/97,4580.73
7/30/97,4580.75
7/31/97,4580.85
8/1/97,4580.91
8/2/97,4581.05
8/3/97,4581.03
8/4/97,4580.99
8/5/97,4581.09
8/6/97,4581.17
8/7/97,4581.19
8/8/97,4581.2
8/9/97,4581.09
8/10/97,4580.99
8/11/97,4580.91
8/12/97,4580.82
8/13/97,4580.73
8/14/97,4580.6
8/15/97,4580.43
8/16/97,4580.21
8/17/97,4580.02
8/18/97,4579.93
8/19/97,4579.83
8/20/97,4579.74
8/21/97,4579.69
8/22/97,4579.71
8/23/97,4579.7
8/24/97,4579.7
8/25/97,4579.69
8/26/97,4579.7
8/27/97,4579.73
8/28/97,4579.71
8/29/97,4579.67
8/30/97,4579.62
8/31/97,4579.57
9/1/97,4579.51
9/2/97,4579.45
9/3/97,4579.41
9/4/97,4579.37
9/5/97,4579.31
9/6/97,4579.25
9/7/97,4579.17
9/8/97,4579.07
9/9/97,4579.01
9/10/97,4578.97
9/11/97,4578.96
9/12/97,4578.91
9/13/97,4578.86
9/14/97,4578.82
9/15/97,4578.77
9/16/97,4578.67
9/17/97,4578.61
9/18/97,4578.54
9/19/97,4578.49
9/20/97,4578.43
9/21/97,4578.39
9/22/97,4578.36
9/23/97,4578.37
9/24/97,4578.35
9/25/97,4578.27
9/26/97,4578.18
9/27/97,4578.05
9/28/97,4577.93
9/29/97,4577.82
9/30/97,4577.71
10/1/97,4577.6
10/2/97,4577.49
10/3/97,4577.36
10/4/97,4577.24
10/5/97,4577.11
10/6/97,4576.97
10/7/97,4576.87
10/8/97,4576.75
10/9/97,4576.65
10/10/97,4576.55
10/11/97,4576.48
10/12/97,4576.31
10/13/97,4576.17
10/14/97,4576.07
10/15/97,4575.97
10/16/97,4575.86
10/17/97,4575.75
10/18/97,4575.61
10/19/97,4575.47
10/20/97,4575.35
10/21/97,4575.31
10/22/97,4575.31
