Date,Elevation (ft)
1/1/97,1213.59
1/2/97,1213.27
1/3/97,1211.73
1/4/97,1210.37
1/5/97,1209.23
1/6/97,1207.81
1/7/97,1206.29
1/8/97,1205.4
1/9/97,1204.53
1/10/97,1204.36
1/11/97,1204.13
1/12/97,1203.86
1/13/97,1203.49
1/14/97,1203.13
1/15/97,1202.74
1/16/97,1202.33
1/17/97,1201.46
1/18/97,1200.48
1/19/97,1199.66
1/20/97,1198.94
1/21/97,1199.21
1/22/97,1198.23
1/23/97,1197.94
1/24/97,1197.36
1/25/97,1198.22
1/26/97,1199.59
1/27/97,1200.05
1/28/97,1200.19
1/29/97,1199.76
1/30/97,1199.14
1/31/97,1198.69
2/1/97,1198.22
2/2/97,1198.19
2/3/97,1198.42
2/4/97,1198.59
2/5/97,1198.63
2/6/97,1197.92
2/7/97,1197.12
2/8/97,1196.11
2/9/97,1195.54
2/10/97,1195.55
2/11/97,1195.84
2/12/97,1195.49
2/13/97,1195.34
2/14/97,1194.99
2/15/97,1195.03
2/16/97,1195.32
2/17/97,1195.27
2/18/97,1195.09
2/19/97,1194.87
2/20/97,1194.93
2/21/97,1195.01
2/22/97,1195.15
2/23/97,1195.28
2/24/97,1195.07
2/25/97,1194.74
2/26/97,1194.9
2/27/97,1195.3
2/28/97,1195.25
3/1/97,1195.44
3/2/97,1195.67
3/3/97,1195.65
3/4/97,1195.81
3/5/97,1196.82
3/6/97,1197.94
3/7/97,1198.82
3/8/97,1198.74
3/9/97,1198.61
3/10/97,1198.57
3/11/97,1198.53
3/12/97,1198.48
3/13/97,1198.41
3/14/97,1198.82
3/15/97,1198.88
3/16/97,1199.07
3/17/97,1198.44
3/18/97,1198.39
3/19/97,1198.33
3/20/97,1198.27
3/21/97,1198.19
3/22/97,1198.12
3/23/97,1198.04
3/24/97,1198.42
3/25/97,1198.47
3/26/97,1198.51
3/27/97,1198.52
3/28/97,1198.53
3/29/97,1198.43
3/30/97,1198.27
3/31/97,1198.08
4/1/97,1198.49
4/2/97,1199
4/3/97,1199.5
4/4/97,1200.27
4/5/97,1200.94
4/6/97,1201.36
4/7/97,1201.32
4/8/97,1201.71
4/9/97,1202.16
4/10/97,1202.36
4/11/97,1202.76
4/12/97,1203.14
4/13/97,1203.14
4/14/97,1203.63
4/15/97,1203.9
4/16/97,1204.09
4/17/97,1205.01
4/18/97,1205.69
4/19/97,1206.35
4/20/97,1206.78
4/21/97,1206.87
