Date,Elevation (ft)
1/1/04,6140.2
1/2/04,6140.25
1/3/04,6140.17
1/4/04,6140.1
1/5/04,6140.07
1/6/04,6140.03
1/7/04,6140.01
1/8/04,6140
1/9/04,6139.99
1/10/04,6139.97
1/11/04,6139.94
1/12/04,6139.91
1/13/04,6139.87
1/14/04,6139.85
1/15/04,6139.82
1/16/04,6139.77
1/17/04,6139.74
1/18/04,6139.69
1/19/04,6139.63
1/20/04,6139.6
1/21/04,6139.56
1/22/04,6139.52
1/23/04,6139.49
1/24/04,6139.47
1/25/04,6139.45
1/26/04,6139.41
1/27/04,6139.37
1/28/04,6139.35
1/29/04,6139.32
1/30/04,6139.29
1/31/04,6139.26
2/1/04,6139.22
2/2/04,6139.18
2/3/04,6139.16
2/4/04,6139.13
2/5/04,6139.08
2/6/04,6139.05
2/7/04,6139.01
2/8/04,6138.99
2/9/04,6138.97
2/10/04,6138.93
2/11/04,6138.9
2/12/04,6138.85
2/13/04,6138.8
2/14/04,6138.76
2/15/04,6138.72
2/16/04,6138.69
2/17/04,6138.66
2/18/04,6138.66
2/19/04,6138.62
2/20/04,6138.57
2/21/04,6138.52
2/22/04,6138.49
2/23/04,6138.47
2/24/04,6138.44
2/25/04,6138.41
2/26/04,6138.44
2/27/04,6138.48
2/28/04,6138.48
2/29/04,6138.44
3/1/04,6138.4
3/2/04,6138.39
3/3/04,6138.36
3/4/04,6138.31
3/5/04,6138.28
3/6/04,6138.25
3/7/04,6138.21
3/8/04,6138.18
3/9/04,6138.16
3/10/04,6138.15
3/11/04,6138.12
3/12/04,6138.12
3/13/04,6138.13
3/14/04,6138.13
3/15/04,6138.15
3/16/04,6138.16
3/17/04,6138.18
3/18/04,6138.19
3/19/04,6138.23
3/20/04,6138.27
3/21/04,6138.38
3/22/04,6138.5
3/23/04,6138.61
3/24/04,6138.86
3/25/04,6139.05
3/26/04,6139.27
3/27/04,6139.45
3/28/04,6139.55
3/29/04,6139.68
3/30/04,6139.82
3/31/04,6139.92
4/1/04,6140.02
4/2/04,6140.18
4/3/04,6140.39
4/4/04,6140.61
4/5/04,6140.86
4/6/04,6141.08
4/7/04,6141.31
4/8/04,6141.58
4/9/04,6141.71
4/10/04,6141.95
4/11/04,6142.15
4/12/04,6142.28
4/13/04,6142.54
4/14/04,6142.73
4/15/04,6142.89
4/16/04,6142.98
4/17/04,6143.14
4/18/04,6143.28
4/19/04,6143.4
4/20/04,6143.56
4/21/04,6143.73
4/22/04,6143.87
4/23/04,6143.94
4/24/04,6144.03
4/25/04,6144.11
4/26/04,6144.19
4/27/04,6144.23
4/28/04,6144.3
4/29/04,6144.4
4/30/04,6144.62
5/1/04,6144.72
5/2/04,6144.85
5/3/04,6145.1
5/4/04,6145.44
5/5/04,6146
5/6/04,6146.76
5/7/04,6147.62
5/8/04,6148.4
5/9/04,6149.19
5/10/04,6150.02
5/11/04,6150.85
5/12/04,6151.55
5/13/04,6152.06
5/14/04,6152.35
5/15/04,6152.68
5/16/04,6152.87
5/17/04,6153.11
5/18/04,6153.34
5/19/04,6153.61
5/20/04,6153.75
5/21/04,6153.67
5/22/04,6153.33
5/23/04,6152.78
5/24/04,6151.99
5/25/04,6151.34
5/26/04,6150.82
5/27/04,6150.28
5/28/04,6149.83
5/29/04,6149.47
5/30/04,6149.08
5/31/04,6148.74
6/1/04,6148.43
6/2/04,6148.12
6/3/04,6147.92
6/4/04,6147.81
6/5/04,6147.86
6/6/04,6147.97
6/7/04,6148.03
6/8/04,6148.04
6/9/04,6148
6/10/04,6147.95
6/11/04,6148
6/12/04,6148.03
6/13/04,6148.05
6/14/04,6148.12
6/15/04,6148.14
6/16/04,6148.11
6/17/04,6148.03
6/18/04,6148.02
6/19/04,6148
6/20/04,6147.96
6/21/04,6147.88
6/22/04,6147.8
6/23/04,6147.68
6/24/04,6147.54
6/25/04,6147.43
6/26/04,6147.31
6/27/04,6147.19
6/28/04,6147.04
6/29/04,6146.91
6/30/04,6146.8
7/1/04,6146.65
7/2/04,6146.47
7/3/04,6146.34
7/4/04,6146.18
7/5/04,6145.97
7/6/04,6145.81
7/7/04,6145.63
7/8/04,6145.41
7/9/04,6145.24
7/10/04,6145.02
7/11/04,6144.81
7/12/04,6144.6
7/13/04,6144.37
7/14/04,6144.2
7/15/04,6144.01
7/16/04,6143.8
7/17/04,6143.68
7/18/04,6143.58
7/19/04,6143.4
7/20/04,6143.24
7/21/04,6143.09
7/22/04,6142.91
7/23/04,6142.72
7/24/04,6142.54
7/25/04,6142.36
7/26/04,6142.18
7/27/04,6141.96
7/28/04,6141.77
7/29/04,6141.63
7/30/04,6141.51
7/31/04,6141.28
8/1/04,6141.07
8/2/04,6140.91
8/3/04,6140.72
8/4/04,6140.55
8/5/04,6140.41
8/6/04,6140.21
8/7/04,6140.03
8/8/04,6139.86
8/9/04,6139.65
8/10/04,6139.46
8/11/04,6139.29
8/12/04,6139.08
8/13/04,6138.91
8/14/04,6138.72
8/15/04,6138.51
8/16/04,6138.34
8/17/04,6138.17
8/18/04,6138.01
8/19/04,6137.85
8/20/04,6137.7
8/21/04,6137.51
8/22/04,6137.35
8/23/04,6137.18
8/24/04,6136.97
8/25/04,6136.82
8/26/04,6136.68
8/27/04,6136.48
8/28/04,6136.3
8/29/04,6136.16
8/30/04,6135.97
8/31/04,6135.78
9/1/04,6135.62
9/2/04,6135.43
9/3/04,6135.24
9/4/04,6135.07
9/5/04,6134.87
9/6/04,6134.7
9/7/04,6134.56
9/8/04,6134.36
9/9/04,6134.17
9/10/04,6134
9/11/04,6133.81
9/12/04,6133.64
9/13/04,6133.49
9/14/04,6133.29
9/15/04,6133.1
9/16/04,6132.93
9/17/04,6132.76
9/18/04,6132.6
9/19/04,6132.46
9/20/04,6132.33
9/21/04,6132.21
9/22/04,6132.08
9/23/04,6131.99
9/24/04,6131.9
9/25/04,6131.79
9/26/04,6131.68
9/27/04,6131.58
9/28/04,6131.48
9/29/04,6131.4
9/30/04,6131.3
10/1/04,6131.2
10/2/04,6131.08
10/3/04,6130.98
10/4/04,6130.89
10/5/04,6130.78
10/6/04,6130.68
10/7/04,6130.58
10/8/04,6130.48
10/9/04,6130.4
10/10/04,6130.32
10/11/04,6130.22
10/12/04,6130.13
10/13/04,6130.03
10/14/04,6129.93
10/15/04,6129.85
10/16/04,6129.77
10/17/04,6129.68
10/18/04,6129.64
10/19/04,6129.66
10/20/04,6129.8
10/21/04,6129.9
10/22/04,6129.94
10/23/04,6129.94
10/24/04,6129.97
10/25/04,6130.06
10/26/04,6130.11
10/27/04,6130.11
10/28/04,6130.15
10/29/04,6130.16
10/30/04,6130.15
10/31/04,6130.15
11/1/04,6130.13
11/2/04,6130.08
11/3/04,6130.04
11/4/04,6130.02
11/5/04,6130
11/6/04,6129.97
11/7/04,6129.95
11/8/04,6129.93
11/9/04,6129.95
11/10/04,6130
11/11/04,6130.01
11/12/04,6130.02
11/13/04,6130.02
11/14/04,6130.01
11/15/04,6129.97
11/16/04,6129.94
11/17/04,6129.92
11/18/04,6129.91
11/19/04,6129.89
11/20/04,6129.86
11/21/04,6129.81
11/22/04,6129.77
11/23/04,6129.75
11/24/04,6129.71
11/25/04,6129.69
11/26/04,6129.69
11/27/04,6129.68
11/28/04,6129.66
11/29/04,6129.61
11/30/04,6129.53
12/1/04,6129.45
12/2/04,6129.41
12/3/04,6129.37
12/4/04,6129.36
12/5/04,6129.34
12/6/04,6129.33
12/7/04,6129.31
12/8/04,6129.33
12/9/04,6129.4
12/10/04,6129.4
12/11/04,6129.4
12/12/04,6129.4
12/13/04,6129.36
12/14/04,6129.34
12/15/04,6129.32
12/16/04,6129.31
12/17/04,6129.28
12/18/04,6129.25
12/19/04,6129.22
12/20/04,6129.19
12/21/04,6129.15
12/22/04,6129.11
12/23/04,6129.07
12/24/04,6128.99
12/25/04,6128.95
12/26/04,6128.97
12/27/04,6128.92
12/28/04,6128.9
12/29/04,6128.97
12/30/04,6129
12/31/04,6129.01
1/1/05,6129.08
1/2/05,6129.07
1/3/05,6129.05
1/4/05,6129.06
1/5/05,6129.01
1/6/05,6128.98
1/7/05,6128.94
1/8/05,6128.95
1/9/05,6129.03
1/10/05,6129.16
1/11/05,6129.3
1/12/05,6129.36
1/13/05,6129.36
1/14/05,6129.35
1/15/05,6129.34
1/16/05,6129.34
1/17/05,6129.33
1/18/05,6129.34
1/19/05,6129.32
1/20/05,6129.31
1/21/05,6129.31
1/22/05,6129.31
1/23/05,6129.3
1/24/05,6129.28
1/25/05,6129.27
1/26/05,6129.27
1/27/05,6129.27
1/28/05,6129.26
1/29/05,6129.26
1/30/05,6129.25
1/31/05,6129.26
2/1/05,6129.21
2/2/05,6129.18
2/3/05,6129.15
2/4/05,6129.14
2/5/05,6129.13
2/6/05,6129.12
2/7/05,6129.18
2/8/05,6129.13
2/9/05,6129.1
2/10/05,6129.08
2/11/05,6129.07
2/12/05,6129.06
2/13/05,6129.05
2/14/05,6129.07
2/15/05,6129.13
2/16/05,6129.09
2/17/05,6129.07
2/18/05,6129.05
2/19/05,6129.12
2/20/05,6129.15
2/21/05,6129.16
2/22/05,6129.16
2/23/05,6129.13
2/24/05,6129.1
2/25/05,6129.1
2/26/05,6129.1
2/27/05,6129.09
2/28/05,6129.1
3/1/05,6129.11
3/2/05,6129.08
3/3/05,6129.1
3/4/05,6129.11
3/5/05,6129.11
3/6/05,6129.12
3/7/05,6129.11
3/8/05,6129.13
3/9/05,6129.15
3/10/05,6129.18
3/11/05,6129.22
3/12/05,6129.27
3/13/05,6129.33
3/14/05,6129.37
3/15/05,6129.41
3/16/05,6129.49
3/17/05,6129.58
3/18/05,6129.63
3/19/05,6129.69
3/20/05,6129.77
3/21/05,6129.87
3/22/05,6129.93
3/23/05,6130.06
3/24/05,6130.17
3/25/05,6130.26
3/26/05,6130.31
3/27/05,6130.35
3/28/05,6130.45
3/29/05,6130.56
3/30/05,6130.69
3/31/05,6130.74
4/1/05,6130.8
4/2/05,6130.87
4/3/05,6130.95
4/4/05,6131.02
4/5/05,6131.08
4/6/05,6131.17
4/7/05,6131.35
4/8/05,6131.63
4/9/05,6131.88
4/10/05,6132.06
4/11/05,6132.19
4/12/05,6132.39
4/13/05,6132.6
4/14/05,6132.87
4/15/05,6133.11
4/16/05,6133.39
4/17/05,6133.71
4/18/05,6134.19
4/19/05,6134.64
4/20/05,6135.12
4/21/05,6135.49
4/22/05,6135.81
4/23/05,6136.15
4/24/05,6136.52
4/25/05,6136.97
4/26/05,6137.38
4/27/05,6137.77
4/28/05,6138.37
4/29/05,6138.94
4/30/05,6139.42
5/1/05,6139.83
5/2/05,6140.16
5/3/05,6140.52
5/4/05,6140.85
5/5/05,6141.18
5/6/05,6141.62
5/7/05,6142.13
5/8/05,6142.8
5/9/05,6143.28
5/10/05,6143.93
5/11/05,6144.78
5/12/05,6145.46
5/13/05,6145.89
5/14/05,6146.26
5/15/05,6146.65
5/16/05,6147.08
5/17/05,6147.63
5/18/05,6148.15
5/19/05,6148.66
5/20/05,6149.34
5/21/05,6150.24
5/22/05,6151.4
5/23/05,6152.64
5/24/05,6153.89
5/25/05,6155.06
5/26/05,6156.07
5/27/05,6156.96
5/28/05,6157.69
5/29/05,6158.36
5/30/05,6158.34
5/31/05,6159.19
6/1/05,6159.57
6/2/05,6160.08
6/3/05,6160.34
6/4/05,6160.41
6/5/05,6160.42
6/6/05,6160.61
6/7/05,6161.02
6/8/05,6161.34
6/9/05,6161.75
6/10/05,6162.04
6/11/05,6162.09
6/12/05,6162.09
6/13/05,6162.1
6/14/05,6162.1
6/15/05,6162.22
6/16/05,6162.78
6/17/05,6163.72
6/18/05,6164.45
6/19/05,6165.05
6/20/05,6165.51
6/21/05,6165.92
6/22/05,6166.27
6/23/05,6166.39
6/24/05,6166.27
6/25/05,6166.27
6/26/05,6166.32
6/27/05,6166.36
6/28/05,6166.4
6/29/05,6166.41
6/30/05,6166.41
7/1/05,6166.41
7/2/05,6166.41
7/3/05,6166.4
7/4/05,6166.4
7/5/05,6166.4
7/6/05,6166.38
7/7/05,6166.36
7/8/05,6166.28
7/9/05,6166.19
7/10/05,6166.09
7/11/05,6166
7/12/05,6165.89
7/13/05,6165.75
7/14/05,6165.62
7/15/05,6165.53
7/16/05,6165.46
7/17/05,6165.35
7/18/05,6165.21
7/19/05,6165.09
7/20/05,6164.99
7/21/05,6164.84
7/22/05,6164.66
7/23/05,6164.52
7/24/05,6164.38
7/25/05,6164.24
7/26/05,6164.03
7/27/05,6163.85
7/28/05,6163.65
7/29/05,6163.46
7/30/05,6163.29
7/31/05,6163.09
8/1/05,6162.92
8/2/05,6162.75
8/3/05,6162.56
8/4/05,6162.37
8/5/05,6162.22
8/6/05,6162
8/7/05,6161.86
8/8/05,6161.69
8/9/05,6161.5
8/10/05,6161.33
8/11/05,6161.17
8/12/05,6160.95
8/13/05,6160.78
8/14/05,6160.6
8/15/05,6160.4
8/16/05,6160.28
8/17/05,6160.17
8/18/05,6160.03
8/19/05,6159.85
8/20/05,6159.73
8/21/05,6159.61
8/22/05,6159.45
8/23/05,6159.29
8/24/05,6159.19
8/25/05,6159.08
8/26/05,6158.94
8/27/05,6158.79
8/28/05,6158.68
8/29/05,6158.57
8/30/05,6158.42
8/31/05,6158.22
9/1/05,6158.11
9/2/05,6157.98
9/3/05,6157.81
9/4/05,6157.66
9/5/05,6157.55
9/6/05,6157.4
9/7/05,6157.23
9/8/05,6157.1
9/9/05,6157
9/10/05,6156.89
9/11/05,6156.71
9/12/05,6156.58
9/13/05,6156.47
9/14/05,6156.36
9/15/05,6156.22
9/16/05,6156.1
9/17/05,6155.99
9/18/05,6155.88
9/19/05,6155.76
9/20/05,6155.64
9/21/05,6155.5
9/22/05,6155.44
9/23/05,6155.33
9/24/05,6155.21
9/25/05,6155.06
9/26/05,6154.95
9/27/05,6154.86
9/28/05,6154.78
9/29/05,6154.7
9/30/05,6154.62
10/1/05,6154.5
10/2/05,6154.43
10/3/05,6154.35
10/4/05,6154.26
