Date,Elevation (ft)
1/1/06,2980.96
1/2/06,2980.97
1/3/06,2980.98
1/4/06,2980.99
1/5/06,2981
1/6/06,2981.01
1/7/06,2981.02
1/8/06,2981.03
1/9/06,2981.04
1/10/06,2981.05
1/11/06,2981.05
1/12/06,2981.04
1/13/06,2981.03
1/14/06,2981.03
1/15/06,2981.02
1/16/06,2981.02
1/17/06,2981.02
1/18/06,2981.02
1/19/06,2981.02
1/20/06,2981.02
1/21/06,2981.02
1/22/06,2981.02
1/23/06,2981.02
1/24/06,2981.02
1/25/06,2981.02
1/26/06,2981.02
1/27/06,2981.01
1/28/06,2981.01
1/29/06,2981.01
1/30/06,2981
1/31/06,2981
2/1/06,2981
2/2/06,2981
2/3/06,2981
2/4/06,2981
2/5/06,2981
2/6/06,2981
2/7/06,2980.99
2/8/06,2980.99
2/9/06,2980.99
2/10/06,2980.99
2/11/06,2980.98
2/12/06,2980.98
2/13/06,2980.98
2/14/06,2980.97
2/15/06,2980.95
2/16/06,2980.92
2/17/06,2980.89
2/18/06,2980.86
2/19/06,2980.83
2/20/06,2980.8
2/21/06,2980.77
2/22/06,2980.74
2/23/06,2980.72
2/24/06,2980.7
2/25/06,2980.69
2/26/06,2980.68
2/27/06,2980.67
2/28/06,2980.66
3/1/06,2980.65
3/2/06,2980.65
3/3/06,2980.65
3/4/06,2980.65
3/5/06,2980.65
3/6/06,2980.65
3/7/06,2980.64
3/8/06,2980.64
3/9/06,2980.64
3/10/06,2980.64
3/11/06,2980.64
3/12/06,2980.64
3/13/06,2980.63
3/14/06,2980.63
3/15/06,2980.62
3/16/06,2980.62
3/17/06,2980.61
3/18/06,2980.63
3/19/06,2980.65
3/20/06,2980.66
3/21/06,2980.67
3/22/06,2980.68
3/23/06,2980.69
3/24/06,2980.7
3/25/06,2980.71
3/26/06,2980.72
3/27/06,2980.75
3/28/06,2980.81
3/29/06,2980.88
3/30/06,2980.95
3/31/06,2980.99
4/1/06,2981.02
4/2/06,2981.05
4/3/06,2981.07
4/4/06,2981.1
4/5/06,2981.13
4/6/06,2981.19
4/7/06,2981.26
4/8/06,2981.45
4/9/06,2981.58
4/10/06,2981.71
4/11/06,2981.82
4/12/06,2981.91
4/13/06,2982
4/14/06,2982.09
4/15/06,2982.17
4/16/06,2982.25
4/17/06,2982.33
4/18/06,2982.41
4/19/06,2982.46
4/20/06,2982.52
4/21/06,2982.58
4/22/06,2982.64
4/23/06,2982.7
4/24/06,2982.75
4/25/06,2982.79
4/26/06,2982.85
4/27/06,2982.9
4/28/06,2982.95
4/29/06,2983
4/30/06,2983.08
5/1/06,2983.17
5/2/06,2983.27
5/3/06,2983.37
5/4/06,2983.44
5/5/06,2983.51
5/6/06,2983.57
5/7/06,2983.63
5/8/06,2983.69
5/9/06,2983.74
5/10/06,2983.79
5/11/06,2983.84
5/12/06,2983.88
5/13/06,2983.92
5/14/06,2983.96
5/15/06,2984.01
5/16/06,2984.08
5/17/06,2984.16
5/18/06,2984.29
5/19/06,2984.49
5/20/06,2984.79
5/21/06,2985.08
5/22/06,2985.37
5/23/06,2985.65
5/24/06,2985.89
5/25/06,2986.12
5/26/06,2986.34
5/27/06,2986.56
5/28/06,2986.77
5/29/06,2986.97
5/30/06,2987.12
5/31/06,2987.25
6/1/06,2987.36
6/2/06,2987.44
6/3/06,2987.54
6/4/06,2987.67
6/5/06,2987.81
6/6/06,2987.95
6/7/06,2988.1
6/8/06,2988.26
6/9/06,2988.45
6/10/06,2988.66
6/11/06,2988.8
6/12/06,2988.83
6/13/06,2988.71
6/14/06,2988.66
6/15/06,2988.56
6/16/06,2988.42
6/17/06,2988.32
6/18/06,2988.3
6/19/06,2988.35
6/20/06,2988.43
6/21/06,2988.49
6/22/06,2988.52
6/23/06,2988.61
6/24/06,2988.65
6/25/06,2988.69
6/26/06,2988.73
6/27/06,2988.77
6/28/06,2988.78
6/29/06,2988.79
6/30/06,2988.8
7/1/06,2988.81
7/2/06,2988.8
7/3/06,2988.78
7/4/06,2988.75
7/5/06,2988.72
7/6/06,2988.69
7/7/06,2988.66
7/8/06,2988.63
7/9/06,2988.6
7/10/06,2988.57
7/11/06,2988.53
7/12/06,2988.48
7/13/06,2988.42
7/14/06,2988.36
7/15/06,2988.3
7/16/06,2988.23
7/17/06,2988.16
7/18/06,2988.09
7/19/06,2988.02
7/20/06,2987.95
7/21/06,2987.88
7/22/06,2987.81
7/23/06,2987.74
7/24/06,2987.67
7/25/06,2987.6
7/26/06,2987.53
7/27/06,2987.46
7/28/06,2987.39
7/29/06,2987.32
7/30/06,2987.25
7/31/06,2987.18
8/1/06,2987.11
8/2/06,2987.04
8/3/06,2986.98
8/4/06,2986.92
8/5/06,2986.86
8/6/06,2986.8
8/7/06,2986.74
8/8/06,2986.68
8/9/06,2986.62
8/10/06,2986.56
8/11/06,2986.5
8/12/06,2986.44
8/13/06,2986.38
8/14/06,2986.32
8/15/06,2986.26
8/16/06,2986.2
8/17/06,2986.14
8/18/06,2986.07
8/19/06,2986
8/20/06,2985.93
8/21/06,2985.86
8/22/06,2985.79
8/23/06,2985.72
8/24/06,2985.65
8/25/06,2985.58
8/26/06,2985.51
8/27/06,2985.44
8/28/06,2985.37
8/29/06,2985.3
8/30/06,2985.23
8/31/06,2985.16
9/1/06,2985.09
9/2/06,2985.02
9/3/06,2984.95
9/4/06,2984.88
9/5/06,2984.81
9/6/06,2984.74
9/7/06,2984.67
9/8/06,2984.6
9/9/06,2984.54
9/10/06,2984.48
9/11/06,2984.42
9/12/06,2984.36
9/13/06,2984.3
9/14/06,2984.24
9/15/06,2984.18
9/16/06,2984.12
9/17/06,2984.06
9/18/06,2984.02
9/19/06,2983.98
9/20/06,2983.96
9/21/06,2983.92
9/22/06,2983.87
9/23/06,2983.82
9/24/06,2983.77
9/25/06,2983.72
9/26/06,2983.67
9/27/06,2983.62
9/28/06,2983.57
9/29/06,2983.52
9/30/06,2983.47
10/1/06,2983.42
10/2/06,2983.37
10/3/06,2983.32
10/4/06,2983.27
10/5/06,2983.22
10/6/06,2983.17
10/7/06,2983.12
10/8/06,2983.07
10/9/06,2983.02
10/10/06,2982.97
10/11/06,2982.92
10/12/06,2982.87
10/13/06,2982.82
10/14/06,2982.77
10/15/06,2982.72
10/16/06,2982.67
10/17/06,2982.62
10/18/06,2982.57
10/19/06,2982.52
10/20/06,2982.47
10/21/06,2982.42
10/22/06,2982.37
10/23/06,2982.32
10/24/06,2982.27
10/25/06,2982.22
10/26/06,2982.17
10/27/06,2982.12
10/28/06,2982.07
10/29/06,2982.02
10/30/06,2981.97
10/31/06,2981.92
11/1/06,2981.87
11/2/06,2981.82
11/3/06,2981.77
11/4/06,2981.72
11/5/06,2981.67
11/6/06,2981.64
11/7/06,2981.61
11/8/06,2981.58
11/9/06,2981.69
11/10/06,2981.93
11/11/06,2982.01
11/12/06,2982.08
11/13/06,2982.13
11/14/06,2982.18
11/15/06,2982.23
11/16/06,2982.27
11/17/06,2982.31
11/18/06,2982.35
11/19/06,2982.39
11/20/06,2982.42
11/21/06,2982.45
11/22/06,2982.48
11/23/06,2982.5
11/24/06,2982.48
11/25/06,2982.45
11/26/06,2982.42
11/27/06,2982.39
11/28/06,2982.36
11/29/06,2982.33
11/30/06,2982.3
12/1/06,2982.27
12/2/06,2982.24
12/3/06,2982.21
12/4/06,2982.18
12/5/06,2982.15
12/6/06,2982.13
12/7/06,2982.11
12/8/06,2982.1
12/9/06,2982.09
12/10/06,2982.08
12/11/06,2982.07
12/12/06,2982.05
12/13/06,2982.03
12/14/06,2982.01
12/15/06,2981.99
12/16/06,2981.97
12/17/06,2981.95
12/18/06,2981.93
12/19/06,2981.91
12/20/06,2981.89
12/21/06,2981.87
12/22/06,2981.85
12/23/06,2981.83
12/24/06,2981.81
12/25/06,2981.78
12/26/06,2981.74
12/27/06,2981.7
12/28/06,2981.66
12/29/06,2981.62
12/30/06,2981.58
12/31/06,2981.54
1/1/07,2981.5
1/2/07,2981.46
1/3/07,2981.42
1/4/07,2981.38
1/5/07,2981.34
1/6/07,2981.3
1/7/07,2981.26
1/8/07,2981.22
1/9/07,2981.18
1/10/07,2981.13
1/11/07,2981.07
1/12/07,2981.01
1/13/07,2980.95
1/14/07,2980.89
1/15/07,2980.83
1/16/07,2980.76
1/17/07,2980.68
1/18/07,2980.59
1/19/07,2980.49
1/20/07,2980.39
1/21/07,2980.29
1/22/07,2980.19
1/23/07,2980.09
1/24/07,2979.99
1/25/07,2979.89
1/26/07,2979.79
1/27/07,2979.69
1/28/07,2979.59
1/29/07,2979.49
1/30/07,2979.39
1/31/07,2979.29
2/1/07,2979.19
2/2/07,2979.09
2/3/07,2978.99
2/4/07,2978.9
2/5/07,2978.81
2/6/07,2978.72
2/7/07,2978.63
2/8/07,2978.54
2/9/07,2978.45
2/10/07,2978.36
2/11/07,2978.27
2/12/07,2978.18
2/13/07,2978.09
2/14/07,2978
2/15/07,2977.91
2/16/07,2977.82
2/17/07,2977.73
2/18/07,2977.64
2/19/07,2977.54
2/20/07,2977.44
2/21/07,2977.33
2/22/07,2977.22
2/23/07,2977.11
2/24/07,2977
2/25/07,2976.89
2/26/07,2976.78
2/27/07,2976.67
2/28/07,2976.56
3/1/07,2976.45
3/2/07,2976.34
3/3/07,2976.23
3/4/07,2976.12
3/5/07,2976.02
3/6/07,2975.94
3/7/07,2975.91
3/8/07,2975.88
3/9/07,2975.85
3/10/07,2975.85
3/11/07,2975.88
3/12/07,2975.91
3/13/07,2975.94
3/14/07,2975.98
3/15/07,2976.02
3/16/07,2976.04
3/17/07,2976.02
3/18/07,2976
3/19/07,2975.98
3/20/07,2975.96
3/21/07,2975.94
3/22/07,2975.92
3/23/07,2975.9
3/24/07,2975.88
3/25/07,2975.88
3/26/07,2975.89
3/27/07,2975.91
3/28/07,2975.93
3/29/07,2975.97
3/30/07,2976.05
3/31/07,2976.14
4/1/07,2976.23
4/2/07,2976.32
4/3/07,2976.42
4/4/07,2976.52
4/5/07,2976.61
4/6/07,2976.66
4/7/07,2976.69
4/8/07,2976.72
4/9/07,2976.75
4/10/07,2976.78
4/11/07,2976.81
4/12/07,2976.83
4/13/07,2976.85
4/14/07,2976.87
4/15/07,2976.89
4/16/07,2976.91
4/17/07,2976.93
4/18/07,2976.97
4/19/07,2977.07
4/20/07,2977.12
4/21/07,2977.17
4/22/07,2977.22
4/23/07,2977.25
4/24/07,2977.27
4/25/07,2977.29
4/26/07,2977.31
4/27/07,2977.33
4/28/07,2977.35
4/29/07,2977.37
4/30/07,2977.39
5/1/07,2977.46
5/2/07,2977.63
5/3/07,2977.78
5/4/07,2977.93
5/5/07,2978.06
5/6/07,2978.18
5/7/07,2978.3
5/8/07,2978.39
5/9/07,2978.47
5/10/07,2978.55
5/11/07,2978.71
5/12/07,2978.92
5/13/07,2979.13
5/14/07,2979.35
5/15/07,2979.54
5/16/07,2979.72
5/17/07,2979.85
5/18/07,2980
5/19/07,2980.15
5/20/07,2980.31
5/21/07,2980.48
5/22/07,2980.66
5/23/07,2980.78
5/24/07,2980.89
5/25/07,2980.98
5/26/07,2981.07
5/27/07,2981.16
5/28/07,2981.25
5/29/07,2981.31
5/30/07,2981.37
5/31/07,2981.43
6/1/07,2981.49
6/2/07,2981.57
6/3/07,2981.65
6/4/07,2981.74
6/5/07,2981.85
6/6/07,2982
6/7/07,2982.17
6/8/07,2982.32
