Month,ResidenceTime_days
2004-01-01,845.76
2004-02-01,836.82
2004-03-01,829.09
2004-04-01,707.76
2004-05-01,321.73
2004-06-01,351.36
2004-07-01,408.63
2004-08-01,427.40
2004-09-01,468.88
2004-10-01,687.98
2004-11-01,765.08
2004-12-01,742.44
2005-01-01,742.24
2005-02-01,738.38
2005-03-01,742.86
2005-04-01,693.57
2005-05-01,401.25
2005-06-01,147.51
2005-07-01,349.59
2005-08-01,488.91
2005-09-01,563.23
2005-10-01,805.73
2005-11-01,906.10
2005-12-01,900.50
2006-01-01,899.60
2006-02-01,897.12
2006-03-01,890.86
2006-04-01,483.41
2006-05-01,285.71
2006-06-01,204.84
2006-07-01,447.83
2006-08-01,500.99
2006-09-01,530.79
2006-10-01,546.52
2006-11-01,556.56
2006-12-01,545.31
2007-01-01,535.67
2007-02-01,609.02
2007-03-01,670.24
2007-04-01,637.26
2007-05-01,477.13
2007-06-01,473.21
2007-07-01,494.95
2007-08-01,356.82
2007-09-01,294.28
2007-10-01,704.28
2007-11-01,786.57
2007-12-01,764.65
2008-01-01,760.21
2008-02-01,754.95
2008-03-01,748.52
2008-04-01,666.00
2008-05-01,238.47
2008-06-01,211.60
2008-07-01,325.47
2008-08-01,267.80
2008-09-01,422.41
2008-10-01,700.12
2008-11-01,810.05
2008-12-01,783.22
2009-01-01,764.25
2009-02-01,751.58
2009-03-01,746.89
2009-04-01,485.12
2009-05-01,208.00
2009-06-01,185.22
2009-07-01,276.33
2009-08-01,250.11
2009-09-01,459.16
2009-10-01,656.64
2009-11-01,787.88
2009-12-01,783.15
2010-01-01,765.90
2010-02-01,751.36
2010-03-01,768.71
2010-04-01,705.05
2010-05-01,421.58
2010-06-01,253.79
2010-07-01,288.14
2010-08-01,303.95
2010-09-01,469.98
2010-10-01,618.76
2010-11-01,786.45
2010-12-01,795.45
2011-01-01,802.25
2011-02-01,395.0694374
2011-03-01,375.0444363
2011-04-01,181.3969749
2011-05-01,176.4715379
2011-06-01,180.5772832
2011-07-01,188.5644809
2011-08-01,293.135156
2011-09-01,495.4775683
2011-10-01,685.0997956
2011-11-01,900.4421871
2011-12-01,887.7339871
2012-01-01,881.7122956
2012-02-01,889.2690352
2012-03-01,885.3910454
2012-04-01,833.1978528
2012-05-01,496.0309354
2012-06-01,451.1408465
2012-07-01,211.8122773
2012-08-01,190.9193518
2012-09-01,340.9164051
2012-10-01,541.6873008
2012-11-01,640.725054
2012-12-01,637.1855077
2013-01-01,617.5481157
2013-02-01,609.8712731
2013-03-01,608.5677195
2013-04-01,562.0128402
2013-05-01,353.6640561
2013-06-01,355.7720825
2013-07-01,294.2652874
2013-08-01,272.8277652
2013-09-01,343.3510145
2013-10-01,500.150273
2013-11-01,545.2878382
2013-12-01,549.6179999
2014-01-01,544.831212
2014-02-01,538.0500545
2014-03-01,526.2835603
2014-04-01,472.9382287
2014-05-01,340.9875487
2014-06-01,437.2790195
2014-07-01,328.6614228
2014-08-01,245.4407538
2014-09-01,216.2077024
2014-10-01,608.6492149
2014-11-01,690.3908313
2014-12-01,700.0469733
2015-01-01,690.378116
2015-02-01,672.5650854
2015-03-01,683.4592215
2015-04-01,552.2202729
2015-05-01,379.8698304
2015-06-01,421.9416498
2015-07-01,328.1576183
2015-08-01,180.1755741
2015-09-01,329.1692987
2015-10-01,407.3012749
2015-11-01,600.9184668
2015-12-01,589.6494864
2016-01-01,583.2666599
2016-02-01,566.8288551
2016-03-01,568.3944779
2016-04-01,504.3404231
2016-05-01,344.5662509
2016-06-01,396.8749825
2016-07-01,353.7342283
2016-08-01,226.1397566
2016-09-01,191.3251491
2016-10-01,476.6604785
2016-11-01,631.04273
2016-12-01,629.5059952
2017-01-01,630.0533146
2017-02-01,626.673245
2017-03-01,653.0176702
2017-04-01,679.4605677
2017-05-01,214.0566632
2017-06-01,125.2320528
2017-07-01,274.7522349
2017-08-01,410.8474236
2017-09-01,477.9558952
2017-10-01,852.8568583
2017-11-01,864.4163022
2017-12-01,887.8717768
2018-01-01,871.6704442
2018-02-01,861.6622003
2018-03-01,860.3085609
2018-04-01,805.0491985
2018-05-01,434.8069194
2018-06-01,240.294878
2018-07-01,260.4740833
2018-08-01,241.2698335
2018-09-01,324.6291088
2018-10-01,500.884588
2018-11-01,663.3334088
2018-12-01,655.610641
2019-01-01,653.2348498
2019-02-01,663.55986
2019-03-01,658.8302005
2019-04-01,634.7090857
2019-05-01,333.9556178
2019-06-01,132.0232687
2019-07-01,259.3496191
2019-08-01,420.2795844
2019-09-01,527.4903425
2019-10-01,848.4780549
2019-11-01,918.4433668
2019-12-01,909.0832443
2020-01-01,912.9995993
2020-02-01,914.1503744
2020-03-01,900.0819954
2020-04-01,776.1319453
2020-05-01,202.1603841
2020-06-01,224.739991
2020-07-01,324.9654133
2020-08-01,356.5333107
2020-09-01,364.9064363
2020-10-01,511.9486482
2020-11-01,751.3235802
2020-12-01,759.4847428
