Date,Elevation (ft)
1/1/97,435.76
1/2/97,455.65
1/3/97,453.08
1/4/97,448.42
1/5/97,440.43
1/6/97,432.6
1/7/97,428.04
1/8/97,423.45
1/9/97,418.13
1/10/97,412.54
1/11/97,408.34
1/12/97,405.42
1/13/97,402.59
1/14/97,399.86
1/15/97,397.68
1/16/97,396.4
1/17/97,395.75
1/18/97,395.39
1/19/97,395.33
1/20/97,395.99
1/21/97,396.51
1/22/97,399.52
1/23/97,402.36
1/24/97,398.67
1/25/97,398.37
1/26/97,407.13
1/27/97,408.51
1/28/97,406.24
1/29/97,403.06
1/30/97,400.64
1/31/97,399.51
2/1/97,398.97
2/2/97,398.87
2/3/97,398.37
2/4/97,397.77
2/5/97,396.85
2/6/97,395.76
2/7/97,394.76
2/8/97,394.42
2/9/97,394.54
2/10/97,394.85
2/11/97,395.37
2/12/97,396.19
2/13/97,396.81
2/14/97,397.32
2/15/97,398.03
2/16/97,398.78
2/17/97,399.8
2/18/97,400.8
2/19/97,401.74
2/20/97,402.48
2/21/97,403.19
2/22/97,403.74
2/23/97,404.38
2/24/97,404.94
2/25/97,405.29
2/26/97,404.84
2/27/97,404.15
2/28/97,403.61
3/1/97,403.08
3/2/97,402.83
3/3/97,402.97
3/4/97,403.15
3/5/97,403.16
3/6/97,403.35
3/7/97,403.54
3/8/97,403.8
3/9/97,404.08
3/10/97,404.35
3/11/97,404.68
3/12/97,404.99
3/13/97,405.23
3/14/97,405.34
3/15/97,405.49
3/16/97,405.77
3/17/97,406.25
3/18/97,406.58
3/19/97,407.02
3/20/97,407.48
3/21/97,407.87
3/22/97,408.25
3/23/97,408.78
3/24/97,409.28
3/25/97,409.87
3/26/97,410.28
3/27/97,410.86
3/28/97,411.43
3/29/97,411.93
3/30/97,412.24
3/31/97,412.64
4/1/97,412.97
4/2/97,413.16
4/3/97,413.32
4/4/97,413.34
4/5/97,413.44
4/6/97,413.47
4/7/97,413.64
4/8/97,413.77
4/9/97,413.99
4/10/97,414.23
4/11/97,414.43
4/12/97,414.48
4/13/97,414.57
4/14/97,414.65
4/15/97,414.87
4/16/97,415.01
4/17/97,415.36
4/18/97,415.71
4/19/97,416.45
4/20/97,417.43
4/21/97,418.16
4/22/97,419.03
4/23/97,419.96
4/24/97,420.63
4/25/97,421.09
4/26/97,421.46
4/27/97,421.8
4/28/97,422.28
4/29/97,422.67
4/30/97,423.01
5/1/97,423.35
5/2/97,423.62
5/3/97,423.78
5/4/97,424
5/5/97,424.35
5/6/97,424.61
5/7/97,424.89
5/8/97,425.22
5/9/97,425.47
5/10/97,425.9
5/11/97,426.28
5/12/97,426.65
5/13/97,427.07
5/14/97,427.53
5/15/97,427.92
5/16/97,428.29
5/17/97,428.8
5/18/97,429.36
5/19/97,429.74
5/20/97,429.99
5/21/97,430.21
5/22/97,430.22
5/23/97,430.35
5/24/97,430.51
5/25/97,430.7
5/26/97,430.81
5/27/97,430.88
5/28/97,430.89
5/29/97,431.07
5/30/97,431.08
5/31/97,431.09
6/1/97,431.03
6/2/97,430.98
6/3/97,430.98
6/4/97,431.11
6/5/97,431.9
6/6/97,432.56
6/7/97,433.1
6/8/97,433.43
6/9/97,433.56
6/10/97,433.8
6/11/97,433.64
6/12/97,433.51
6/13/97,433.27
6/14/97,433.11
6/15/97,432.83
6/16/97,432.73
6/17/97,432.66
6/18/97,432.56
6/19/97,432.5
6/20/97,432.54
6/21/97,432.47
6/22/97,432.45
6/23/97,432.4
6/24/97,432.42
6/25/97,432.17
6/26/97,431.91
6/27/97,431.47
6/28/97,431.09
6/29/97,430.54
6/30/97,430.13
7/1/97,429.77
7/2/97,429.36
7/3/97,429.02
7/4/97,428.79
7/5/97,428.49
7/6/97,428.18
7/7/97,427.9
7/8/97,427.9
7/9/97,427.8
7/10/97,427.67
7/11/97,427.51
7/12/97,427.34
7/13/97,427.18
7/14/97,427.02
7/15/97,426.92
7/16/97,426.78
7/17/97,426.5
7/18/97,426.36
7/19/97,426.29
7/20/97,425.97
7/21/97,425.92
7/22/97,425.71
7/23/97,425.48
7/24/97,425.36
7/25/97,425.26
7/26/97,425.25
7/27/97,425.09
7/28/97,424.93
7/29/97,424.83
7/30/97,424.76
7/31/97,424.55
8/1/97,424.43
8/2/97,424.29
8/3/97,424.12
8/4/97,424.03
8/5/97,423.96
8/6/97,423.95
8/7/97,423.96
8/8/97,423.89
8/9/97,423.78
8/10/97,423.6
8/11/97,423.39
8/12/97,423.27
8/13/97,423.19
8/14/97,423.1
8/15/97,422.93
8/16/97,422.8
8/17/97,422.57
8/18/97,422.35
8/19/97,422.15
8/20/97,422.1
8/21/97,422.03
8/22/97,422.03
8/23/97,421.97
8/24/97,421.93
8/25/97,421.93
8/26/97,422.01
8/27/97,422.07
8/28/97,422.09
8/29/97,422.15
8/30/97,422.17
8/31/97,422.17
9/1/97,422.23
9/2/97,422.33
9/3/97,422.46
9/4/97,422.58
9/5/97,422.65
9/6/97,422.65
9/7/97,422.73
9/8/97,422.78
9/9/97,422.9
9/10/97,423.11
9/11/97,423.18
9/12/97,423.32
9/13/97,423.48
9/14/97,423.44
9/15/97,423.6
9/16/97,423.86
9/17/97,424.1
9/18/97,424.31
9/19/97,424.52
9/20/97,424.51
9/21/97,424.34
9/22/97,424.24
9/23/97,424.21
9/24/97,424.13
9/25/97,424.05
9/26/97,423.86
9/27/97,423.64
9/28/97,423.47
9/29/97,423.39
9/30/97,423.38
10/1/97,423.3
10/2/97,423.15
10/3/97,422.87
10/4/97,422.57
10/5/97,422.19
10/6/97,421.82
10/7/97,421.54
10/8/97,421.17
10/9/97,421.06
10/10/97,420.95
10/11/97,420.61
10/12/97,420.45
10/13/97,420.36
10/14/97,420.25
10/15/97,420.17
10/16/97,419.92
10/17/97,419.84
10/18/97,419.67
10/19/97,419.43
10/20/97,419.14
10/21/97,418.56
10/22/97,418.04
10/23/97,417.57
10/24/97,417.01
10/25/97,416.64
10/26/97,416.4
10/27/97,416.19
10/28/97,415.99
10/29/97,415.72
10/30/97,415.49
10/31/97,415.38
11/1/97,415.04
11/2/97,414.54
11/3/97,414.15
11/4/97,413.6
11/5/97,413.59
11/6/97,413.17
11/7/97,412.86
11/8/97,412.58
11/9/97,412.05
11/10/97,411.62
11/11/97,411.26
11/12/97,411.01
11/13/97,410.73
11/14/97,410.43
11/15/97,410.23
11/16/97,409.97
11/17/97,409.7
11/18/97,409.5
11/19/97,409.18
11/20/97,408.88
