Date,Elevation (ft)
1/1/1997,2306.2
1/2/1997,2306.22
1/3/1997,2306.22
1/4/1997,2306.22
1/5/1997,2306.23
1/6/1997,2306.23
1/7/1997,2306.23
1/8/1997,2306.23
1/9/1997,2306.24
1/10/1997,2306.25
1/11/1997,2306.25
1/12/1997,2306.25
1/13/1997,2306.25
1/14/1997,2306.25
1/15/1997,2306.26
1/16/1997,2306.28
1/17/1997,2306.28
1/18/1997,2306.28
1/19/1997,2306.28
1/20/1997,2306.29
1/21/1997,2306.31
1/22/1997,2306.31
1/23/1997,2306.31
1/24/1997,2306.32
1/25/1997,2306.32
1/26/1997,2306.32
1/27/1997,2306.32
1/28/1997,2306.32
1/29/1997,2306.32
1/30/1997,2306.34
1/31/1997,2306.35
2/1/1997,2306.36
2/2/1997,2306.37
2/3/1997,2306.37
2/4/1997,2306.38
2/5/1997,2306.39
2/6/1997,2306.39
2/7/1997,2306.41
2/8/1997,2306.43
2/9/1997,2306.43
2/10/1997,2306.44
2/11/1997,2306.45
2/12/1997,2306.46
2/13/1997,2306.46
2/14/1997,2306.46
2/15/1997,2306.47
2/16/1997,2306.47
2/17/1997,2306.47
2/18/1997,2306.47
2/19/1997,2306.47
2/20/1997,2306.46
2/21/1997,2306.46
2/22/1997,2306.46
2/23/1997,2306.47
2/24/1997,2306.47
2/25/1997,2306.47
2/26/1997,2306.47
2/27/1997,2306.47
2/28/1997,2306.47
3/1/1997,2306.47
3/2/1997,2306.47
3/3/1997,2306.47
3/4/1997,2306.47
3/5/1997,2306.46
3/6/1997,2306.44
3/7/1997,2306.45
3/8/1997,2306.45
3/9/1997,2306.45
3/10/1997,2306.45
3/11/1997,2306.42
3/12/1997,2306.42
3/13/1997,2306.43
3/14/1997,2306.39
3/15/1997,2306.39
3/16/1997,2306.38
3/17/1997,2306.37
3/18/1997,2306.37
3/19/1997,2306.36
3/20/1997,2306.36
3/21/1997,2306.37
3/22/1997,2306.35
3/23/1997,2306.34
3/24/1997,2306.34
3/25/1997,2306.31
3/26/1997,2306.31
3/27/1997,2306.32
3/28/1997,2306.32
3/29/1997,2306.3
3/30/1997,2306.29
3/31/1997,2306.27
4/1/1997,2306.26
4/2/1997,2306.23
4/3/1997,2306.23
4/4/1997,2306.23
4/5/1997,2306.21
4/6/1997,2306.2
4/7/1997,2306.18
4/8/1997,2306.14
4/9/1997,2306.14
4/10/1997,2306.14
4/11/1997,2306.15
4/12/1997,2306.15
4/13/1997,2306.15
4/14/1997,2306.15
4/15/1997,2306.15
4/16/1997,2306.13
4/17/1997,2306.13
4/18/1997,2306.14
4/19/1997,2306.14
4/20/1997,2306.13
4/21/1997,2306.13
4/22/1997,2306.13
4/23/1997,2306.1
4/24/1997,2306.1
4/25/1997,2306.07
4/26/1997,2306.07
4/27/1997,2306.07
4/28/1997,2306.07
4/29/1997,2306.05
4/30/1997,2306.07
5/1/1997,2306.07
5/2/1997,2306.1
5/3/1997,2306.1
5/4/1997,2306.1
