Date,Elevation (ft)
1/1/97,8110.61
1/2/97,8111
1/3/97,8111.4
1/21/97,8113.1
1/31/97,8113.61
2/7/97,8115.4
2/28/97,8116.67
3/3/97,8117.8
3/31/97,8120.36
4/1/97,8120.5
4/2/97,8120.65
4/3/97,8120.79
4/4/97,8120.94
4/5/97,8121.08
4/6/97,8121.23
4/7/97,8121.37
4/8/97,8121.51
4/9/97,8121.66
4/10/97,8121.8
4/11/97,8121.95
4/12/97,8122.09
4/13/97,8122.24
4/14/97,8122.38
4/15/97,8122.52
4/16/97,8122.67
4/17/97,8122.81
4/18/97,8122.96
4/19/97,8123.1
4/20/97,8123.25
4/21/97,8123.39
4/22/97,8123.53
4/23/97,8123.68
4/24/97,8123.82
4/25/97,8123.97
4/26/97,8124.11
4/27/97,8124.26
4/28/97,8124.4
4/29/97,8124.85
4/30/97,8125.31
5/1/97,8125.51
5/2/97,8125.71
5/3/97,8125.92
5/4/97,8125.54
5/5/97,8125.16
5/6/97,8124.78
5/7/97,8124.4
5/8/97,8124.15
5/9/97,8123.9
5/10/97,8123.65
5/11/97,8123.4
5/12/97,8123.47
5/13/97,8123.53
5/14/97,8123.6
5/15/97,8124.7
5/16/97,8125.8
5/17/97,8126.9
5/18/97,8128
5/19/97,8129.1
5/20/97,8130.2
5/21/97,8131.2
5/22/97,8131.7
5/23/97,8132.4
5/24/97,8133.5
5/25/97,8133.7
5/26/97,8133.8
5/27/97,8133.7
5/28/97,8133.8
5/29/97,8133.8
5/30/97,8134.2
5/31/97,8135.6
6/1/97,8137
6/2/97,8137
6/3/97,8137
6/4/97,8137
6/5/97,8137
6/6/97,8137
6/7/97,8137
6/8/97,8137
6/9/97,8137
6/10/97,8137
6/11/97,8137
6/12/97,8137
6/13/97,8137
6/14/97,8137
6/15/97,8137
6/16/97,8137
6/17/97,8137
6/18/97,8137
6/19/97,8137
6/20/97,8137
6/21/97,8137
6/22/97,8137
6/23/97,8137
6/24/97,8137
6/25/97,8137
6/26/97,8137
6/27/97,8137
6/28/97,8137
6/29/97,8137
6/30/97,8137
7/1/97,8137
7/2/97,8137
7/3/97,8137
7/4/97,8137
7/5/97,8136.7
7/6/97,8136.5
7/7/97,8136.2
7/8/97,8136
7/9/97,8135.5
7/10/97,8135
7/11/97,8134.5
7/12/97,8134
7/13/97,8133.6
7/14/97,8133.2
7/15/97,8132.7
7/16/97,8132.3
7/17/97,8131.6
7/18/97,8131.1
7/19/97,8130.4
7/20/97,8129.6
7/21/97,8129
7/22/97,8128.5
7/23/97,8128
7/24/97,8127.5
7/25/97,8126.9
7/26/97,8126.3
7/27/97,8125.7
7/28/97,8125.4
7/29/97,8125.1
7/30/97,8124.6
7/31/97,8124.1
8/1/97,8123.6
8/2/97,8123.1
8/3/97,8122.7
8/4/97,8122.2
8/5/97,8122.2
8/6/97,8122
8/7/97,8121.8
8/8/97,8121.6
8/9/97,8121.3
8/10/97,8121.1
8/11/97,8120.8
8/12/97,8120.6
8/13/97,8121.2
8/14/97,8121.9
8/15/97,8122.4
8/16/97,8122.6
8/17/97,8123.1
8/18/97,8123.6
8/19/97,8123.8
8/20/97,8123.3
8/21/97,8122.5
8/22/97,8121.9
8/23/97,8121.3
8/24/97,8120.7
8/25/97,8120.1
8/26/97,8119.6
8/27/97,8118.9
8/28/97,8118.3
8/29/97,8117.6
8/30/97,8117
8/31/97,8116.5
9/1/97,8115.9
9/2/97,8115.5
9/3/97,8115
9/4/97,8114.7
9/5/97,8114.4
9/6/97,8114
9/7/97,8113.7
9/8/97,8113.5
9/9/97,8113.3
9/10/97,8113
9/11/97,8112.9
9/12/97,8112.8
9/13/97,8112.7
9/14/97,8112.5
9/15/97,8113.3
9/16/97,8114.1
9/17/97,8114.9
9/18/97,8115.7
9/19/97,8116.5
9/20/97,8117.3
9/21/97,8118.1
9/22/97,8118.5
9/23/97,8119.5
9/24/97,8120.15
9/25/97,8120.8
9/26/97,8121.45
9/27/97,8122.1
9/28/97,8122.75
9/29/97,8123.4
9/30/97,8124.05
10/1/97,8124.7
10/2/97,8125.01
10/3/97,8125.03
10/4/97,8124.88
10/5/97,8124.79
10/6/97,8124.64
10/7/97,8124.54
10/8/97,8124.41
10/9/97,8124.17
10/10/97,8123.67
10/11/97,8123.16
10/12/97,8122.61
10/13/97,8122.07
10/14/97,8121.52
10/15/97,8120.96
10/16/97,8120.4
10/17/97,8119.84
10/18/97,8119.55
10/19/97,8119.54
10/20/97,8119.59
10/21/97,8119.77
10/22/97,8120
10/23/97,8120.22
10/24/97,8120.4
10/25/97,8120.6
10/26/97,8120.81
10/27/97,8121.02
10/28/97,8121.22
10/29/97,8121.32
10/30/97,8121.42
10/31/97,8121.46
11/1/97,8121.5
11/2/97,8121.75
11/3/97,8121.99
11/4/97,8122.23
11/5/97,8122.47
11/6/97,8122.71
11/7/97,8122.94
11/8/97,8123.18
11/9/97,8123.4
11/10/97,8123.63
11/11/97,8123.86
11/12/97,8124.08
11/13/97,8124.29
11/14/97,8124.53
11/15/97,8124.69
11/16/97,8124.85
11/17/97,8125.08
11/18/97,8125.27
11/19/97,8125.48
11/20/97,8125.68
11/21/97,8125.88
11/22/97,8126.07
11/23/97,8126.23
11/24/97,8126.38
11/25/97,8126.53
11/26/97,8126.68
11/27/97,8126.83
11/28/97,8126.98
11/29/97,8127.06
11/30/97,8127.13
12/1/97,8127.3
12/2/97,8127.42
12/3/97,8127.54
12/4/97,8127.66
12/5/97,8127.77
12/6/97,8127.89
12/7/97,8128.01
12/8/97,8128.14
12/9/97,8128.26
12/10/97,8128.37
12/11/97,8128.49
12/12/97,8128.59
12/13/97,8128.7
12/14/97,8128.81
12/15/97,8128.92
12/16/97,8129.03
12/17/97,8129.14
12/18/97,8129.26
12/19/97,8129.38
12/20/97,8129.49
12/21/97,8129.61
12/22/97,8129.72
12/23/97,8129.83
12/24/97,8129.93
12/25/97,8130.04
12/26/97,8130.14
12/27/97,8130.24
12/28/97,8130.34
12/29/97,8130.44
12/30/97,8130.54
12/31/97,8130.63
1/1/98,8130.73
1/2/98,8130.83
1/3/98,8131
1/4/98,8131.09
1/5/98,8131.19
1/6/98,8131.28
1/7/98,8131.38
1/8/98,8131.47
1/9/98,8131.57
1/10/98,8131.66
1/11/98,8131.76
1/12/98,8131.85
1/13/98,8131.94
1/14/98,8132.04
1/15/98,8132.13
1/16/98,8132.23
1/17/98,8132.32
1/18/98,8132.42
1/19/98,8132.51
1/20/98,8132.61
1/21/98,8132.7
1/22/98,8132.81
1/23/98,8132.92
1/24/98,8133.03
1/25/98,8133.14
1/26/98,8133.25
1/27/98,8133.35
1/28/98,8133.46
1/29/98,8133.57
1/30/98,8133.68
1/31/98,8133.79
2/1/98,8133.9
2/2/98,8133.98
