Date,Elevation (ft)
2016-03-12 7:00,9970.45
2016-03-13 7:00,9970.49
2016-03-14 7:00,9970.52
2016-03-15 7:00,9970.6
2016-03-16 7:00,9970.67
2016-03-17 7:00,9970.73
2016-03-18 7:00,9970.77
2016-03-19 7:00,9970.84
2016-03-20 7:00,9970.92
2016-03-21 7:00,9971.02
2016-03-22 7:00,9971.12
2016-03-23 7:00,9971.22
2016-03-24 7:00,9971.29
2016-03-25 7:00,9971.36
2016-03-26 7:00,9971.45
2016-03-27 7:00,9971.51
2016-03-28 7:00,9971.55
2016-03-29 7:00,9971.64
2016-03-30 7:00,9971.71
2016-03-31 7:00,9971.76
2016-04-01 7:00,9971.79
2016-04-02 7:00,9971.83
2016-04-03 7:00,9971.87
2016-04-04 7:00,9971.93
2016-04-05 7:00,9971.96
2016-04-06 7:00,9972.04
2016-04-07 7:00,9972.14
2016-04-08 7:00,9972.19
2016-04-09 7:00,9972.2
2016-04-10 7:00,9972.14
2016-04-11 7:00,9972.12
2016-04-12 7:00,9972.07
2016-04-13 7:00,9972.02
2016-04-14 7:00,9972.04
2016-04-15 7:00,9972.12
2016-04-16 7:00,9972.2
2016-04-17 7:00,9972.19
2016-04-18 7:00,9972.15
2016-04-19 7:00,9972
2016-04-20 7:00,9971.88
2016-04-21 7:00,9971.88
2016-04-22 7:00,9971.93
2016-04-23 7:00,9972.03
2016-04-24 7:00,9971.98
2016-04-25 7:00,9971.94
2016-04-26 7:00,9971.94
2016-04-27 7:00,9971.89
2016-04-28 7:00,9971.93
2016-04-29 7:00,9971.89
2016-04-30 7:00,9971.86
2016-05-01 7:00,9971.85
2016-05-02 7:00,9971.79
2016-05-03 7:00,9971.73
2016-05-04 7:00,9971.8
2016-05-05 7:00,9971.94
2016-05-06 7:00,9972
2016-05-07 7:00,9971.94
2016-05-08 7:00,9971.78
2016-05-09 7:00,9971.82
2016-05-10 7:00,9971.91
2016-05-11 7:00,9971.94
2016-05-12 7:00,9971.87
2016-05-13 7:00,9971.93
2016-05-14 7:00,9972.34
2016-05-15 7:00,9972.74
2016-05-16 7:00,9972.66
2016-05-17 7:00,9972.19
2016-05-18 7:00,9971.84
2016-05-19 7:00,9971.72
2016-05-20 7:00,9971.83
2016-05-21 7:00,9972.35
2016-05-22 7:00,9972.7
2016-05-23 7:00,9972.73
2016-05-24 7:00,9972.69
2016-05-25 7:00,9972.63
2016-05-26 7:00,9972.44
2016-05-27 7:00,9972.03
2016-05-28 7:00,9971.84
2016-05-29 7:00,9971.98
2016-05-30 7:00,9972.35
2016-05-31 7:00,9972.79
2016-06-01 7:00,9973.16
2016-06-02 7:00,9973.42
2016-06-03 7:00,9974.6
2016-06-04 7:00,9976.31
2016-06-05 7:00,9978.42
2016-06-06 7:00,9980.91
2016-06-07 7:00,9983.54
2016-06-08 7:00,9985.97
2016-06-09 7:00,9988.09
2016-06-10 7:00,9989.78
2016-06-11 7:00,9991.12
2016-06-12 7:00,9992.66
2016-06-13 7:00,9993.8
2016-06-14 7:00,9994.4
2016-06-15 7:00,9995.12
2016-06-16 7:00,9995.89
2016-06-17 7:00,9996.52
2016-06-18 7:00,9996.96
2016-06-19 7:00,9997.39
2016-06-20 7:00,9997.62
2016-06-21 7:00,9997.72
2016-06-22 7:00,9997.71
2016-06-23 7:00,9997.67
2016-06-24 7:00,9997.61
2016-06-25 7:00,9997.48
2016-06-26 7:00,9997.39
2016-06-27 7:00,9997.25
