Date,Elevation (ft)
2001-01-01,7887.29
2001-01-02,7887.27
2001-01-03,7887.22
2001-01-04,7887.15
2001-01-05,7887.05
2001-01-06,7886.97
2001-01-07,7886.88
2001-01-08,7886.77
2001-01-09,7886.65
2001-01-10,7886.54
2001-01-11,7886.44
2001-01-12,7886.36
2001-01-13,7886.29
2001-01-14,7886.2
2001-01-15,7886.08
2001-01-16,7885.98
2001-01-17,7885.87
2001-01-18,7885.76
2001-01-19,7885.66
2001-01-20,7885.55
2001-01-21,7885.45
2001-01-22,7885.34
2001-01-23,7885.24
2001-01-24,7885.13
2001-01-25,7885.04
2001-01-26,7884.96
2001-01-27,7884.85
2001-01-28,7884.76
2001-01-29,7884.66
2001-01-30,7884.53
2001-01-31,7884.41
2001-02-01,7884.28
2001-02-02,7884.17
2001-02-03,7884.08
2001-02-04,7883.98
2001-02-05,7883.89
2001-02-06,7883.79
2001-02-07,7883.69
2001-02-08,7883.61
2001-02-09,7883.51
2001-02-10,7883.39
2001-02-11,7883.29
2001-02-12,7883.18
2001-02-13,7883.07
2001-02-14,7882.97
2001-02-15,7882.89
2001-02-16,7882.78
2001-02-17,7882.67
2001-02-18,7882.55
2001-02-19,7882.46
2001-02-20,7882.36
2001-02-21,7882.29
2001-02-22,7882.2
2001-02-23,7882.12
2001-02-24,7882.04
2001-02-25,7881.93
2001-02-26,7881.84
2001-02-27,7881.75
2001-02-28,7881.65
2001-03-01,7881.56
2001-03-02,7881.49
2001-03-03,7881.44
2001-03-04,7881.37
2001-03-05,7881.31
2001-03-06,7881.25
2001-03-07,7881.21
2001-03-08,7881.17
2001-03-09,7881.13
2001-03-10,7881.08
2001-03-11,7881.05
2001-03-12,7881
2001-03-13,7880.94
2001-03-14,7880.9
2001-03-15,7880.81
2001-03-16,7880.69
2001-03-17,7880.57
2001-03-18,7880.46
2001-03-19,7880.34
2001-03-20,7880.28
2001-03-21,7880.29
2001-03-22,7880.33
2001-03-23,7880.37
2001-03-24,7880.4
2001-03-25,7880.44
2001-03-26,7880.53
2001-03-27,7880.57
2001-03-28,7880.59
2001-03-29,7880.6
2001-03-30,7880.59
2001-03-31,7880.57
2001-04-01,7880.57
2001-04-02,7880.59
2001-04-03,7880.62
2001-04-04,7880.68
2001-04-05,7880.76
2001-04-06,7880.84
2001-04-07,7880.88
2001-04-08,7880.92
2001-04-09,7880.93
2001-04-10,7881.1
2001-04-11,7881.25
2001-04-12,7881.36
2001-04-13,7881.36
2001-04-14,7881.07
2001-04-15,7880.78
2001-04-16,7880.49
2001-04-17,7880.24
2001-04-18,7880.04
2001-04-19,7879.89
2001-04-20,7879.88
2001-04-21,7880.19
2001-04-22,7880.6
2001-04-23,7880.9
2001-04-24,7881.07
2001-04-25,7881.19
2001-04-26,7881.22
2001-04-27,7881.1
2001-04-28,7881.39
2001-04-29,7881.97
2001-04-30,7882.58
2001-05-01,7883.2
2001-05-02,7884.08
2001-05-03,7884.64
2001-05-04,7885.01
2001-05-05,7885.49
2001-05-06,7885.84
2001-05-07,7886.19
2001-05-08,7886.59
2001-05-09,7887.16
2001-05-10,7887.8
2001-05-11,7888.51
2001-05-12,7889.25
2001-05-13,7890.24
2001-05-14,7891.35
2001-05-15,7892.24
2001-05-16,7893.67
2001-05-17,7894.86
2001-05-18,7895.9
2001-05-19,7896.88
2001-05-20,7897.79
2001-05-21,7898.63
2001-05-22,7899.27
2001-05-23,7899.84
2001-05-24,7900.52
2001-05-25,7901.29
2001-05-26,7902.33
2001-05-27,7903.51
2001-05-28,7904.72
2001-05-29,7905.8
2001-05-30,7906.81
2001-05-31,7907.9
2001-06-01,7909.01
2001-06-02,7910.24
2001-06-03,7911.41
2001-06-04,7912.45
2001-06-05,7913.36
2001-06-06,7914.12
2001-06-07,7915.29
2001-06-08,7916.35
2001-06-09,7917.26
2001-06-10,7918.27
2001-06-11,7919.27
2001-06-12,7920.21
2001-06-13,7921.14
2001-06-14,7921.86
2001-06-15,7922.44
2001-06-16,7922.97
2001-06-17,7923.48
2001-06-18,7924.05
2001-06-19,7924.68
2001-06-20,7925.35
2001-06-21,7926.1
2001-06-22,7926.86
2001-06-23,7927.66
2001-06-24,7928.49
2001-06-25,7929.36
2001-06-26,7930.26
2001-06-27,7931.24
2001-06-28,7932.08
2001-06-29,7932.84
2001-06-30,7933.54
2001-07-01,7934.25
2001-07-02,7934.92
2001-07-03,7935.51
2001-07-04,7936.06
2001-07-05,7936.6
2001-07-06,7937.12
2001-07-07,7937.64
2001-07-08,7938.16
2001-07-09,7938.7
2001-07-10,7939.25
2001-07-11,7939.85
2001-07-12,7940.48
2001-07-13,7941.16
2001-07-14,7941.88
2001-07-15,7942.63
2001-07-16,7943.38
2001-07-17,7944.01
2001-07-18,7944.42
2001-07-19,7944.75
2001-07-20,7944.98
2001-07-21,7945.09
2001-07-22,7945.18
2001-07-23,7945.22
2001-07-24,7945.24
2001-07-25,7945.2
2001-07-26,7945.12
2001-07-27,7945.01
2001-07-28,7944.88
2001-07-29,7944.71
2001-07-30,7944.49
2001-07-31,7944.23
2001-08-01,7943.98
2001-08-02,7943.72
2001-08-03,7943.54
2001-08-04,7943.38
2001-08-05,7943.18
2001-08-06,7942.96
2001-08-07,7942.83
2001-08-08,7942.8
2001-08-09,7942.97
2001-08-10,7943.1
2001-08-11,7943.21
2001-08-12,7943.28
2001-08-13,7943.31
2001-08-14,7943.36
2001-08-15,7943.29
2001-08-16,7943.09
2001-08-17,7942.85
2001-08-18,7942.64
2001-08-19,7942.35
2001-08-20,7941.98
2001-08-21,7941.55
2001-08-22,7941.11
2001-08-23,7940.72
2001-08-24,7940.28
2001-08-25,7939.83
2001-08-26,7939.36
2001-08-27,7938.8
2001-08-28,7938.17
2001-08-29,7937.45
2001-08-30,7936.72
2001-08-31,7936
2001-09-01,7935.27
2001-09-02,7934.53
2001-09-03,7933.78
2001-09-04,7933.05
2001-09-05,7932.41
2001-09-06,7931.76
2001-09-10,7929.5
2001-09-12,7928.42
2001-09-14,7927.63
2001-09-15,7927.23
2001-09-16,7926.82
2001-09-17,7926.45
2001-09-18,7926.09
2001-09-19,7925.71
2001-09-20,7925.33
2001-09-21,7924.89
2001-09-22,7924.5
2001-09-23,7924.11
2001-09-24,7923.67
2001-09-25,7923.04
2001-09-26,7922.54
2001-09-27,7921.88
2001-09-28,7921.3
2001-09-29,7920.74
2001-09-30,7920.2
2001-10-01,7919.54
2001-10-02,7919.02
2001-10-03,7918.49
2001-10-04,7918.02
2001-10-05,7917.2
2001-10-06,7917.04
2001-10-07,7916.52
2001-10-08,7916.18
2001-10-09,7915.81
2001-10-10,7915.27
2001-10-11,7914.83
2001-10-12,7914.34
2001-10-13,7913.92
2001-10-14,7913.14
2001-10-15,7913.13
2001-10-16,7912.12
2001-10-17,7912
2001-10-18,7911.68
2001-10-19,7911.29
2001-10-20,7910.92
2001-10-21,7910.53
2001-10-22,7910.16
2001-10-23,7909.79
2001-10-24,7909.4
2001-10-25,7909.08
2001-10-26,7908.85
2001-10-27,7908.58
2001-10-28,7908.33
2001-10-29,7908.09
2001-10-30,7907.85
2001-10-31,7907.63
2001-11-01,7907.44
2001-11-02,7907.25
2001-11-03,7907.06
2001-11-04,7906.88
2001-11-05,7906.69
2001-11-06,7906.5
2001-11-07,7906.37
2001-11-08,7906.34
2001-11-09,7906.32
2001-11-10,7906.28
2001-11-11,7906.25
2001-11-12,7906.24
2001-11-13,7906.21
2001-11-14,7906.18
2001-11-15,7906.16
2001-11-16,7906.13
2001-11-17,7906.1
2001-11-18,7906.09
2001-11-19,7906.07
2001-11-20,7906.04
2001-11-21,7906.01
2001-11-22,7906.02
2001-11-23,7906.02
2001-11-24,7906
2001-11-25,7906.06
2001-11-26,7906.14
2001-11-27,7906.24
2001-11-28,7906.32
2001-11-29,7906.43
2001-11-30,7906.53
2001-12-01,7906.63
2001-12-02,7906.75
2001-12-03,7906.87
2001-12-04,7906.98
2001-12-05,7907.04
2001-12-06,7906.91
2001-12-07,7906.82
2001-12-08,7906.7
2001-12-09,7906.58
2001-12-10,7906.5
2001-12-11,7906.49
2001-12-12,7906.49
2001-12-13,7906.5
2001-12-14,7906.49
2001-12-15,7906.5
2001-12-16,7906.47
2001-12-17,7906.44
2001-12-18,7906.42
2001-12-19,7906.4
2001-12-20,7906.41
2001-12-21,7906.43
2001-12-22,7906.44
2001-12-23,7906.45
2001-12-24,7906.45
2001-12-25,7906.45
2001-12-26,7906.45
2001-12-27,7906.45
2001-12-28,7906.39
2001-12-29,7906.34
2001-12-30,7906.29
2001-12-31,7906.25
2002-01-01,7906.22
2002-01-02,7906.14
2002-01-03,7906.05
2002-01-04,7905.98
2002-01-05,7905.9
2002-01-06,7905.83
2002-01-07,7905.77
2002-01-08,7905.7
2002-01-09,7905.64
2002-01-10,7905.59
2002-01-11,7905.51
2002-01-12,7905.44
2002-01-13,7905.37
2002-01-14,7905.3
2002-01-15,7905.22
2002-01-16,7905.15
2002-01-17,7905.04
2002-01-18,7904.94
2002-01-19,7904.81
2002-01-20,7904.7
2002-01-21,7904.59
2002-01-22,7904.51
2002-01-23,7904.49
2002-01-24,7904.41
2002-01-25,7904.36
2002-01-26,7904.31
2002-01-27,7904.25
2002-01-28,7904.2
2002-01-29,7904.13
2002-01-30,7904.07
2002-01-31,7903.98
2002-02-01,7903.9
2002-02-02,7903.8
2002-02-03,7903.68
2002-02-04,7903.57
2002-02-06,7903.37
2002-02-07,7903.37
2002-02-08,7903.15
2002-02-09,7903.07
2002-02-10,7903
2002-02-11,7902.92
2002-02-12,7902.83
2002-02-13,7902.73
2002-02-14,7902.68
2002-02-15,7902.67
2002-02-16,7902.61
2002-02-17,7902.56
2002-02-18,7902.52
2002-02-19,7902.5
2002-02-20,7902.47
2002-02-21,7902.45
2002-02-22,7902.42
2002-02-23,7902.4
2002-02-24,7902.39
2002-02-25,7902.38
2002-02-26,7902.32
2002-02-27,7902.29
2002-02-28,7902.26
2002-03-01,7902.27
2002-03-02,7902.22
2002-03-03,7902.18
2002-03-04,7902.15
2002-03-05,7902.11
2002-03-06,7902.1
2002-03-07,7902.09
2002-03-08,7902.11
2002-03-09,7902.09
2002-03-10,7902.06
2002-03-11,7902.03
2002-03-12,7901.94
2002-03-13,7901.9
2002-03-14,7901.85
2002-03-15,7901.73
2002-03-16,7901.59
2002-03-17,7901.44
2002-03-18,7901.29
2002-03-19,7901.14
2002-03-20,7901.04
2002-03-21,7900.98
2002-03-22,7900.94
2002-03-23,7900.9
2002-03-24,7900.84
2002-03-25,7900.78
2002-03-26,7900.72
2002-03-27,7900.67
2002-03-28,7900.63
2002-03-29,7900.61
2002-03-30,7900.6
2002-03-31,7900.58
2002-04-01,7900.54
2002-04-02,7900.45
2002-04-03,7900.32
2002-04-04,7900.17
2002-04-05,7900.12
2002-04-06,7900.11
2002-04-07,7900.11
2002-04-08,7900
2002-04-09,7899.64
2002-04-10,7899.33
2002-04-11,7899.23
2002-04-12,7899.25
2002-04-13,7899.25
2002-04-14,7899.27
2002-04-15,7899.42
2002-04-16,7899.63
2002-04-17,7899.86
2002-04-18,7899.93
2002-04-19,7899.63
2002-04-20,7899.26
2002-04-21,7898.92
2002-04-22,7898.55
2002-04-23,7898.16
2002-04-24,7897.88
2002-04-25,7897.74
2002-04-26,7897.62
2002-04-27,7897.51
2002-04-28,7897.39
2002-04-29,7897.25
2002-04-30,7897.02
2002-05-01,7896.87
2002-05-02,7896.92
2002-05-03,7896.95
2002-05-04,7897.01
2002-05-05,7897.07
2002-05-06,7897.17
2002-05-07,7897.34
2002-05-08,7897.59
2002-05-09,7897.79
2002-05-10,7897.96
2002-05-11,7898.09
2002-05-12,7898.26
2002-05-13,7898.43
2002-05-14,7898.39
2002-05-15,7898.16
2002-05-16,7898.25
2002-05-17,7898.48
2002-05-18,7898.74
2002-05-19,7899.1
2002-05-20,7899.47
2002-05-21,7899.89
2002-05-22,7900.25
2002-05-23,7900.55
2002-05-24,7900.82
2002-05-25,7901.02
2002-05-26,7901.22
2002-05-27,7901.42
2002-05-28,7901.64
2002-05-29,7901.95
2002-05-30,7902.37
2002-05-31,7903.04
2002-06-01,7903.79
2002-06-02,7904.42
2002-06-03,7905.04
2002-06-04,7905.55
2002-06-05,7905.97
2002-06-06,7906.39
2002-06-07,7906.86
2002-06-08,7907.37
2002-06-09,7907.93
2002-06-10,7908.45
2002-06-11,7908.94
2002-06-12,7909.35
2002-06-13,7909.72
2002-06-14,7910.01
2002-06-15,7910.24
2002-06-16,7910.47
2002-06-17,7910.6
2002-06-18,7910.68
2002-06-19,7910.73
2002-06-20,7910.66
2002-06-21,7910.52
2002-06-22,7910.38
2002-06-23,7910.19
2002-06-24,7909.96
2002-06-25,7909.72
2002-06-26,7909.3
2002-06-27,7908.86
2002-06-28,7908.43
2002-06-29,7908.09
2002-06-30,7907.75
2002-07-01,7907.41
2002-07-02,7907.05
2002-07-03,7906.62
2002-07-04,7906.18
2002-07-05,7905.75
2002-07-06,7905.29
2002-07-07,7904.81
2002-07-08,7904.28
2002-07-09,7903.8
2002-07-10,7903.26
2002-07-11,7902.7
2002-07-12,7902.1
2002-07-13,7901.41
2002-07-14,7900.74
2002-07-15,7900.08
2002-07-16,7899.41
2002-07-17,7898.72
2002-07-18,7898.09
2002-07-19,7897.31
2002-07-20,7896.53
2002-07-21,7895.74
2002-07-22,7894.89
2002-07-23,7894.07
2002-07-24,7893.26
2002-07-25,7892.42
2002-07-26,7891.61
2002-07-27,7890.78
2002-07-28,7889.91
2002-07-29,7889.06
2002-07-30,7888.19
2002-07-31,7887.26
2002-08-01,7886.59
2002-08-02,7886.17
2002-08-03,7885.8
2002-08-04,7885.36
2002-08-05,7884.99
2002-08-06,7884.67
2002-08-07,7884.41
2002-08-08,7884.27
2002-08-09,7884.14
2002-08-10,7883.91
2002-08-11,7883.54
2002-08-12,7883.1
2002-08-13,7882.65
2002-08-14,7882.18
2002-08-15,7881.68
2002-08-16,7881.19
2002-08-17,7880.68
2002-08-18,7880.08
2002-08-19,7879.39
2002-08-20,7878.71
2002-08-21,7878.09
2002-08-22,7877.58
2002-08-23,7877.04
2002-08-24,7876.78
2002-08-25,7876.49
2002-08-26,7876.19
2002-08-27,7875.87
2002-08-28,7875.68
2002-08-29,7875.49
2002-08-30,7875.33
