Date,Elevation (ft)
2006-01-01,2980.96
2006-01-02,2980.97
2006-01-03,2980.98
2006-01-04,2980.99
2006-01-05,2981
2006-01-06,2981.01
2006-01-07,2981.02
2006-01-08,2981.03
2006-01-09,2981.04
2006-01-10,2981.05
2006-01-11,2981.05
2006-01-12,2981.04
2006-01-13,2981.03
2006-01-14,2981.03
2006-01-15,2981.02
2006-01-16,2981.02
2006-01-17,2981.02
2006-01-18,2981.02
2006-01-19,2981.02
2006-01-20,2981.02
2006-01-21,2981.02
2006-01-22,2981.02
2006-01-23,2981.02
2006-01-24,2981.02
2006-01-25,2981.02
2006-01-26,2981.02
2006-01-27,2981.01
2006-01-28,2981.01
2006-01-29,2981.01
2006-01-30,2981
2006-01-31,2981
2006-02-01,2981
2006-02-02,2981
2006-02-03,2981
2006-02-04,2981
2006-02-05,2981
2006-02-06,2981
2006-02-07,2980.99
2006-02-08,2980.99
2006-02-09,2980.99
2006-02-10,2980.99
2006-02-11,2980.98
2006-02-12,2980.98
2006-02-13,2980.98
2006-02-14,2980.97
2006-02-15,2980.95
2006-02-16,2980.92
2006-02-17,2980.89
2006-02-18,2980.86
2006-02-19,2980.83
2006-02-20,2980.8
2006-02-21,2980.77
2006-02-22,2980.74
2006-02-23,2980.72
2006-02-24,2980.7
2006-02-25,2980.69
2006-02-26,2980.68
2006-02-27,2980.67
2006-02-28,2980.66
2006-03-01,2980.65
2006-03-02,2980.65
2006-03-03,2980.65
2006-03-04,2980.65
2006-03-05,2980.65
2006-03-06,2980.65
2006-03-07,2980.64
2006-03-08,2980.64
2006-03-09,2980.64
2006-03-10,2980.64
2006-03-11,2980.64
2006-03-12,2980.64
2006-03-13,2980.63
2006-03-14,2980.63
2006-03-15,2980.62
2006-03-16,2980.62
2006-03-17,2980.61
2006-03-18,2980.63
2006-03-19,2980.65
2006-03-20,2980.66
2006-03-21,2980.67
2006-03-22,2980.68
2006-03-23,2980.69
2006-03-24,2980.7
2006-03-25,2980.71
2006-03-26,2980.72
2006-03-27,2980.75
2006-03-28,2980.81
2006-03-29,2980.88
2006-03-30,2980.95
2006-03-31,2980.99
2006-04-01,2981.02
2006-04-02,2981.05
2006-04-03,2981.07
2006-04-04,2981.1
2006-04-05,2981.13
2006-04-06,2981.19
2006-04-07,2981.26
2006-04-08,2981.45
2006-04-09,2981.58
2006-04-10,2981.71
2006-04-11,2981.82
2006-04-12,2981.91
2006-04-13,2982
2006-04-14,2982.09
2006-04-15,2982.17
2006-04-16,2982.25
2006-04-17,2982.33
2006-04-18,2982.41
2006-04-19,2982.46
2006-04-20,2982.52
2006-04-21,2982.58
2006-04-22,2982.64
2006-04-23,2982.7
2006-04-24,2982.75
2006-04-25,2982.79
2006-04-26,2982.85
2006-04-27,2982.9
2006-04-28,2982.95
2006-04-29,2983
2006-04-30,2983.08
2006-05-01,2983.17
2006-05-02,2983.27
2006-05-03,2983.37
2006-05-04,2983.44
2006-05-05,2983.51
2006-05-06,2983.57
2006-05-07,2983.63
2006-05-08,2983.69
2006-05-09,2983.74
2006-05-10,2983.79
2006-05-11,2983.84
2006-05-12,2983.88
2006-05-13,2983.92
2006-05-14,2983.96
2006-05-15,2984.01
2006-05-16,2984.08
2006-05-17,2984.16
2006-05-18,2984.29
2006-05-19,2984.49
2006-05-20,2984.79
2006-05-21,2985.08
2006-05-22,2985.37
2006-05-23,2985.65
2006-05-24,2985.89
2006-05-25,2986.12
2006-05-26,2986.34
2006-05-27,2986.56
2006-05-28,2986.77
2006-05-29,2986.97
2006-05-30,2987.12
2006-05-31,2987.25
2006-06-01,2987.36
2006-06-02,2987.44
2006-06-03,2987.54
2006-06-04,2987.67
2006-06-05,2987.81
2006-06-06,2987.95
2006-06-07,2988.1
2006-06-08,2988.26
2006-06-09,2988.45
2006-06-10,2988.66
2006-06-11,2988.8
2006-06-12,2988.83
2006-06-13,2988.71
2006-06-14,2988.66
2006-06-15,2988.56
2006-06-16,2988.42
2006-06-17,2988.32
2006-06-18,2988.3
2006-06-19,2988.35
2006-06-20,2988.43
2006-06-21,2988.49
2006-06-22,2988.52
2006-06-23,2988.61
2006-06-24,2988.65
2006-06-25,2988.69
2006-06-26,2988.73
2006-06-27,2988.77
2006-06-28,2988.78
2006-06-29,2988.79
2006-06-30,2988.8
2006-07-01,2988.81
2006-07-02,2988.8
2006-07-03,2988.78
2006-07-04,2988.75
2006-07-05,2988.72
2006-07-06,2988.69
2006-07-07,2988.66
2006-07-08,2988.63
2006-07-09,2988.6
2006-07-10,2988.57
2006-07-11,2988.53
2006-07-12,2988.48
2006-07-13,2988.42
2006-07-14,2988.36
2006-07-15,2988.3
2006-07-16,2988.23
2006-07-17,2988.16
2006-07-18,2988.09
2006-07-19,2988.02
2006-07-20,2987.95
2006-07-21,2987.88
2006-07-22,2987.81
2006-07-23,2987.74
2006-07-24,2987.67
2006-07-25,2987.6
2006-07-26,2987.53
2006-07-27,2987.46
2006-07-28,2987.39
2006-07-29,2987.32
2006-07-30,2987.25
2006-07-31,2987.18
2006-08-01,2987.11
2006-08-02,2987.04
2006-08-03,2986.98
2006-08-04,2986.92
2006-08-05,2986.86
2006-08-06,2986.8
2006-08-07,2986.74
2006-08-08,2986.68
2006-08-09,2986.62
2006-08-10,2986.56
2006-08-11,2986.5
2006-08-12,2986.44
2006-08-13,2986.38
2006-08-14,2986.32
2006-08-15,2986.26
2006-08-16,2986.2
2006-08-17,2986.14
2006-08-18,2986.07
2006-08-19,2986
2006-08-20,2985.93
2006-08-21,2985.86
2006-08-22,2985.79
2006-08-23,2985.72
2006-08-24,2985.65
2006-08-25,2985.58
2006-08-26,2985.51
2006-08-27,2985.44
2006-08-28,2985.37
2006-08-29,2985.3
2006-08-30,2985.23
2006-08-31,2985.16
2006-09-01,2985.09
2006-09-02,2985.02
2006-09-03,2984.95
2006-09-04,2984.88
2006-09-05,2984.81
2006-09-06,2984.74
2006-09-07,2984.67
2006-09-08,2984.6
2006-09-09,2984.54
2006-09-10,2984.48
2006-09-11,2984.42
2006-09-12,2984.36
2006-09-13,2984.3
2006-09-14,2984.24
2006-09-15,2984.18
2006-09-16,2984.12
2006-09-17,2984.06
2006-09-18,2984.02
2006-09-19,2983.98
2006-09-20,2983.96
2006-09-21,2983.92
2006-09-22,2983.87
2006-09-23,2983.82
2006-09-24,2983.77
2006-09-25,2983.72
2006-09-26,2983.67
2006-09-27,2983.62
2006-09-28,2983.57
2006-09-29,2983.52
2006-09-30,2983.47
2006-10-01,2983.42
2006-10-02,2983.37
2006-10-03,2983.32
2006-10-04,2983.27
2006-10-05,2983.22
2006-10-06,2983.17
2006-10-07,2983.12
2006-10-08,2983.07
2006-10-09,2983.02
2006-10-10,2982.97
2006-10-11,2982.92
2006-10-12,2982.87
2006-10-13,2982.82
2006-10-14,2982.77
2006-10-15,2982.72
2006-10-16,2982.67
2006-10-17,2982.62
2006-10-18,2982.57
2006-10-19,2982.52
2006-10-20,2982.47
2006-10-21,2982.42
2006-10-22,2982.37
2006-10-23,2982.32
2006-10-24,2982.27
2006-10-25,2982.22
2006-10-26,2982.17
2006-10-27,2982.12
2006-10-28,2982.07
2006-10-29,2982.02
2006-10-30,2981.97
2006-10-31,2981.92
2006-11-01,2981.87
2006-11-02,2981.82
2006-11-03,2981.77
