Month,ResidenceTime_days
2004-01-01,163.47
2004-02-01,155.68
2004-03-01,182.28
2004-04-01,325.79
2004-05-01,131.10
2004-06-01,216.85
2004-07-01,135.03
2004-08-01,96.97
2004-09-01,119.41
2004-10-01,241.36
2004-11-01,414.10
2004-12-01,462.83
2005-01-01,543.16
2005-02-01,526.70
2005-03-01,506.29
2005-04-01,391.77
2005-05-01,155.49
2005-06-01,73.30
2005-07-01,172.26
2005-08-01,168.65
2005-09-01,109.74
2005-10-01,114.29
2005-11-01,249.43
2005-12-01,354.70
2006-01-01,405.75
2006-02-01,252.78
2006-03-01,248.72
2006-04-01,127.37
2006-05-01,87.45
2006-06-01,109.28
2006-07-01,127.35
2006-08-01,105.79
2006-09-01,140.11
2006-10-01,311.43
2006-11-01,415.95
2006-12-01,394.94
2007-01-01,279.51
2007-02-01,289.61
2007-03-01,261.37
2007-04-01,340.88
2007-05-01,124.21
2007-06-01,84.39
2007-07-01,51.59
2007-08-01,39.81
2007-09-01,53.20
2007-10-01,124.38
2007-11-01,198.89
2007-12-01,244.25
2008-01-01,251.92
2008-02-01,211.48
2008-03-01,190.41
2008-04-01,91.84
2008-05-01,61.44
2008-06-01,62.65
2008-07-01,69.28
2008-08-01,59.18
2008-09-01,98.95
2008-10-01,289.93
2008-11-01,491.51
2008-12-01,541.52
2009-01-01,577.16
2009-02-01,657.19
2009-03-01,526.45
2009-04-01,479.22
2009-05-01,71.94
2009-06-01,65.48
2009-07-01,72.92
2009-08-01,90.21
2009-09-01,202.57
2009-10-01,320.64
2009-11-01,359.49
2009-12-01,336.01
2010-01-01,328.75
2010-02-01,411.86
2010-03-01,510.30
2010-04-01,351.88
2010-05-01,141.01
2010-06-01,153.48
2010-07-01,112.45
2010-08-01,126.04
2010-09-01,111.10
2010-10-01,220.24
2010-11-01,452.91
2010-12-01,399.00
2011-01-01,186.89
2011-02-01,146.70
2011-03-01,145.83
2011-04-01,122.82
2011-05-01,65.69
2011-06-01,70.99
2011-07-01,80.37
2011-08-01,127.54
2011-09-01,146.81
2011-10-01,181.00
2011-11-01,481.00
2011-12-01,441.74
2012-01-01,286.73
2012-02-01,271.47
2012-03-01,356.33
2012-04-01,367.07
2012-05-01,112.66
2012-06-01,108.43
2012-07-01,84.05
2012-08-01,81.25
2012-09-01,108.18
2012-10-01,230.43
2012-11-01,398.14
2012-12-01,527.46
2013-01-01,500.65
2013-02-01,618.67
2013-03-01,667.07
2013-04-01,579.76
2013-05-01,138.24
2013-06-01,152.68
2013-07-01,101.76
2013-08-01,84.64
2013-09-01,158.41
2013-10-01,275.81
2013-11-01,372.80
2013-12-01,503.74
2014-01-01,550.50
2014-02-01,600.07
2014-03-01,642.64
2014-04-01,573.42
2014-05-01,139.83
2014-06-01,154.51
2014-07-01,100.87
2014-08-01,123.62
2014-09-01,140.25
2014-10-01,271.15
2014-11-01,432.68
2014-12-01,437.52
2015-01-01,613.91
2015-02-01,725.20
2015-03-01,697.34
2015-04-01,394.47
2015-05-01,242.02
2015-06-01,172.75
2015-07-01,96.46
2015-08-01,90.32
2015-09-01,94.44
2015-10-01,241.65
2015-11-01,446.56
2015-12-01,527.30
2016-01-01,592.99
2016-02-01,673.57
2016-03-01,715.35
2016-04-01,613.14
2016-05-01,187.64
2016-06-01,167.95
2016-07-01,93.65
2016-08-01,73.92
2016-09-01,98.44
2016-10-01,293.95
2016-11-01,528.91
2016-12-01,608.19
2017-01-01,504.10
2017-02-01,445.69
2017-03-01,247.58
2017-04-01,184.98
2017-05-01,75.38
2017-06-01,60.38
2017-07-01,123.47
2017-08-01,117.73
2017-09-01,179.71
2017-10-01,338.03
2017-11-01,434.59
2017-12-01,358.64
2018-01-01,443.30
2018-02-01,550.68
2018-03-01,460.29
2018-04-01,313.60
2018-05-01,178.41
2018-06-01,117.76
2018-07-01,83.78
2018-08-01,80.60
2018-09-01,72.89
2018-10-01,268.81
2018-11-01,427.92
2018-12-01,458.90
2019-01-01,466.38
2019-02-01,537.92
2019-03-01,511.68
2019-04-01,605.30
2019-05-01,136.82
2019-06-01,59.30
2019-07-01,133.51
2019-08-01,127.67
2019-09-01,143.95
2019-10-01,331.71
2019-11-01,443.50
2019-12-01,461.18
2020-01-01,485.31
2020-02-01,347.08
2020-03-01,248.86
2020-04-01,227.06
2020-05-01,104.35
2020-06-01,112.22
2020-07-01,113.52
2020-08-01,82.68
2020-09-01,86.43
2020-10-01,193.12
2020-11-01,501.57
2020-12-01,488.61
