"","Year","Season","n","mean_Prop_Diff","sd_Prop_Diff","mean_Perc_Diff","sd_Perc_Diff"
"1","2000","Fall",1,-0.00574200913242006,NA,-0.574200913242006,NA
"2","2000","Spring",1,-7.43184143881074e-05,NA,-0.00743184143881074,NA
"3","2000","Summer",1,-0.00509807062916261,NA,-0.509807062916261,NA
"4","2000","Winter",4,-0.000604230500114785,0.000647080425489505,-0.0604230500114785,0.0647080425489505
"5","2001","Fall",1,-0.0279822200381956,NA,-2.79822200381956,NA
"6","2001","Winter",1,-0.00113665281194333,NA,-0.113665281194333,NA
"7","2002","Fall",1,-0.00568178573671921,NA,-0.568178573671921,NA
"8","2002","Summer",1,-0.00357798060597772,NA,-0.357798060597772,NA
"9","2002","Winter",1,-0.000222590034815292,NA,-0.0222590034815292,NA
"10","2003","Fall",2,-0.00430286258705708,0.00164759190260291,-0.430286258705708,0.164759190260291
"11","2003","Spring",1,-0.00190914267212991,NA,-0.190914267212991,NA
"12","2003","Summer",1,-0.0066936870547777,NA,-0.66936870547777,NA
"13","2004","Spring",1,-0.00127408732877682,NA,-0.127408732877682,NA
"14","2004","Winter",2,-0.00257187589368351,6.51787377782834e-05,-0.257187589368351,0.00651787377782835
"15","2005","Fall",1,-0.00165173962780058,NA,-0.165173962780058,NA
"16","2005","Spring",3,-0.000326332110690969,0.000517085462801595,-0.0326332110690969,0.0517085462801595
"17","2005","Summer",1,-0.00637658580013356,NA,-0.637658580013356,NA
"18","2005","Winter",4,-0.00105237189599653,0.00233720542674791,-0.105237189599653,0.233720542674791
"19","2006","Fall",1,-0.0205276128598634,NA,-2.05276128598634,NA
"20","2006","Winter",1,-0.00793757341835882,NA,-0.793757341835882,NA
"21","2007","Fall",1,-0.00563500412248036,NA,-0.563500412248036,NA
"22","2007","Summer",1,-0.000560246508463734,NA,-0.0560246508463734,NA
"23","2007","Winter",1,-0.00190949889946554,NA,-0.190949889946554,NA
"24","2008","Fall",1,-0.0235083990362947,NA,-2.35083990362947,NA
"25","2008","Spring",1,-0.00407211878125709,NA,-0.407211878125709,NA
"26","2008","Summer",2,-0.00159149883724085,0.00209258198537643,-0.159149883724085,0.209258198537643
"27","2008","Winter",3,-0.000168959513593934,0.000144429570326429,-0.0168959513593934,0.0144429570326429
"28","2009","Fall",1,-0.0242949987448049,NA,-2.42949987448049,NA
"29","2009","Spring",1,-0.00369919174051148,NA,-0.369919174051148,NA
"30","2009","Summer",1,-0.00112967311823168,NA,-0.112967311823168,NA
"31","2009","Winter",1,-0.00196078431372553,NA,-0.196078431372553,NA
"32","2010","Spring",3,-0.00137830338786598,0.00180739904093054,-0.137830338786598,0.180739904093054
"33","2010","Summer",3,-0.0054075429833855,0.00924064819820961,-0.54075429833855,0.924064819820961
"34","2010","Winter",2,-0.000250884308826784,1.58115111270745e-05,-0.0250884308826784,0.00158115111270745
"35","2011","Fall",1,-0.0036683368500077,NA,-0.36683368500077,NA
"36","2011","Summer",1,-0.00192799505525979,NA,-0.192799505525979,NA
"37","2011","Winter",2,-0.0106531167683382,0.013985934602001,-1.06531167683382,1.3985934602001
"38","2012","Fall",1,-0.00015339863191145,NA,-0.015339863191145,NA
"39","2012","Spring",2,-0.00143234287895618,0.00180820616847839,-0.143234287895618,0.180820616847839
"40","2012","Winter",1,-0.00637073454512262,NA,-0.637073454512262,NA
"41","2013","Fall",2,-0.00364750754859418,0.00508751685147814,-0.364750754859418,0.508751685147814
"42","2013","Spring",2,-0.000957710224550612,0.000251491161653915,-0.0957710224550612,0.0251491161653915
"43","2013","Summer",1,-9.46126447016058e-05,NA,-0.00946126447016058,NA
"44","2013","Winter",2,-0.011311565355283,0.0127463044555857,-1.1311565355283,1.27463044555857
"45","2014","Fall",1,-0.00876937713358334,NA,-0.876937713358334,NA
"46","2014","Winter",1,-0.000158201922153467,NA,-0.0158201922153467,NA
"47","2015","Spring",2,-0.0148819327549807,0.014988502953208,-1.48819327549807,1.4988502953208
"48","2015","Winter",1,-0.00512985655610353,NA,-0.512985655610353,NA
"49","2016","Fall",1,-0.0107387833127178,NA,-1.07387833127178,NA
"50","2016","Spring",2,-0.00225584235961335,0.00122059733021587,-0.225584235961335,0.122059733021587
"51","2016","Winter",1,-0.00406191428392375,NA,-0.406191428392375,NA
"52","2017","Fall",1,-0.0115516441243731,NA,-1.15516441243731,NA
"53","2017","Spring",4,-0.00136003620263898,0.00113552096810013,-0.136003620263898,0.113552096810013
"54","2018","Fall",1,-0.00157805984094067,NA,-0.157805984094067,NA
"55","2018","Spring",1,-0.00131554968335697,NA,-0.131554968335697,NA
"56","2018","Winter",2,-0.00384599194083092,0.00281378706374541,-0.384599194083092,0.281378706374541
"57","2019","Spring",3,-0.000383998614886728,0.000556679632398426,-0.0383998614886728,0.0556679632398425
"58","2019","Summer",2,-0.0106843555882771,0.0123383977342605,-1.06843555882771,1.23383977342605
"59","2019","Winter",1,-0.000313789031076499,NA,-0.0313789031076499,NA
"60","2020","Spring",2,-0.000150436572051583,0.000133508916108363,-0.0150436572051583,0.0133508916108363
