"","Year","Season","n","mean_Prop_Diff","sd_Prop_Diff","mean_Perc_Diff","sd_Perc_Diff"
"1","2000","Fall",6,-0.000773146133285666,0.000676106858495065,-0.0773146133285666,0.0676106858495065
"2","2000","Spring",4,-0.000196073042756631,0.000168730337105952,-0.0196073042756631,0.0168730337105952
"3","2000","Summer",6,-0.000206520713752045,0.000283318164882246,-0.0206520713752045,0.0283318164882246
"4","2000","Winter",4,-4.3271699071611e-05,0.00011482553198766,-0.0043271699071611,0.011482553198766
"5","2001","Fall",5,-0.000560397596868842,0.000779726106931037,-0.0560397596868842,0.0779726106931037
"6","2001","Spring",6,-0.000126350564627411,0.000278197580541617,-0.0126350564627411,0.0278197580541617
"7","2001","Summer",8,-0.000196798278228302,0.000211824400281136,-0.0196798278228302,0.0211824400281136
"8","2001","Winter",6,-1.22313007550257e-05,0.000174108574440463,-0.00122313007550257,0.0174108574440463
"9","2002","Fall",6,-0.000702220127196833,0.000777084436290991,-0.0702220127196833,0.0777084436290991
"10","2002","Summer",6,-0.000228471773758074,0.000379485102500296,-0.0228471773758074,0.0379485102500296
"11","2002","Winter",3,-0.000339578643593798,0.000181620470826367,-0.0339578643593798,0.0181620470826367
"12","2003","Fall",6,-0.000340043441710276,0.000304923486433184,-0.0340043441710276,0.0304923486433184
"13","2003","Spring",3,-4.18754076655954e-05,6.36788322622256e-05,-0.00418754076655954,0.00636788322622256
"14","2003","Summer",4,-0.000450192285940837,0.000436904296777721,-0.0450192285940837,0.0436904296777721
"15","2003","Winter",5,3.68489561172739e-05,0.000413845277838603,0.00368489561172739,0.0413845277838603
"16","2004","Fall",6,-0.000564226440726396,0.000955581034779667,-0.0564226440726396,0.0955581034779666
"17","2004","Spring",4,-0.000402951101604566,0.000532499208880856,-0.0402951101604566,0.0532499208880855
"18","2004","Summer",7,-0.000202801914676585,0.000222377853190599,-0.0202801914676585,0.0222377853190599
"19","2004","Winter",2,-1.84067745105041e-05,0.000181962228187362,-0.00184067745105041,0.0181962228187362
"20","2005","Fall",8,-0.00055407609510771,0.000781258132990874,-0.055407609510771,0.0781258132990874
"21","2005","Spring",6,-0.00059383099258822,0.000706849376151865,-0.059383099258822,0.0706849376151865
"22","2005","Summer",5,-0.00021148525262234,0.000215884455008048,-0.021148525262234,0.0215884455008048
"23","2005","Winter",8,-0.000107192481620234,0.000318407278054555,-0.0107192481620234,0.0318407278054556
"24","2006","Fall",1,-0.0197534882255982,NA,-1.97534882255982,NA
"25","2006","Spring",5,-0.000397739675854379,0.000403149742257393,-0.0397739675854379,0.0403149742257393
"26","2006","Summer",5,-0.000782345800336247,0.000861491936630887,-0.0782345800336247,0.0861491936630887
"27","2006","Winter",1,-5.77591548261068e-05,NA,-0.00577591548261068,NA
"28","2007","Fall",1,-0.00294059167634661,NA,-0.294059167634661,NA
"29","2007","Spring",7,-0.000273544173898767,0.000374949567022592,-0.0273544173898767,0.0374949567022592
"30","2007","Summer",5,-0.000635789229964158,0.000471834498856134,-0.0635789229964158,0.0471834498856134
"31","2007","Winter",1,-0.000157400994774263,NA,-0.0157400994774263,NA
"32","2008","Fall",3,-0.000801796808653431,0.00118038772165664,-0.0801796808653431,0.118038772165664
"33","2008","Spring",4,-0.00039619631053691,0.000492431902978367,-0.039619631053691,0.0492431902978367
"34","2008","Summer",6,-0.000477253130702697,0.000604290222751273,-0.0477253130702697,0.0604290222751273
"35","2008","Winter",6,-0.000118557956492869,0.000383849507475376,-0.0118557956492869,0.0383849507475377
"36","2009","Fall",6,-0.000771472266117032,0.000656249618769015,-0.0771472266117032,0.0656249618769015
"37","2009","Spring",4,-0.000494014462512108,0.000592412327203191,-0.0494014462512108,0.0592412327203191
"38","2009","Summer",7,-0.000584522946761098,0.000391243638243708,-0.0584522946761098,0.0391243638243708
"39","2009","Winter",8,-0.000194338421694079,0.000201205163645744,-0.0194338421694079,0.0201205163645744
"40","2010","Fall",6,-0.000367926971737058,0.000507650603869309,-0.0367926971737058,0.0507650603869309
"41","2010","Spring",5,-0.000634279940154982,0.000602806814171778,-0.0634279940154982,0.0602806814171778
"42","2010","Summer",8,-0.000379694953574969,0.000521407289244788,-0.0379694953574969,0.0521407289244789
"43","2010","Winter",8,-0.000267074453880988,0.000960341169114019,-0.0267074453880988,0.0960341169114019
"44","2011","Fall",8,-0.000102907756685028,0.000199840299489519,-0.0102907756685028,0.0199840299489519
"45","2011","Spring",9,-0.000490504790372851,0.00120379021150287,-0.0490504790372851,0.120379021150287
"46","2011","Summer",6,-0.000523596189492048,0.000714474090875149,-0.0523596189492048,0.0714474090875149
"47","2011","Winter",2,-0.000500314541204185,0.000388933241183797,-0.0500314541204185,0.0388933241183797
"48","2012","Fall",4,-0.000663048878056791,0.000813774969446481,-0.0663048878056791,0.0813774969446481
"49","2012","Spring",7,-0.000163255385939523,0.000220520597355973,-0.0163255385939523,0.0220520597355973
"50","2012","Summer",7,-0.000188716619731099,0.000107686940012596,-0.0188716619731099,0.0107686940012596
"51","2012","Winter",2,-0.000463877762226533,0.000211088770388582,-0.0463877762226533,0.0211088770388582
"52","2013","Fall",8,-0.000182082702127426,0.000221934582527146,-0.0182082702127426,0.0221934582527146
"53","2013","Spring",5,-2.93798167338192e-05,8.4646016308612e-05,-0.00293798167338192,0.0084646016308612
"54","2013","Summer",6,-0.00037189305320109,0.000310241304579518,-0.037189305320109,0.0310241304579518
"55","2013","Winter",4,-0.00022789718908721,0.00025685576444292,-0.022789718908721,0.025685576444292
"56","2014","Fall",6,-0.000259350900980593,0.00017367812142888,-0.0259350900980593,0.017367812142888
"57","2014","Spring",6,-0.000218255400696474,0.000270969302045628,-0.0218255400696474,0.0270969302045628
"58","2014","Summer",7,-4.49363683880347e-05,0.000237069799417961,-0.00449363683880347,0.0237069799417961
"59","2014","Winter",5,-0.000322630432796883,0.000232044658801489,-0.0322630432796883,0.0232044658801489
"60","2015","Fall",5,-0.000338634532457216,0.000616585733990444,-0.0338634532457216,0.0616585733990444
