"","Year","Season","n","mean_Prop_Diff","sd_Prop_Diff","mean_Perc_Diff","sd_Perc_Diff"
"1","1997","Fall",2,-0.0182807091673928,0.0261300149100548,-1.82807091673928,2.61300149100548
"2","1997","Summer",1,-0.0263892413093124,NA,-2.63892413093124,NA
"3","1997","Winter",4,-0.0431739017432005,0.0591132529435411,-4.31739017432005,5.91132529435411
"4","1998","Spring",2,-0.000972417388270839,0.00867581535665984,-0.0972417388270839,0.867581535665984
"5","1998","Summer",1,-0.0842600790343129,NA,-8.42600790343129,NA
"6","1998","Winter",4,-0.00730375767923565,0.00653749032105028,-0.730375767923565,0.653749032105028
"7","1999","Fall",2,-0.0196378020376979,0.0246605378114045,-1.96378020376979,2.46605378114045
"8","1999","Summer",1,-0.0381909981443922,NA,-3.81909981443922,NA
"9","1999","Winter",3,-0.0229590415806177,0.00771593561174342,-2.29590415806177,0.771593561174342
"10","2000","Fall",2,-0.014048784086447,0.0133499482987246,-1.4048784086447,1.33499482987246
"11","2000","Spring",1,-0.00637839064805357,NA,-0.637839064805357,NA
"12","2000","Summer",1,-0.0335531592549684,NA,-3.35531592549684,NA
"13","2000","Winter",4,-0.01290589585322,0.00818626819820908,-1.290589585322,0.818626819820908
"14","2001","Spring",1,-0.13865479408491,NA,-13.865479408491,NA
"15","2001","Winter",1,-0.00125189590004088,NA,-0.125189590004088,NA
"16","2002","Fall",1,-0.00498383293219559,NA,-0.498383293219559,NA
"17","2002","Spring",1,-0.00179167319880856,NA,-0.179167319880856,NA
"18","2002","Summer",1,-0.0918437285812201,NA,-9.18437285812201,NA
"19","2003","Summer",1,-0.107655245101202,NA,-10.7655245101202,NA
"20","2003","Winter",1,-0.0193662793410799,NA,-1.93662793410799,NA
"21","2004","Fall",4,-0.00545092023473348,0.00207937761252055,-0.545092023473348,0.207937761252055
"22","2004","Spring",1,-0.0207392616459803,NA,-2.07392616459803,NA
"23","2004","Summer",1,-0.0715458814276792,NA,-7.15458814276792,NA
"24","2004","Winter",2,-0.000317806879488767,0.000118953573422925,-0.0317806879488767,0.0118953573422925
