"","Year","Season","n","mean_Prop_Diff","sd_Prop_Diff","mean_Perc_Diff","sd_Perc_Diff"
"1","1998","Spring",1,-0.0004949719103442,NA,-0.04949719103442,NA
"2","1999","Spring",1,-0.00329324760434809,NA,-0.329324760434809,NA
"3","2000","Spring",1,-0.00231930470381401,NA,-0.231930470381401,NA
"4","2000","Summer",1,-0.0078428121372907,NA,-0.78428121372907,NA
"5","2001","Spring",1,-0.01060117976823,NA,-1.060117976823,NA
"6","2001","Summer",1,-0.00146334861531696,NA,-0.146334861531696,NA
"7","2002","Summer",2,-0.00107943520108839,0.000977475429318706,-0.107943520108839,0.0977475429318706
"8","2002","Winter",1,-0.0153097202280316,NA,-1.53097202280316,NA
"9","2003","Fall",1,-0.00197086621760115,NA,-0.197086621760115,NA
"10","2003","Spring",1,-0.00780952050757549,NA,-0.780952050757549,NA
"11","2004","Spring",1,-0.00852524649463993,NA,-0.852524649463993,NA
"12","2004","Summer",1,-0.00201943261029377,NA,-0.201943261029377,NA
"13","2005","Spring",1,-0.00535295502297226,NA,-0.535295502297226,NA
"14","2005","Summer",1,-0.00121844319775585,NA,-0.121844319775585,NA
"15","2006","Spring",1,-0.00737391915024368,NA,-0.737391915024368,NA
"16","2006","Summer",2,-0.00076672857142353,0.000157375485414728,-0.076672857142353,0.0157375485414728
"17","2007","Spring",1,-0.014521791552892,NA,-1.4521791552892,NA
"18","2008","Spring",2,-0.00464395027770888,0.00679548936165605,-0.464395027770888,0.679548936165605
"19","2009","Spring",1,-0.0132230809418293,NA,-1.32230809418293,NA
"20","2009","Summer",1,-9.13325417847625e-05,NA,-0.00913325417847625,NA
"21","2010","Fall",1,-0.00235666678940968,NA,-0.235666678940968,NA
"22","2010","Spring",2,-0.00594562128511236,0.00757469985691512,-0.594562128511236,0.757469985691512
"23","2010","Summer",1,-0.000579193174714181,NA,-0.0579193174714181,NA
"24","2012","Fall",1,-0.000636024043500494,NA,-0.0636024043500494,NA
"25","2012","Spring",1,-0.0153167071286691,NA,-1.53167071286691,NA
"26","2013","Fall",1,-0.00198812546879099,NA,-0.198812546879099,NA
"27","2013","Spring",1,-0.0110223570886699,NA,-1.10223570886699,NA
"28","2013","Summer",1,-0.000307544797517859,NA,-0.0307544797517859,NA
"29","2014","Fall",2,-0.000285602246905674,0.00071742328539459,-0.0285602246905674,0.071742328539459
"30","2014","Spring",1,-0.0232474156999052,NA,-2.32474156999052,NA
"31","2014","Summer",1,-0.00122931879101595,NA,-0.122931879101595,NA
"32","2014","Winter",1,-0.000369805806853207,NA,-0.0369805806853207,NA
"33","2015","Spring",1,-0.0107747138684254,NA,-1.07747138684254,NA
"34","2016","Fall",1,-0.000798188298188416,NA,-0.0798188298188416,NA
"35","2016","Spring",1,-0.0110710298825548,NA,-1.10710298825548,NA
"36","2017","Spring",1,-0.00642451425525267,NA,-0.642451425525267,NA
"37","2018","Spring",1,-0.0103592175895286,NA,-1.03592175895286,NA
"38","2019","Spring",1,-0.00185742002519469,NA,-0.185742002519469,NA
"39","2019","Summer",1,-0.000166178900818951,NA,-0.0166178900818951,NA
"40","2020","Spring",2,-0.00586656850854944,0.00788435245854858,-0.586656850854943,0.788435245854858
