"","Year","Season","n","mean_Prop_Diff","sd_Prop_Diff","mean_Perc_Diff","sd_Perc_Diff"
"1","2000","Fall",1,-0.000951043022469071,NA,-0.0951043022469071,NA
"2","2001","Summer",1,-0.00676721647461542,NA,-0.676721647461542,NA
"3","2002","Summer",1,-0.00409122610476836,NA,-0.409122610476836,NA
"4","2003","Summer",1,-0.00304294424219623,NA,-0.304294424219623,NA
"5","2003","Winter",1,-0.00278816578522283,NA,-0.278816578522283,NA
"6","2004","Fall",1,-0.0017028188934479,NA,-0.17028188934479,NA
"7","2004","Summer",1,-0.00432496040332829,NA,-0.432496040332829,NA
"8","2004","Winter",1,-0.00392560260224079,NA,-0.392560260224079,NA
"9","2005","Summer",1,-0.000588171646242468,NA,-0.0588171646242468,NA
"10","2005","Winter",2,-0.00275358471964775,0.00088153509954678,-0.275358471964775,0.088153509954678
"11","2006","Summer",1,-0.00164092557072046,NA,-0.164092557072046,NA
"12","2007","Summer",1,-0.00237928388817647,NA,-0.237928388817647,NA
"13","2007","Winter",2,-0.0011757868828122,0.000217642906233677,-0.11757868828122,0.0217642906233677
"14","2008","Spring",1,-0.000698985218272815,NA,-0.0698985218272815,NA
"15","2009","Winter",1,-0.00276583260101223,NA,-0.276583260101223,NA
"16","2011","Summer",1,-0.0068442435949629,NA,-0.68442435949629,NA
"17","2011","Winter",1,-0.00456666335749043,NA,-0.456666335749043,NA
"18","2012","Summer",1,-0.0104020473871048,NA,-1.04020473871048,NA
"19","2013","Fall",1,-0.000885596524451457,NA,-0.0885596524451457,NA
"20","2013","Summer",1,-0.00266748914248557,NA,-0.266748914248557,NA
"21","2014","Fall",1,-0.00362240454437028,NA,-0.362240454437028,NA
"22","2014","Winter",1,-0.00236882855986949,NA,-0.236882855986949,NA
"23","2015","Summer",1,-0.00198162842252964,NA,-0.198162842252964,NA
"24","2015","Winter",1,-0.00363453753977874,NA,-0.363453753977874,NA
"25","2016","Fall",1,-0.00410049538417214,NA,-0.410049538417214,NA
"26","2016","Summer",1,-0.00248345971629436,NA,-0.248345971629436,NA
"27","2018","Fall",1,-0.00601904592133743,NA,-0.601904592133743,NA
"28","2018","Spring",1,-0.00144693777614241,NA,-0.144693777614241,NA
"29","2018","Summer",1,-0.00511873073205052,NA,-0.511873073205052,NA
"30","2019","Summer",1,-0.00569894225642744,NA,-0.569894225642745,NA
