"","Year","Season","n","mean_Prop_Diff","sd_Prop_Diff","mean_Perc_Diff","sd_Perc_Diff"
"1","1997","Spring",2,-0.00459792283513323,0.00479936416597412,-0.459792283513323,0.479936416597412
"2","1997","Winter",1,-0.000130892590510014,NA,-0.0130892590510014,NA
"3","1998","Summer",2,-0.00127728347162697,0.000738674539901271,-0.127728347162697,0.0738674539901271
"4","1999","Spring",4,-0.000777460081665203,0.000608319596092961,-0.0777460081665202,0.0608319596092961
"5","1999","Summer",1,-0.000363456617818097,NA,-0.0363456617818097,NA
"6","1999","Winter",1,4.84606475311282e-05,NA,0.00484606475311282,NA
"7","2001","Fall",1,1.9406077012999e-05,NA,0.0019406077012999,NA
"8","2001","Spring",1,-0.00154759083632767,NA,-0.154759083632767,NA
"9","2001","Summer",2,-0.00158254381158015,0.000650358108075924,-0.158254381158015,0.0650358108075924
"10","2002","Summer",1,-0.000218380875658694,NA,-0.0218380875658694,NA
"11","2003","Spring",1,-0.00254067004134637,NA,-0.254067004134637,NA
"12","2004","Spring",1,-0.00111179322579562,NA,-0.111179322579562,NA
"13","2005","Summer",1,-0.00064852412364555,NA,-0.064852412364555,NA
"14","2006","Spring",1,-0.00335567219973263,NA,-0.335567219973263,NA
"15","2009","Fall",2,-0.000152720609452677,9.25776252287857e-05,-0.0152720609452677,0.00925776252287857
"16","2009","Spring",2,-0.00727744644768853,0.00219529877419938,-0.727744644768852,0.219529877419938
"17","2010","Fall",1,-0.000121199193298169,NA,-0.0121199193298169,NA
"18","2010","Spring",1,-0.00226690511866212,NA,-0.226690511866212,NA
"19","2010","Summer",1,-0.000571334501825506,NA,-0.0571334501825506,NA
"20","2011","Spring",5,-0.000851384364331072,0.00145207103008782,-0.0851384364331072,0.145207103008783
"21","2011","Summer",3,-0.00109688116902251,0.00038780594631599,-0.109688116902251,0.038780594631599
"22","2012","Fall",1,-9.21618750576276e-05,NA,-0.00921618750576276,NA
"23","2012","Summer",1,-0.00115747467116112,NA,-0.115747467116112,NA
"24","2013","Fall",1,-0.00150960193925782,NA,-0.150960193925782,NA
"25","2013","Summer",1,-0.00267636729034719,NA,-0.267636729034719,NA
"26","2013","Winter",1,-0.000934869166755392,NA,-0.0934869166755392,NA
"27","2014","Spring",2,-0.00307797950424031,0.00155420478262024,-0.307797950424031,0.155420478262024
"28","2014","Summer",3,-0.00156562480594109,0.00113145645146835,-0.156562480594109,0.113145645146835
"29","2015","Fall",2,-0.000167290371765968,2.40041455429241e-05,-0.0167290371765968,0.00240041455429241
"30","2018","Spring",1,-0.00247652860342162,NA,-0.247652860342162,NA
"31","2018","Summer",1,-7.75411695146187e-05,NA,-0.00775411695146187,NA
"32","2019","Fall",2,-0.000414266429110226,0.000140448241115081,-0.0414266429110226,0.0140448241115081
"33","2019","Spring",1,-0.00696639484255852,NA,-0.696639484255852,NA
"34","2020","Spring",1,-0.000736034709847361,NA,-0.0736034709847361,NA
