"","Year","Season","n","mean_Prop_Diff","sd_Prop_Diff","mean_Perc_Diff","sd_Perc_Diff"
"1","1997","Fall",1,-0.00644935646334636,NA,-0.644935646334636,NA
"2","1997","Spring",5,-0.000435966403064224,0.000924001636869731,-0.0435966403064224,0.0924001636869731
"3","1997","Summer",1,-0.00228600142060872,NA,-0.228600142060872,NA
"4","1997","Winter",1,-0.00130617122888022,NA,-0.130617122888022,NA
"5","1998","Spring",6,-0.000516741894460721,0.00111331390952758,-0.0516741894460721,0.111331390952758
"6","1998","Summer",1,-0.010716551100579,NA,-1.0716551100579,NA
"7","1998","Winter",1,-0.00028324090186399,NA,-0.028324090186399,NA
"8","1999","Fall",1,-0.00378826836710212,NA,-0.378826836710212,NA
"9","1999","Spring",1,4.65225192264466e-06,NA,0.000465225192264466,NA
"10","1999","Summer",1,-0.00493529214696061,NA,-0.493529214696061,NA
"11","2000","Fall",2,-8.54766118775053e-05,0.000236262619459083,-0.00854766118775053,0.0236262619459083
"12","2000","Spring",1,-0.00475370628607921,NA,-0.475370628607922,NA
"13","2000","Summer",2,-0.00562229688517995,0.00803885833235399,-0.562229688517995,0.803885833235399
"14","2001","Spring",3,-0.000122439317153102,0.000505012742206212,-0.0122439317153102,0.0505012742206212
"15","2001","Summer",1,-0.0114491681439536,NA,-1.14491681439536,NA
"16","2002","Summer",1,-0.0114772099833115,NA,-1.14772099833115,NA
"17","2003","Spring",1,-0.000465498612845378,NA,-0.0465498612845378,NA
"18","2003","Summer",1,-0.0108412432533036,NA,-1.08412432533036,NA
"19","2004","Spring",3,-0.000626684355186794,0.00126576948292665,-0.0626684355186794,0.126576948292665
"20","2004","Summer",1,-0.0106335953991397,NA,-1.06335953991397,NA
"21","2005","Fall",3,-0.00162836829293555,0.00252933495558652,-0.162836829293555,0.252933495558652
"22","2005","Spring",4,-0.000124741855371755,0.00111817750944052,-0.0124741855371755,0.111817750944052
"23","2005","Summer",3,-0.00268386074548338,0.00435981550363564,-0.268386074548338,0.435981550363564
"24","2005","Winter",1,-0.00370139575417107,NA,-0.370139575417107,NA
"25","2006","Fall",1,-0.00248164939044879,NA,-0.248164939044879,NA
"26","2006","Spring",3,-0.000907960712924164,0.00189149076006264,-0.0907960712924164,0.189149076006264
"27","2006","Summer",1,-0.0105427385686192,NA,-1.05427385686192,NA
"28","2006","Winter",1,-0.0023038375395704,NA,-0.23038375395704,NA
"29","2007","Fall",1,-0.00182280176365858,NA,-0.182280176365858,NA
"30","2007","Spring",2,-0.000582070171730042,0.000750802618036347,-0.0582070171730042,0.0750802618036347
"31","2007","Summer",1,-0.0110925511471763,NA,-1.10925511471763,NA
"32","2008","Fall",2,-0.000370644852736621,0.000257014959917185,-0.0370644852736621,0.0257014959917185
"33","2008","Spring",7,-0.000351265260400993,0.000724456099160483,-0.0351265260400993,0.0724456099160483
"34","2008","Summer",2,-0.00326562141234102,0.00397346187210755,-0.326562141234102,0.397346187210755
"35","2008","Winter",2,-0.000126027080015486,7.19616122648373e-05,-0.0126027080015486,0.00719616122648373
"36","2009","Fall",2,-0.000303409524430991,1.03576485640578e-05,-0.0303409524430991,0.00103576485640578
"37","2009","Spring",4,-0.00129929884081085,0.00150725744145781,-0.129929884081085,0.150725744145781
