"","Year","Season","n","mean_Prop_Diff","sd_Prop_Diff","mean_Perc_Diff","sd_Perc_Diff"
"1","1997","Fall",6,-4.67480359334077e-05,5.3237875627709e-05,-0.00467480359334077,0.0053237875627709
"2","1997","Spring",6,-1.19826075291035e-05,9.21718257219736e-05,-0.00119826075291035,0.00921718257219736
"3","1997","Summer",7,-4.59708147620626e-05,4.52732833154626e-05,-0.00459708147620626,0.00452732833154626
"4","1997","Winter",7,-0.000167884704398978,0.000120485946399235,-0.0167884704398978,0.0120485946399235
"5","1998","Fall",9,-2.42825918582595e-05,5.12174493982428e-05,-0.00242825918582595,0.00512174493982428
"6","1998","Spring",6,-4.16723521350584e-05,0.000243614658561087,-0.00416723521350584,0.0243614658561087
"7","1998","Summer",8,-6.57676725811372e-05,0.000166261545672004,-0.00657676725811372,0.0166261545672004
"8","1998","Winter",9,-0.000137502578510492,0.000228574027239843,-0.0137502578510492,0.0228574027239843
"9","1999","Fall",6,-5.81833142194382e-05,7.19936642929165e-05,-0.00581833142194382,0.00719936642929165
"10","1999","Spring",6,-2.82826264745997e-05,8.92852996284737e-05,-0.00282826264745997,0.00892852996284737
"11","1999","Summer",6,-0.000131545080060262,8.59253745733321e-05,-0.0131545080060262,0.00859253745733321
"12","1999","Winter",7,-0.000160892638645195,0.000119015656542759,-0.0160892638645195,0.0119015656542759
"13","2000","Fall",8,-4.68004611579372e-05,6.6471421307797e-05,-0.00468004611579372,0.0066471421307797
"14","2000","Spring",5,-3.26390826955397e-05,6.07475467804155e-05,-0.00326390826955397,0.00607475467804155
"15","2000","Summer",5,-0.000164190890680718,0.000323057944568932,-0.0164190890680718,0.0323057944568932
"16","2000","Winter",8,-9.6081204006039e-05,9.32538544973347e-05,-0.0096081204006039,0.00932538544973347
"17","2001","Fall",7,-0.000116436945225345,8.71639309762478e-05,-0.0116436945225345,0.00871639309762478
"18","2001","Spring",3,-0.0001342790282828,0.000170404323559246,-0.01342790282828,0.0170404323559246
"19","2001","Summer",7,-8.28273135474473e-05,8.44389869922026e-05,-0.00828273135474473,0.00844389869922026
"20","2001","Winter",7,-5.77078104482422e-05,0.000620663187263476,-0.00577078104482423,0.0620663187263476
"21","2002","Fall",4,-6.61347308506218e-05,0.000121520548711336,-0.00661347308506218,0.0121520548711336
"22","2002","Spring",8,-6.66939809001873e-06,3.40936334891597e-05,-0.000666939809001873,0.00340936334891597
"23","2002","Summer",5,-0.000200920320422768,0.000265890776487862,-0.0200920320422768,0.0265890776487862
"24","2002","Winter",7,-6.02018749503137e-05,6.13975389793769e-05,-0.00602018749503137,0.00613975389793769
"25","2003","Fall",3,-4.24375705252601e-05,7.35040282995379e-05,-0.00424375705252601,0.00735040282995379
"26","2003","Spring",5,-0.000115976211198211,7.93832910044263e-05,-0.0115976211198211,0.00793832910044263
"27","2003","Summer",1,-0.000992863993945054,NA,-0.0992863993945054,NA
"28","2003","Winter",5,-0.000179893833204226,8.15180124102787e-05,-0.0179893833204226,0.00815180124102787
"29","2004","Fall",2,-1.90514120102243e-05,8.46830776173571e-06,-0.00190514120102243,0.000846830776173571
"30","2004","Spring",1,-0.000189554046869938,NA,-0.0189554046869938,NA
"31","2004","Summer",4,-0.000139566437096108,0.00020085297171292,-0.0139566437096108,0.020085297171292
"32","2004","Winter",2,-0.000625697291887662,0.00075709544310206,-0.0625697291887662,0.075709544310206
"33","2005","Fall",3,-9.68634189059701e-05,0.000146262510813665,-0.00968634189059701,0.0146262510813665
"34","2005","Summer",2,-0.000442117922421468,0.000234648701827946,-0.0442117922421468,0.0234648701827946
"35","2005","Winter",3,-0.000375725258726076,0.000180928826457258,-0.0375725258726076,0.0180928826457258
"36","2006","Fall",3,-3.95250216271969e-05,3.82509565895771e-05,-0.00395250216271969,0.00382509565895771
"37","2006","Spring",3,-0.000120456306586206,0.000134732686741495,-0.0120456306586206,0.0134732686741495
"38","2006","Summer",1,-0.000572046916547316,NA,-0.0572046916547316,NA
"39","2006","Winter",1,-0.000422177828265134,NA,-0.0422177828265134,NA
"40","2007","Fall",2,-0.000154976821420953,0.000236092862364828,-0.0154976821420953,0.0236092862364828
"41","2007","Spring",1,-0.00019587423568233,NA,-0.019587423568233,NA
"42","2007","Summer",5,-8.5472136715825e-05,7.31847919937602e-05,-0.00854721367158249,0.00731847919937602
"43","2007","Winter",2,-0.000262763565293035,0.000119133837283141,-0.0262763565293035,0.0119133837283141
"44","2008","Fall",1,-0.0010639281576529,NA,-0.10639281576529,NA
"45","2008","Spring",2,-0.000500782430891739,0.000129164165679088,-0.0500782430891739,0.0129164165679088
"46","2008","Summer",1,-0.000114218333238979,NA,-0.0114218333238979,NA
"47","2008","Winter",3,-0.000174171973971168,4.21233312389598e-05,-0.0174171973971168,0.00421233312389598
"48","2009","Fall",1,-0.000557091546897512,NA,-0.0557091546897512,NA
"49","2009","Summer",2,-0.000405112277407532,0.000479100371464392,-0.0405112277407532,0.0479100371464391
"50","2009","Winter",2,-0.000303307629190741,0.00016407027289628,-0.0303307629190741,0.016407027289628
"51","2010","Fall",5,-8.92319445917811e-05,0.000111047492585219,-0.00892319445917811,0.0111047492585219
"52","2010","Spring",1,-5.44244343940656e-05,NA,-0.00544244343940656,NA
"53","2010","Summer",3,-0.00021897814754004,5.04610884964752e-05,-0.021897814754004,0.00504610884964752
"54","2010","Winter",2,-4.95208687885417e-05,3.9246879745348e-05,-0.00495208687885417,0.0039246879745348
"55","2011","Fall",2,-0.00029594024639447,0.000323131783789318,-0.029594024639447,0.0323131783789318
"56","2011","Spring",1,-0.000923527963947512,NA,-0.0923527963947512,NA
"57","2011","Summer",2,-0.000301227913859393,2.91427942382845e-05,-0.0301227913859393,0.00291427942382845
"58","2011","Winter",1,-0.000699891369893165,NA,-0.0699891369893165,NA
"59","2012","Fall",1,-0.000750291295967727,NA,-0.0750291295967727,NA
"60","2012","Spring",3,-8.02090041748328e-05,6.21105840188922e-05,-0.00802090041748328,0.00621105840188922
"61","2012","Summer",1,-0.0010534575281403,NA,-0.10534575281403,NA
"62","2012","Winter",1,-0.000251456214506247,NA,-0.0251456214506247,NA
"63","2013","Spring",1,-0.000369387677270807,NA,-0.0369387677270807,NA
"64","2013","Summer",1,-0.00138410262381019,NA,-0.138410262381019,NA
"65","2013","Winter",2,-0.000463444932952778,0.000207082397586065,-0.0463444932952778,0.0207082397586065
"66","2014","Fall",3,-7.65087541675822e-05,9.77451809181642e-05,-0.00765087541675822,0.00977451809181642
"67","2014","Spring",1,-8.93451544962632e-05,NA,-0.00893451544962632,NA
"68","2014","Summer",1,-0.000597049985807805,NA,-0.0597049985807805,NA
"69","2015","Fall",1,-0.000353563704564344,NA,-0.0353563704564344,NA
"70","2015","Spring",1,-0.000278685865510065,NA,-0.0278685865510065,NA
"71","2015","Summer",2,-0.000201701767316682,0.000226816453145256,-0.0201701767316682,0.0226816453145256
"72","2015","Winter",1,-0.000587506990245169,NA,-0.0587506990245169,NA
"73","2016","Fall",3,-6.45937085445013e-05,6.37813402098896e-06,-0.00645937085445013,0.000637813402098896
"74","2016","Spring",2,-0.000296645609254,0.000391809281596489,-0.0296645609254001,0.0391809281596489
"75","2016","Summer",1,-0.000971212732566328,NA,-0.0971212732566328,NA
"76","2016","Winter",1,-0.000300360432518849,NA,-0.0300360432518849,NA
"77","2017","Fall",2,-0.000140879801322965,0.000105400750335241,-0.0140879801322965,0.0105400750335241
"78","2017","Spring",3,-9.07231367561044e-05,3.92056118677847e-05,-0.00907231367561043,0.00392056118677847
"79","2017","Summer",3,-0.000208048502772251,0.000120133931034376,-0.0208048502772251,0.0120133931034376
