Start Date, End Date, Duration, Start Elevation, Min Elevation, Percent Difference, Rate of Change, Drawdown
7/6/97,8/11/97,36,2075.37,2065.22,-0.004890694189469874,-0.29852941176470854,-10.150000000000091
8/14/97,9/23/97,40,2064.99,2039.63,-0.012280931142523535,-0.667368421052623,-25.359999999999673
7/13/98,7/25/98,12,2075.17,2071.21,-0.0019082773941412204,-0.3600000000000033,-3.9600000000000364
8/9/98,9/23/98,45,2070.28,2042.06,-0.013631006433912444,-0.671904761904768,-28.220000000000255
7/22/99,8/12/99,21,2071.87,2067.13,-0.0022877883264875603,-0.24947368421051483,-4.739999999999782
8/17/99,8/30/99,13,2067.72,2065.3,-0.0011703712301470307,-0.21999999999996528,-2.419999999999618
6/19/00,7/5/00,16,2075.29,2071.77,-0.0016961484900905328,-0.2514285714285701,-3.519999999999982
7/9/00,7/21/00,12,2071.8,2069.11,-0.0012983878752775627,-0.2445454545454595,-2.6900000000000546
8/7/00,8/20/00,13,2072.98,2069.68,-0.001591911161709318,-0.30000000000001653,-3.300000000000182
9/5/00,9/13/00,8,2070.35,2069.12,-0.0005941024464462619,-0.24600000000000363,-1.2300000000000182
7/18/01,9/9/01,53,2073.23,2058.72,-0.006998741094813512,-0.2737735849056645,-14.510000000000218
6/25/02,9/12/02,79,2075.39,2040.05,-0.01702812483436844,-0.4589610389610379,-35.33999999999992
6/23/03,8/12/03,50,2076.08,2046.72,-0.014142036915725744,-0.5991836734693857,-29.3599999999999
6/20/04,8/13/04,54,2075.61,2044.65,-0.014916096954630222,-0.5841509433962271,-30.960000000000036
6/6/05,7/16/05,40,2075.31,2057.71,-0.008480660720567005,-0.4631578947368397,-17.59999999999991
7/18/05,8/18/05,31,2057.75,2048.71,-0.00439314785566758,-0.3117241379310332,-9.039999999999964
9/26/05,10/28/05,32,2049.43,2048.55,-0.0004293876834044854,-0.0274999999999892,-0.8799999999996544
5/29/06,7/7/06,39,2072.18,2060.82,-0.005482149234139734,-0.298947368421044,-11.359999999999673
7/23/06,8/18/06,26,2063.16,2051.38,-0.0057096880513386,-0.49083333333332274,-11.779999999999745
6/3/07,8/21/07,79,2074.82,2049.15,-0.012372157584754375,-0.3333766233766243,-25.670000000000073
6/10/08,6/19/08,9,2074.98,2073.24,-0.0008385622993957708,-0.2900000000000394,-1.7400000000002365
6/22/08,8/10/08,49,2073.21,2048.96,-0.011696837271670502,-0.5052083333333334,-24.25
