Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,23,0.5178082191780822,8.217391304347826,3.1340558766852347,-0.00033373623648251234,0.0003136530057693152,-0.5949373706003968,0.4601171869156982,-11.649999999999636
1998,22,0.4794520547945205,7.954545454545454,2.8837676228294367,-0.0002667478831188434,0.0002144107279653654,-0.4570204479863319,0.4656459237136455,-8.539999999999964
1999,31,0.6575342465753424,7.741935483870968,3.321171013221613,-0.0003227693000711512,0.000312805459505434,-0.721121363403679,0.6033102941603592,-13.650000000000546
2000,26,0.5616438356164384,7.884615384615385,2.722088042956999,-0.00034201781460055543,0.00036513165160459167,-0.5581794871794691,0.43127997882182423,-12.840000000000146
2001,31,0.6356164383561644,7.483870967741935,2.3399885268802754,-0.0002452739721326241,9.366833245292101e-05,-0.522247707489649,0.3914210086238848,-3.7299999999995634
2002,27,0.5945205479452055,8.037037037037036,2.987399234085301,-0.0002934055830716282,0.0003014783492193809,-0.5439268077601368,0.32564702150052466,-13.229999999999563
2003,25,0.5287671232876713,7.72,2.25424044857686,-0.0003383397477459369,0.0004562590604490743,-0.6287866666666969,0.6969536293238641,-18.729999999999563
2004,27,0.547945205479452,7.407407407407407,2.571341475216264,-0.00028324613646815114,0.00025993462202864373,-0.622575770936828,0.5828818345215213,-11.359999999999673
2005,25,0.5150684931506849,7.52,1.7915356541246956,-0.00026146372967909983,0.00014286516623127996,-0.452767099567069,0.3114067788163303,-6.109999999999673
2006,21,0.4575342465753425,7.9523809523809526,2.2141577023928893,-0.00026201602515703765,0.00028986047226956164,-0.37816817838246636,0.3173813065094961,-11.349999999999454
2007,29,0.6328767123287671,7.9655172413793105,2.6455265901816047,-0.00021977776562881292,8.545431758636222e-05,-0.4909332363039081,0.4421273042696259,-3.019999999999527
2008,26,0.5698630136986301,8.0,2.6311740579210876,-0.00023654128684157753,0.00010040427576254909,-0.45835439560445107,0.34095568730091214,-3.600000000000364
2009,23,0.5534246575342465,8.782608695652174,2.501417367590004,-0.00020869425221956025,9.140584912530151e-05,-0.3385869565217324,0.25847718428841365,-3.449999999999818
2010,24,0.4876712328767123,7.416666666666667,1.9561157657175836,-0.00021850647932551148,9.532553292758581e-05,-0.48716600529102433,0.30668656418499457,-3.240000000000691
2011,20,0.40821917808219177,7.45,2.178875856950093,-0.0003075889842660116,0.00029732987639170697,-0.5304685606060627,0.43771714924699257,-11.489999999999782
2012,23,0.5068493150684932,8.043478260869565,4.328653379009962,-0.00026040325691451395,0.00033711899676062745,-0.41165983436846176,0.32077721455232155,-13.159999999999854
2013,21,0.536986301369863,9.333333333333334,6.985245220724236,-0.000260403743474546,0.0002582985166563015,-0.3623730433730652,0.2911171086323422,-9.420000000000073
2014,19,0.4054794520547945,7.7894736842105265,3.3962664852424584,-0.0002769955181224129,0.0003615678924076235,-0.5105526315789423,0.48114063822374925,-13.149999999999636
2015,22,0.4931506849315068,8.181818181818182,2.5160640914723724,-0.00026282294003581786,0.0003541996988242555,-0.4342668278691438,0.4304757454810312,-13.819999999999709
2016,19,0.3726027397260274,7.157894736842105,2.006913259467118,-0.00021996926879581406,0.00032569573710666095,-0.38644736842105415,0.45843415574532165,-11.819999999999709
2017,20,0.4465753424657534,8.15,3.198046278589477,-0.0001896839098279559,7.11797161440773e-05,-0.44957886904762584,0.43284425494565465,-2.5200000000004366
2018,23,0.4520547945205479,7.173913043478261,2.5648489050004564,-0.00022990350921686702,0.00028086553951007116,-0.4734067599067077,0.39644783799172006,-11.159999999999854
2019,23,0.5424657534246575,8.608695652173912,4.517975021918199,-0.0001890279298506387,9.357078766475152e-05,-0.49296572533745253,0.43761206630475497,-3.0599999999994907
2020,21,0.44931506849315067,7.809523809523809,2.0614153163727016,-0.00019460931860717183,8.816479693123669e-05,-0.3555270219198456,0.22043564189789808,-3.3900000000003274
2021,5,0.11232876712328767,8.2,1.469693845669907,-0.0001750374948312455,7.475019082512678e-05,-0.3494666666666742,0.30808552925004984,-1.9500000000007276
