Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2000,2,0.3287671232876712,60.0,52.0,-0.006077837881245339,0.005298392014002821,-0.9133027522936422,0.6966972477064851,-23.610000000000127
2001,2,0.4301369863013699,78.5,70.5,-0.0061589142373666035,0.005825126178271578,-0.13391409266409718,0.03534266409266081,-25.050000000000182
2002,8,0.410958904109589,18.75,17.61923664634765,-0.0019886709189597704,0.0029357112929626265,-0.21095904558403214,0.0798256085373492,-19.529999999999973
2003,1,0.06575342465753424,24.0,0.0,-0.0008436377660471956,0.0,-0.08333333333333333,0.0,-1.75
2004,1,0.2602739726027397,95.0,0.0,-0.006884170715944232,0.0,-0.15462365591397967,0.0,-14.38000000000011
2005,1,0.08493150684931507,31.0,0.0,-0.001166316771635176,0.0,-0.08333333333333333,0.0,-2.5
2006,1,0.27671232876712326,101.0,0.0,-0.00827904706478677,0.0,-0.17639999999999872,0.0,-17.639999999999873
2007,4,0.3698630136986301,33.75,17.122718826167766,-0.0022146112124874664,0.0019384472236427717,-0.1308275451559902,0.05873630485257225,-11.449999999999818
2009,1,0.3589041095890411,131.0,0.0,-0.007398026882446272,0.0,-0.124140624999999,0.0,-15.889999999999873
2010,2,0.049315068493150684,9.0,1.0,-0.00045552115093678696,0.00023706078522472024,-0.1518750000000182,0.034374999999954525,-1.4899999999997817
2011,1,0.4904109589041096,179.0,0.0,-0.011721154025475246,0.0,-0.14284090909091096,0.0,-25.140000000000327
2012,2,0.4767123287671233,87.0,23.0,-0.005718692343046132,0.0021335256137737864,-0.1378897849462367,0.01627688172043082,-16.65000000000009
2013,1,0.15616438356164383,57.0,0.0,-0.004226574766732117,0.0,-0.1620000000000056,0.0,-8.91000000000031
2014,1,0.21643835616438356,79.0,0.0,-0.0053783656431907415,0.0,-0.14487179487179722,0.0,-11.300000000000182
2015,1,0.3561643835616438,130.0,0.0,-0.006124700422262006,0.0,-0.09984496124031092,0.0,-12.88000000000011
2016,2,0.19726027397260273,36.0,16.0,-0.0025615524776482317,0.0016840650645578803,-0.14127450980391568,0.03362745098039055,-8.919999999999618
2017,2,0.1917808219178082,35.0,27.0,-0.0016218145948697813,0.0013093663736943823,-0.16262711864404383,0.05737288135590764,-6.210000000000036
2018,1,0.5178082191780822,189.0,0.0,-0.011263339722202588,0.0,-0.1279569892473128,0.0,-23.800000000000182
2019,1,0.15342465753424658,56.0,0.0,-0.003299120234604097,0.0,-0.12535714285714253,0.0,-7.019999999999982
2020,1,0.2,73.0,0.0,-0.002744316511171006,0.0,-0.08400000000000156,0.0,-5.880000000000109
