Start Date, End Date, Duration, Start Elevation, Min Elevation, Percent Difference, Rate of Change, Drawdown
1/2/97,1/20/97,18,455.65,395.33,-0.1323823109843081,-3.5482352941176467,-60.31999999999999
1/27/97,2/10/97,14,408.51,394.42,-0.034491199725832845,-1.1741666666666646,-14.089999999999975
2/25/97,3/5/97,8,405.29,402.83,-0.006069727849194494,-0.49200000000000726,-2.4600000000000364
6/12/97,8/26/97,75,433.51,421.93,-0.02671218657009062,-0.15863013698630116,-11.579999999999984
9/26/97,11/26/97,61,423.86,407.6,-0.03836172321049401,-0.27099999999999985,-16.25999999999999
11/28/97,12/7/97,9,408.16,406.54,-0.003969031752254029,-0.20250000000000057,-1.6200000000000045
12/12/97,1/4/98,23,408.36,405.42,-0.007199529826623562,-0.13363636363636353,-2.9399999999999977
1/19/98,1/29/98,10,424.57,421.2,-0.007937442588972382,-0.37444444444444497,-3.3700000000000045
2/3/98,2/11/98,8,427.93,418.76,-0.021428738345056472,-3.056666666666672,-9.170000000000016
2/15/98,2/23/98,8,422.66,419.43,-0.007642076373444419,-0.8075000000000045,-3.230000000000018
3/19/98,3/23/98,4,430.04,428.38,-0.003860106036647812,-0.5533333333333417,-1.660000000000025
5/13/98,5/22/98,9,446.03,442.44,-0.008048785956101551,-0.4487499999999969,-3.589999999999975
7/22/98,11/30/98,131,463.09,422.74,-0.08713209095424208,-0.31038461538461515,-40.349999999999966
12/26/98,1/17/99,22,424.98,421.06,-0.00922396348063442,-0.18666666666666742,-3.920000000000016
1/20/99,2/2/99,13,427.92,420.6,-0.017106001121704975,-0.6099999999999994,-7.319999999999993
2/10/99,2/23/99,13,429.76,415.99,-0.032041139240506285,-1.3769999999999982,-13.769999999999982
6/26/99,8/20/99,55,463.46,445.73,-0.03825572864972158,-0.3345283018867917,-17.72999999999996
9/21/99,11/22/99,62,443.69,427.16,-0.03725574162140227,-0.28016949152542325,-16.529999999999973
11/23/99,12/1/99,8,427.24,426.19,-0.0024576350528976955,-0.15000000000000163,-1.0500000000000114
12/6/99,1/17/00,42,425.86,416.27,-0.022519137744798835,-0.2397500000000008,-9.590000000000032
1/26/00,2/10/00,15,429.75,422.88,-0.01598603839441537,-0.49071428571428605,-6.8700000000000045
2/15/00,2/23/00,8,434.34,423.99,-0.023829258184832083,-1.7249999999999943,-10.349999999999966
2/28/00,3/7/00,8,428.78,426.6,-0.005084192359718154,-0.43599999999999,-2.17999999999995
4/22/00,5/8/00,16,440.55,436.58,-0.009011462944047276,-0.2646666666666685,-3.9700000000000273
6/22/00,8/14/00,53,448.84,433.61,-0.03393191337670431,-0.287358490566037,-15.229999999999961
9/28/00,11/12/00,45,435.53,425.18,-0.02376414942713468,-0.22999999999999923,-10.349999999999966
11/23/00,12/12/00,19,425.26,422.98,-0.0053614259511827415,-0.12666666666666515,-2.2799999999999727
12/21/00,1/23/01,33,422.94,415.22,-0.01825318012011153,-0.24903225806451518,-7.71999999999997
2/1/01,2/10/01,9,415.37,414.1,-0.003057514986638375,-0.15874999999999773,-1.2699999999999818
5/26/01,11/23/01,181,440.23,378.91,-0.13929082525043726,-0.3425698324022346,-61.31999999999999
