Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,3,0.1232876712328767,15.0,6.683312551921141,-0.003253351817848717,0.0035826609686523776,-0.3423181818182128,0.2777493246216988,-17.220000000000255
1998,2,0.15616438356164383,28.5,13.5,-0.0013425991247162069,0.0005489214449652121,-0.1035416666666606,0.005791666666664239,-3.9099999999998545
1999,5,0.14246575342465753,10.4,2.0591260281974,-0.0007827425703146887,0.0005209744597751691,-0.17425641025640562,0.10293371733482089,-3.369999999999891
2001,3,0.25205479452054796,30.666666666666668,12.657891697365017,-0.0016482973091994227,0.0003241449925078346,-0.1490721526535475,0.08076574288753921,-4.2199999999998
2002,1,0.024657534246575342,9.0,0.0,-0.0002280866923546311,0.0,-0.07833333333329999,0.0,-0.4699999999997999
2003,1,0.07671232876712329,28.0,0.0,-0.002550330383708895,0.0,-0.211200000000008,0.0,-5.2800000000002
2004,1,0.038356164383561646,14.0,0.0,-0.0012278064319654878,0.0,-0.19538461538461258,0.0,-2.5399999999999636
2005,1,0.021917808219178082,8.0,0.0,-0.0006727227849754736,0.0,-0.27799999999997455,0.0,-1.3899999999998727
2006,1,0.36712328767123287,134.0,0.0,-0.003379883398864988,0.0,-0.052089552238806104,0.0,-6.980000000000018
2009,3,0.13972602739726028,17.0,6.164414002968976,-0.0054739790032890985,0.003760015230508246,-0.6182586367880388,0.38188297290753304,-18.429999999999836
2010,3,0.12054794520547946,14.666666666666666,6.236095644623235,-0.001052625261747249,0.0009293111188438373,-0.14003030303029762,0.06495221101193163,-4.820000000000164
2011,8,0.41643835616438357,19.0,16.977926846349646,-0.0012216349631234335,0.0008848710047456121,-0.22983738021236885,0.15699395132863161,-7.119999999999891
2012,1,0.07945205479452055,29.0,0.0,-0.001176846632184717,0.0,-0.08678571428572468,0.0,-2.430000000000291
2013,3,0.21643835616438356,26.333333333333332,15.369522511198006,-0.0017633466001814575,0.0007624577367815955,-0.2157909192045626,0.12641899171623203,-5.769999999999982
2014,5,0.3095890410958904,22.6,8.845337754998392,-0.0022421443188161173,0.0012553283682615272,-0.2158403361344527,0.06377860623796498,-8.860000000000127
2015,2,0.07945205479452055,14.5,6.5,-0.00018426169093055026,4.8512240269853695e-06,-0.03338815789473864,0.01286184210524772,-0.3900000000003274
2018,2,0.10136986301369863,18.5,14.5,-0.0013375484529886995,0.0012066977294326701,-0.1298387096774125,0.03983870967741857,-5.2599999999997635
2019,3,0.11232876712328767,13.666666666666666,7.318166133366716,-0.002761330292005641,0.0030053648628846925,-0.39543650793652096,0.21206744988465032,-14.570000000000164
2020,1,0.07945205479452055,29.0,0.0,-0.0007602463779343133,0.0,-0.06038461538460419,0.0,-1.569999999999709
