Start Date, End Date, Duration, Start Elevation, Min Elevation, Percent Difference, Rate of Change, Drawdown
4/17/97,10/10/97,14,4774.9,4759.6,-0.0032042555865042775,-1.3909090909090247,-15.299999999999272
6/25/98,10/2/98,10,4774.3,4758.5,-0.003309385669103362,-2.2571428571428833,-15.800000000000182
6/19/99,6/27/99,8,4775.0,4773.0,-0.000418848167539267,-0.4,-2.0
6/28/99,7/30/99,30,4773.0,4765.0,-0.0016760946993505132,-0.2962962962962963,-8.0
8/1/99,9/2/99,30,4765.0,4755.0,-0.002098635886673662,-0.37037037037037035,-10.0
4/19/00,4/27/00,8,4774.5,4774.0,-0.00010472300764477956,-0.5,-0.5
5/22/00,5/30/00,8,4774.5,4773.5,-0.00020944601528955913,-1.0,-1.0
6/1/00,7/12/00,41,4773.5,4763.0,-0.0021996438671834082,-0.27631578947368424,-10.5
7/13/00,8/25/00,43,4763.0,4746.0,-0.003569179088809574,-0.425,-17.0
5/19/01,5/28/01,9,4770.0,4768.0,-0.0004192872117400419,-0.3333333333333333,-2.0
5/30/01,8/5/01,67,4768.0,4745.0,-0.004823825503355705,-0.359375,-23.0
11/10/01,3/5/02,7,4745.0,4734.6,-0.0021917808219177317,-10.399999999999636,-10.399999999999636
6/16/02,10/3/02,35,4764.76,4746.32,-0.0038700795003317077,-0.5762500000000159,-18.44000000000051
6/1/03,7/2/03,31,4758.79,4747.17,-0.002441797179535111,-0.4149999999999961,-11.61999999999989
9/30/03,10/10/03,10,4747.2,4745.14,-0.00043394000674070837,-1.0299999999997453,-2.0599999999994907
6/20/04,7/7/04,17,4752.97,4745.53,-0.0015653370418918086,-0.5314285714286078,-7.440000000000509
4/24/05,5/2/05,8,4775.2,4774.4,-0.00016753224995815503,-0.2666666666667273,-0.8000000000001819
5/8/05,5/13/05,5,4774.9,4774.3,-0.00012565708182358883,-0.14999999999986358,-0.5999999999994543
5/21/05,5/27/05,6,4775.4,4774.5,-0.00018846588767425479,-0.4499999999998181,-0.8999999999996362
6/24/05,9/17/05,85,4775.5,4758.59,-0.003540990472201833,-0.20130952380952208,-16.909999999999854
1/16/06,1/24/06,8,4773.4,4772.8,-0.00012569656848356609,-0.09999999999990905,-0.5999999999994543
3/3/06,3/11/06,8,4774.5,4769.43,-0.0010618912975180039,-1.0139999999999418,-5.069999999999709
3/28/06,4/5/06,8,4773.9,4771.0,-0.0006074697836149975,-0.4142857142856623,-2.899999999999636
4/15/06,4/22/06,7,4774.5,4774.3,-4.188920305787372e-05,-0.1999999999998181,-0.1999999999998181
6/1/06,9/5/06,96,4774.7,4757.39,-0.0036253586612770418,-0.18612903225805905,-17.30999999999949
