Start Date, End Date, Duration, Start Elevation, Min Elevation, Percent Difference, Rate of Change, Drawdown
7/8/97,8/13/97,37,2243.27,2237.21,-0.0027014135614526766,-0.17314285714285557,-6.059999999999945
7/18/98,10/1/98,76,2243.05,2234.78,-0.003686944116270249,-0.11175675675675652,-8.269999999999982
7/3/99,10/1/99,91,2241.3,2224.85,-0.007339490474278442,-0.18693181818182128,-16.450000000000273
7/1/00,10/23/00,114,2243.51,2227.22,-0.007260943788973714,-0.14675675675676053,-16.29000000000042
6/30/01,9/13/01,76,2244.02,2230.24,-0.0061407652338215345,-0.18876712328767398,-13.7800000000002
6/28/02,9/30/02,95,2243.91,2225.79,-0.00807519018142434,-0.19912087912087792,-18.11999999999989
7/13/03,9/22/03,72,2242.64,2223.67,-0.008458780722719564,-0.27492753623188115,-18.9699999999998
7/20/04,9/21/04,64,2240.85,2229.56,-0.0050382667291429435,-0.17920634920634862,-11.289999999999964
6/19/05,9/25/05,76,2243.15,2229.64,-0.006022780464971232,-0.18013333333333625,-13.510000000000218
6/30/06,9/10/06,73,2243.3,2230.42,-0.00574154147907106,-0.18400000000000155,-12.88000000000011
2/28/07,3/22/07,10,2242.71,2242.33,-0.00016943786757989625,-0.054285714285729876,-0.38000000000010914
7/6/07,9/18/07,75,2242.57,2233.28,-0.004142568570880714,-0.12902777777777727,-9.289999999999964
7/21/08,9/19/08,61,2240.64,2231.49,-0.004083654670094299,-0.1605263157894753,-9.150000000000091
7/12/09,9/22/09,73,2241.83,2233.89,-0.00354174937439505,-0.11183098591549373,-7.940000000000055
6/16/10,6/29/10,14,2245.92,2243.46,-0.0010953195127164086,-0.24600000000000363,-2.4600000000000364
7/23/10,9/22/10,62,2241.39,2227.37,-0.006255047091313864,-0.24172413793103417,-14.019999999999982
7/19/11,9/17/11,61,2242.31,2232.18,-0.004517662589026544,-0.17771929824561594,-10.13000000000011
6/21/12,10/3/12,105,2241.55,2221.03,-0.009154379781847374,-0.203168316831683,-20.519999999999982
3/3/13,3/7/13,5,2243.74,2243.15,-0.000262953818178439,-0.2949999999998454,-0.5899999999996908
3/8/13,3/13/13,6,2243.85,2243.25,-0.0002673975533123467,-0.14999999999997726,-0.599999999999909
4/7/13,4/15/13,9,2244.19,2243.65,-0.00024062133776550274,-0.06749999999999545,-0.5399999999999636
5/3/13,5/17/13,15,2244.04,2243.31,-0.0003253061442755112,-0.05214285714285844,-0.7300000000000182
7/2/13,9/23/13,84,2243.53,2229.93,-0.006061875704804644,-0.16585365853658982,-13.600000000000364
7/21/14,9/15/14,57,2242.2,2235.39,-0.003037195611453013,-0.1261111111111101,-6.809999999999945
7/8/15,9/13/15,68,2242.44,2231.02,-0.005092666916394674,-0.17303030303030414,-11.420000000000073
7/11/16,9/21/16,73,2242.39,2232.0,-0.004633449132398857,-0.1484285714285696,-10.389999999999873
6/29/17,8/20/17,22,2243.16,2234.3,-0.003949785124556284,-0.492222222222204,-8.859999999999673
9/6/17,9/20/17,15,2233.86,2232.11,-0.0007833973480880627,-0.1590909090909091,-1.75
3/21/19,3/31/19,11,2242.82,2241.87,-0.00042357389358052485,-0.09500000000002728,-0.9500000000002728
8/17/19,8/26/19,10,2242.39,2241.11,-0.0005708195273791559,-0.15999999999996817,-1.2799999999997453
9/2/19,9/14/19,13,2240.56,2237.9,-0.001187203199200135,-0.24181818181816858,-2.6599999999998545
9/19/19,10/15/19,27,2238.28,2233.79,-0.0020060046106833086,-0.18708333333334318,-4.4900000000002365
7/1/20,9/18/20,80,2243.84,2232.16,-0.005205362236166701,-0.15168831168831548,-11.680000000000291
2/13/21,2/22/21,9,2243.4,2240.02,-0.0015066417045556339,-3.380000000000109,-3.380000000000109
