Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2003,1,0.6493150684931507,237.0,0.0,-0.011077292333379802,0.0,-0.2710212765957469,0.0,-63.69000000000051
2004,1,0.4684931506849315,171.0,0.0,-0.008546308764582726,0.0,-0.28858823529411465,0.0,-49.05999999999949
2005,2,0.5808219178082191,106.0,61.0,-0.007836881840086308,0.0066377596880013625,-0.3321162790697708,0.17188372093022833,-83.15999999999985
2006,2,0.5698630136986301,104.0,76.0,-0.007262171367311683,0.004655826939592437,-0.5034644194756555,0.11986891385767937,-68.27999999999975
2007,7,0.5917808219178082,30.857142857142858,23.36926291048975,-0.0024947432026566382,0.00211352878373167,-0.4653370322461132,0.22954968534870349,-39.13999999999942
2008,6,0.44931506849315067,27.333333333333332,15.304320377665329,-0.001415142998680925,0.0011834976594496851,-0.33141341991338347,0.2214963570939965,-21.529999999999745
2009,4,0.37534246575342467,34.25,24.993749218554626,-0.0020583676514857705,0.0025302693612906553,-0.2349025704809646,0.1827787561898362,-36.340000000000146
2010,5,0.5917808219178082,43.2,30.818176454813155,-0.0031544114312812266,0.003720697144987951,-0.33280420796382154,0.241835508631208,-55.73999999999978
2011,6,0.4602739726027397,28.0,24.81263119192857,-0.001983874209711724,0.002443649664079058,-0.5218437808268425,0.25292390236326345,-42.14000000000033
2012,4,0.547945205479452,50.0,42.2196636651691,-0.0023172860430219562,0.0021335947997866327,-0.27461919504644244,0.11266891023907756,-28.970000000000255
2013,3,0.5506849315068493,67.0,21.275964529643932,-0.00445794275973299,0.0015640555288530722,-0.4512078900709207,0.22567037936890844,-38.25
2014,4,0.44931506849315067,41.0,26.086394921491163,-0.0015247631139046795,0.000728326505400802,-0.2552047764227573,0.10187240339027774,-13.300000000000182
2015,1,0.4438356164383562,162.0,0.0,-0.011372873231021556,0.0,-0.4067080745341644,0.0,-65.48000000000047
2016,3,0.5013698630136987,61.0,71.47493733237313,-0.004009296333561131,0.005299186623089284,-0.25324185958970774,0.11641954056674897,-66.19999999999982
2017,3,0.6054794520547945,73.66666666666667,80.14292787819078,-0.0038365255970456273,0.0047324939968537046,-0.2472987987987909,0.059078241523464047,-60.63000000000011
2018,3,0.4301369863013699,52.333333333333336,39.53338954464806,-0.004180114735167289,0.004845150762597623,-0.34988690476191797,0.19586793387341112,-63.47999999999956
2019,5,0.4904109589041096,35.8,37.74334378403694,-0.0017198709009365331,0.0023691484985839473,-0.23034640061624523,0.07857602273859285,-37.07999999999993
2020,3,0.5342465753424658,65.0,17.795130420052185,-0.0026164045368906232,0.001311195415195985,-0.22676865503692023,0.04616833100362398,-25.69000000000051
2021,1,0.09041095890410959,33.0,0.0,-0.001247205512717899,0.0,-0.2243750000000091,0.0,-7.180000000000291
