Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2004,2,0.22465753424657534,41.0,19.0,-0.001132621940207706,0.0008965694808013823,-0.1277149122806944,0.06421491228071805,-10.94000000000051
2005,2,0.2219178082191781,40.5,28.5,-0.0018147206652398397,0.0014175742087098955,-0.24007575757573937,0.025075757575775764,-17.5
2006,2,0.2410958904109589,44.0,35.0,-0.001974664708573386,0.0017508645824314897,-0.23359649122807513,0.03192982456140238,-20.18000000000029
2007,2,0.3424657534246575,62.5,53.5,-0.004846140210692073,0.004710046473800498,-0.2791165413533523,0.17483082706770037,-51.75
2008,5,0.3452054794520548,25.2,9.495261976375375,-0.0005656262144226485,0.0003741344988272942,-0.1700437605872376,0.10616616948211169,-5.779999999999745
2009,1,0.2410958904109589,88.0,0.0,-0.002483093731711381,0.0,-0.15823529411764492,0.0,-13.449999999999818
2010,2,0.2465753424657534,45.0,27.0,-0.0015190931160579,0.0008729420533240164,-0.2105072463768103,0.022826086956523065,-12.949999999999818
2011,3,0.16712328767123288,20.333333333333332,9.392668535736915,-0.0002906246210600905,0.000167728443283511,-0.09309523809524967,0.036246432305505324,-2.850000000000364
2012,2,0.27945205479452057,51.0,21.0,-0.0022061235152899964,0.0013572538279075868,-0.2246698872785829,0.05504025764895597,-19.300000000000182
2013,2,0.30684931506849317,56.0,29.0,-0.0025081787676688883,0.0010875589044842778,-0.2786839430894433,0.04173272357724461,-19.43000000000029
2014,1,0.23835616438356164,87.0,0.0,-0.0031443053137094872,0.0,-0.2001176470588154,0.0,-17.00999999999931
2015,3,0.2493150684931507,30.333333333333332,15.627610892974722,-0.0012567705895543645,0.0008399887415980478,-0.21424983850126603,0.06606330527360955,-11.670000000000073
2016,3,0.29041095890410956,35.333333333333336,30.180935851773864,-0.0013492559690499112,0.0015554761558344847,-0.16483961233963373,0.06701508758758551,-19.210000000000036
2017,3,0.2410958904109589,29.333333333333332,13.27487183449325,-0.000942424461023199,0.000632092346928508,-0.18105543007717942,0.05477150257670063,-9.930000000000291
2018,2,0.32054794520547947,58.5,45.5,-0.002708306817646476,0.002272525476473895,-0.23942959001785197,0.024884135472344485,-26.960000000000036
2019,1,0.16986301369863013,62.0,0.0,-0.0017859022684837324,0.0,-0.163898305084747,0.0,-9.670000000000073
2020,3,0.3315068493150685,40.333333333333336,39.83577398380617,-0.0019138451539765407,0.0021424514647169516,-0.23942840973401433,0.037668643626170575,-26.68000000000029
