Start Date, End Date, Duration, Start Elevation, Min Elevation, Percent Difference, Rate of Change, Drawdown
2/19/03,2/27/03,9,5471.75,5463.51,-0.0015059167542376354,-1.6479999999999564,-8.239999999999782
3/7/03,3/17/03,11,5468.87,5464.77,-0.0007496978352016878,-0.5857142857142078,-4.099999999999454
3/20/03,3/26/03,7,5471.23,5469.07,-0.00039479239585977094,-0.5399999999999636,-2.1599999999998545
3/28/03,4/6/03,10,5471.69,5467.67,-0.0007346907445413625,-0.6699999999999212,-4.019999999999527
4/9/03,4/20/03,12,5471.12,5468.93,-0.0004002836713505827,-0.27374999999995,-2.1899999999996
4/22/03,5/1/03,10,5470.72,5465.93,-0.0008755703088441674,-0.5987499999999955,-4.789999999999964
5/5/03,5/11/03,7,5471.16,5469.54,-0.00029609808523236225,-0.4049999999999727,-1.6199999999998909
5/12/03,5/20/03,9,5471.69,5467.12,-0.0008352081349637332,-1.1424999999999272,-4.569999999999709
5/23/03,5/30/03,8,5469.98,5467.73,-0.0004113360560733312,-1.125,-2.25
6/2/03,6/8/03,7,5470.72,5466.38,-0.0007933142255498628,-0.8680000000000291,-4.3400000000001455
6/9/03,6/17/03,9,5470.77,5466.33,-0.000811585937628617,-0.7400000000000849,-4.440000000000509
6/29/03,7/7/03,9,5470.97,5466.39,-0.000837145880894965,-0.7633333333333212,-4.579999999999927
7/18/03,7/30/03,13,5471.53,5466.91,-0.000844370770150194,-4.619999999999891,-4.619999999999891
8/10/03,8/19/03,10,5471.08,5466.86,-0.0007713285128348068,-0.46888888888891717,-4.220000000000255
8/20/03,8/28/03,9,5471.64,5467.11,-0.0008279053446499869,-0.9060000000001309,-4.530000000000655
8/30/03,9/6/03,8,5471.82,5469.81,-0.00036733664484564716,-0.3349999999998848,-2.009999999999309
9/7/03,9/16/03,10,5471.74,5467.94,-0.0006944774422761648,-0.6333333333333636,-3.800000000000182
9/21/03,9/29/03,9,5471.09,5462.34,-0.0015993156756697476,-2.1875,-8.75
9/30/03,10/8/03,9,5465.64,5461.11,-0.0008288141919337268,-0.7550000000001091,-4.530000000000655
10/27/03,11/6/03,11,5470.69,5460.08,-0.0019394262880915705,-1.326249999999959,-10.609999999999673
11/8/03,11/16/03,9,5471.59,5466.82,-0.0008717758457779981,-1.1925000000001091,-4.770000000000437
11/25/03,12/11/03,17,5470.32,5469.02,-0.00023764606092500484,-1.2999999999992724,-1.2999999999992724
12/28/03,1/3/04,7,5471.42,5467.82,-0.0006579644772290125,-1.2000000000001212,-3.600000000000364
1/4/04,1/10/04,7,5471.63,5470.54,-0.00019920937636502204,-0.21800000000002911,-1.0900000000001455
1/19/04,1/31/04,13,5471.7,5465.2,-0.0011879306248515087,-0.5909090909090909,-6.5
3/3/04,3/12/04,10,5470.91,5467.91,-0.0005483548440753001,-0.3333333333333333,-3.0
3/18/04,3/28/04,11,5470.41,5466.79,-0.0006617419900884744,-0.9049999999999727,-3.619999999999891
3/30/04,4/7/04,9,5471.39,5464.33,-0.0012903485220392623,-2.3533333333334667,-7.0600000000004
4/8/04,4/17/04,10,5470.94,5466.86,-0.000745758498539543,-0.5099999999999909,-4.079999999999927
4/23/04,5/3/04,11,5470.52,5466.19,-0.0007915152490075598,-0.43300000000008365,-4.330000000000837
5/7/04,5/12/04,6,5469.72,5467.6,-0.00038758839574967106,-0.7066666666666302,-2.119999999999891
5/13/04,5/26/04,14,5470.52,5465.9,-0.0008445266629133611,-0.42000000000007276,-4.6200000000008
5/28/04,6/4/04,8,5469.83,5465.0,-0.0008830256150556649,-2.4149999999999636,-4.829999999999927
6/8/04,6/16/04,9,5471.28,5467.76,-0.0006433595063677105,-0.8799999999998818,-3.519999999999527
6/20/04,6/28/04,9,5471.11,5468.9,-0.0004039399683062553,-0.7366666666666788,-2.2100000000000364
6/29/04,7/7/04,9,5470.53,5467.37,-0.0005776405576790283,-0.6319999999999709,-3.1599999999998545
7/11/04,7/23/04,9,5471.59,5466.48,-0.0009339150045965765,-1.2775000000001455,-5.110000000000582
7/28/04,8/1/04,5,5470.66,5468.88,-0.0003253720757641209,-1.7799999999997453,-1.7799999999997453
8/2/04,8/13/04,12,5471.61,5466.35,-0.0009613258254881669,-5.259999999999309,-5.259999999999309
8/14/04,8/23/04,10,5470.17,5465.16,-0.0009158764718464359,-1.6700000000000728,-5.010000000000218
8/27/04,9/4/04,9,5471.31,5467.07,-0.0007749515198372403,-0.6057142857143845,-4.240000000000691
9/5/04,9/13/04,9,5469.61,5464.04,-0.0010183541422514053,-1.8566666666665697,-5.569999999999709
9/14/04,9/22/04,9,5468.19,5460.95,-0.0013240212940661869,-2.4133333333332607,-7.239999999999782
9/27/04,10/5/04,9,5469.26,5464.72,-0.000830094016375152,-4.539999999999964,-4.539999999999964
10/24/04,10/29/04,6,5470.22,5466.99,-0.0005904698531321359,-1.0766666666668243,-3.230000000000473
