Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,23,0.5808219178082191,9.217391304347826,3.1340558766852347,-0.00033373623648251234,0.0003136530057693152,-0.5949373706003968,0.4601171869156982,-11.649999999999636
1998,22,0.5397260273972603,8.954545454545455,2.883767622829437,-0.0002667478831188434,0.0002144107279653654,-0.4570204479863319,0.4656459237136455,-8.539999999999964
1999,31,0.7424657534246575,8.741935483870968,3.321171013221613,-0.0003227693000711512,0.000312805459505434,-0.721121363403679,0.6033102941603592,-13.650000000000546
2000,26,0.6328767123287671,8.884615384615385,2.722088042956999,-0.00034201781460055543,0.00036513165160459167,-0.5581794871794691,0.43127997882182423,-12.840000000000146
2001,31,0.7205479452054795,8.483870967741936,2.339988526880276,-0.0002452739721326241,9.366833245292101e-05,-0.522247707489649,0.3914210086238848,-3.7299999999995634
2002,27,0.6684931506849315,9.037037037037036,2.987399234085301,-0.0002934055830716282,0.0003014783492193809,-0.5439268077601368,0.32564702150052466,-13.229999999999563
2003,25,0.5972602739726027,8.72,2.2542404485768595,-0.0003383397477459369,0.0004562590604490743,-0.6287866666666969,0.6969536293238641,-18.729999999999563
2004,27,0.6219178082191781,8.407407407407407,2.571341475216264,-0.00028324613646815114,0.00025993462202864373,-0.622575770936828,0.5828818345215213,-11.359999999999673
2005,25,0.5835616438356165,8.52,1.7915356541246956,-0.00026146372967909983,0.00014286516623127996,-0.452767099567069,0.3114067788163303,-6.109999999999673
2006,21,0.5150684931506849,8.952380952380953,2.2141577023928893,-0.00026201602515703765,0.00028986047226956164,-0.37816817838246636,0.3173813065094961,-11.349999999999454
2007,29,0.7123287671232876,8.96551724137931,2.6455265901816047,-0.00021977776562881292,8.545431758636222e-05,-0.4909332363039081,0.4421273042696259,-3.019999999999527
2008,26,0.6410958904109589,9.0,2.6311740579210876,-0.00023654128684157753,0.00010040427576254909,-0.45835439560445107,0.34095568730091214,-3.600000000000364
2009,23,0.6164383561643836,9.782608695652174,2.501417367590004,-0.00020869425221956025,9.140584912530151e-05,-0.3385869565217324,0.25847718428841365,-3.449999999999818
2010,24,0.5534246575342465,8.416666666666666,1.9561157657175838,-0.00021850647932551148,9.532553292758581e-05,-0.48716600529102433,0.30668656418499457,-3.240000000000691
2011,20,0.46301369863013697,8.45,2.178875856950093,-0.0003075889842660116,0.00029732987639170697,-0.5304685606060627,0.43771714924699257,-11.489999999999782
2012,23,0.5698630136986301,9.043478260869565,4.328653379009962,-0.00026040325691451395,0.00033711899676062745,-0.41165983436846176,0.32077721455232155,-13.159999999999854
2013,21,0.5945205479452055,10.333333333333334,6.985245220724236,-0.000260403743474546,0.0002582985166563015,-0.3623730433730652,0.2911171086323422,-9.420000000000073
2014,19,0.4575342465753425,8.789473684210526,3.3962664852424584,-0.0002769955181224129,0.0003615678924076235,-0.5105526315789423,0.48114063822374925,-13.149999999999636
2015,22,0.5534246575342465,9.181818181818182,2.5160640914723724,-0.00026282294003581786,0.0003541996988242555,-0.4342668278691438,0.4304757454810312,-13.819999999999709
2016,19,0.4246575342465753,8.157894736842104,2.006913259467118,-0.00021996926879581406,0.00032569573710666095,-0.38644736842105415,0.45843415574532165,-11.819999999999709
2017,20,0.5013698630136987,9.15,3.198046278589477,-0.0001896839098279559,7.11797161440773e-05,-0.44957886904762584,0.43284425494565465,-2.5200000000004366
2018,23,0.5150684931506849,8.173913043478262,2.564848905000457,-0.00022990350921686702,0.00028086553951007116,-0.4734067599067077,0.39644783799172006,-11.159999999999854
2019,23,0.6054794520547945,9.608695652173912,4.517975021918199,-0.0001890279298506387,9.357078766475152e-05,-0.49296572533745253,0.43761206630475497,-3.0599999999994907
2020,21,0.5068493150684932,8.80952380952381,2.061415316372701,-0.00019460931860717183,8.816479693123669e-05,-0.3555270219198456,0.22043564189789808,-3.3900000000003274
2021,5,0.12602739726027398,9.2,1.469693845669907,-0.0001750374948312455,7.475019082512678e-05,-0.3494666666666742,0.30808552925004984,-1.9500000000007276
