Start Date, End Date, Duration, Start Elevation, Min Elevation, Percent Difference, Rate of Change, Drawdown
5/18/98,5/30/98,13,1212.19,1211.4,-0.0006517130152863524,-0.0718181818181785,-0.7899999999999636
4/4/99,5/16/99,43,1211.57,1207.48,-0.0033757851382915705,-0.10487179487179277,-4.089999999999918
3/30/00,5/5/00,37,1211.57,1208.48,-0.0025504097988559623,-0.08828571428571194,-3.089999999999918
6/13/00,9/7/00,87,1206.2,1196.28,-0.0082241750953408,-0.11670588235294203,-9.920000000000073
3/28/01,7/7/01,102,1195.15,1182.46,-0.010617914069363722,-0.1294897959183679,-12.690000000000055
7/12/01,8/6/01,26,1182.22,1180.49,-0.0014633486153169614,-0.07863636363636446,-1.7300000000000182
2/25/02,7/4/02,130,1177.03,1158.87,-0.015428663670424782,-0.14187500000000064,-18.160000000000082
7/9/02,7/20/02,12,1159.03,1158.49,-0.00046590683588859964,-0.05399999999999636,-0.5399999999999636
7/30/02,9/19/02,52,1157.79,1155.74,-0.0017706147056028767,-0.042708333333332384,-2.0499999999999545
3/27/03,6/4/03,70,1153.72,1144.61,-0.007896196650833935,-0.13202898550724823,-9.110000000000127
10/28/03,12/5/03,39,1141.63,1139.34,-0.002005903839247559,-0.06361111111111642,-2.290000000000191
3/30/04,6/6/04,69,1138.97,1129.12,-0.008648164569742958,-0.15153846153846365,-9.850000000000136
6/10/04,7/4/04,25,1129.03,1126.72,-0.0020460040920081356,-0.10499999999999753,-2.3099999999999454
4/12/05,6/24/05,74,1147.03,1140.72,-0.005501163875399898,-0.08887323943661896,-6.309999999999945
6/28/05,7/23/05,26,1140.8,1139.26,-0.0013499298737727592,-0.06695652173912885,-1.5399999999999636
4/3/06,6/7/06,66,1139.15,1130.69,-0.007426590001316803,-0.13428571428571487,-8.460000000000036
6/25/06,7/3/06,9,1129.0,1128.19,-0.0007174490699733795,-0.11571428571427791,-0.8099999999999454
7/17/06,8/1/06,16,1127.55,1126.42,-0.0010021728526450108,-0.08071428571427727,-1.1299999999998818
3/15/07,7/30/07,138,1127.96,1111.49,-0.014601581616369399,-0.12021897810218998,-16.470000000000027
3/3/08,3/7/08,5,1116.72,1116.05,-0.0005999713446522609,-0.2233333333333576,-0.6700000000000728
3/23/08,6/14/08,84,1116.51,1105.86,-0.009538651691431416,-0.12987804878048892,-10.650000000000091
3/16/09,6/19/09,96,1110.18,1095.41,-0.013304148876758707,-0.15547368421052613,-14.769999999999982
7/13/09,7/19/09,7,1094.9,1094.58,-0.00029226413371099066,-0.10666666666672124,-0.3200000000001637
3/5/10,3/13/10,9,1102.63,1101.97,-0.0005985688762323552,-0.13200000000001638,-0.6600000000000819
3/22/10,7/5/10,106,1101.6,1089.04,-0.011401597676107432,-0.121941747572815,-12.559999999999945
7/25/10,8/2/10,9,1087.72,1086.97,-0.0006895156841834296,-0.125,-0.75
9/7/10,10/8/10,32,1086.28,1083.6,-0.0024671355451633685,-0.09571428571428799,-2.6800000000000637
3/6/12,7/14/12,131,1132.75,1115.3,-0.015404987861399289,-0.13740157480314996,-17.450000000000045
9/5/12,9/16/12,12,1116.31,1115.56,-0.0006718563839793606,-0.08333333333333333,-0.75
3/18/13,6/7/13,82,1120.45,1108.05,-0.011066982016154305,-0.15897435897436013,-12.400000000000091
7/8/13,7/16/13,9,1105.53,1105.13,-0.0003618174088445032,-0.0999999999999659,-0.3999999999998636
10/3/13,10/21/13,19,1106.57,1104.33,-0.002024273204587156,-0.12444444444444495,-2.240000000000009
2/4/14,2/13/14,10,1108.69,1108.13,-0.0005051006142383763,-0.18666666666664847,-0.5599999999999454
3/3/14,7/12/14,132,1107.65,1081.77,-0.023364781293730066,-0.19907692307692393,-25.88000000000011
7/13/14,8/4/14,23,1081.9,1080.42,-0.0013679637674461763,-0.07789473684210622,-1.4800000000000182
11/5/14,11/12/14,8,1082.58,1082.17,-0.000378724897928887,-0.06833333333330908,-0.4099999999998545
11/18/14,12/2/14,15,1084.63,1083.57,-0.000977291795358945,-0.08833333333334774,-1.0600000000001728
3/4/15,5/18/15,76,1088.66,1076.91,-0.01079308507706722,-0.16319444444444445,-11.75
3/3/16,7/2/16,122,1083.91,1071.61,-0.011347805629618863,-0.10250000000000152,-12.300000000000182
11/25/16,12/4/16,10,1077.44,1076.45,-0.0009188446688446773,-0.12375000000000114,-0.9900000000000091
4/4/17,6/11/17,69,1088.02,1080.98,-0.0064704692928438485,-0.10666666666666612,-7.039999999999964
4/3/18,7/8/18,97,1087.92,1076.47,-0.010524670931686195,-0.12052631578947416,-11.450000000000045
5/22/19,6/15/19,25,1087.53,1085.39,-0.001967761808869523,-0.09727272727272149,-2.1399999999998727
7/29/19,8/3/19,6,1083.17,1082.79,-0.00035082212395109644,-0.09500000000002728,-0.38000000000010914
4/7/20,4/17/20,11,1097.81,1097.39,-0.0003825798635463745,-0.05249999999998067,-0.4199999999998454
4/28/20,8/8/20,103,1096.87,1084.19,-0.011560166656030192,-0.12554455445544394,-12.679999999999836
