Start Date, End Date, Duration, Start Elevation, Min Elevation, Percent Difference, Rate of Change, Drawdown
1/1/97,4/10/97,100,5953.13,5835.0,-0.019843342913727753,-1.2305208333333344,-118.13000000000011
5/31/97,8/14/97,76,5991.2,5912.85,-0.013077513686740462,-1.088194444444437,-78.34999999999945
10/29/97,11/6/97,9,5912.8,5843.7,-0.011686510621025633,-69.10000000000036,-69.10000000000036
11/29/97,12/7/97,9,5843.7,5834.0,-0.001659907250543289,-1.6166666666666363,-9.699999999999818
3/31/98,4/21/98,22,5901.2,5892.8,-0.0014234393004811964,-0.41999999999998183,-8.399999999999636
5/21/98,5/29/98,9,5914.34,5906.9,-0.001257959468004969,-0.9300000000000637,-7.440000000000509
6/21/98,8/13/98,54,5919.43,5835.0,-0.014263197638961908,-1.6236538461538517,-84.43000000000029
8/18/98,9/3/98,17,5853.7,5835.0,-0.003194560705194974,-1.4384615384615245,-18.699999999999818
7/3/99,10/7/99,97,5996.3,5971.9,-0.004069175991861739,-0.2623655913978553,-24.400000000000546
6/1/00,10/12/00,134,5992.1,5957.7,-0.0057408921746967745,-0.2625954198473324,-34.400000000000546
5/30/01,10/18/01,142,5984.9,5943.7,-0.00688399137830203,-0.29855072463767984,-41.19999999999982
6/6/02,9/30/02,117,5973.0,5941.8,-0.005223505775991934,-0.2761061946902639,-31.199999999999818
10/11/02,10/19/02,9,5941.6,5940.8,-0.00013464386697189005,-0.20000000000004547,-0.8000000000001819
6/2/03,10/21/03,142,5960.3,5921.1,-0.006576850158549035,-0.28405797101449143,-39.19999999999982
6/4/04,10/14/04,133,5959.7,5931.4,-0.004748561169186399,-0.21937984496124172,-28.300000000000182
7/5/05,10/6/05,94,6000.2,5982.5,-0.002949901669944305,-0.19666666666666466,-17.699999999999818
4/5/06,4/13/06,9,5988.4,5987.2,-0.00020038741567026555,-0.19999999999996967,-1.199999999999818
4/19/06,4/23/06,5,5989.2,5988.8,-6.678688305610703e-05,-0.13333333333321207,-0.3999999999996362
6/27/06,10/6/06,102,6004.8,5985.5,-0.0032140953903544134,-0.19693877551020594,-19.300000000000182
10/10/06,10/20/06,11,5985.4,5985.0,-6.682928459244766e-05,-0.049999999999954525,-0.3999999999996362
5/12/07,10/6/07,148,5998.4,5974.2,-0.004034409175780178,-0.1680555555555543,-24.199999999999818
7/2/08,10/14/08,105,6005.1,5984.2,-0.0034803750145710388,-0.20693069306931233,-20.900000000000546
7/12/09,10/4/09,85,6004.8,5987.4,-0.0028976818545164776,-0.21481481481482156,-17.400000000000546
7/2/10,10/10/10,101,6002.0,5981.2,-0.0034655114961679744,-0.21443298969072352,-20.800000000000182
3/18/11,4/16/11,30,5987.4,5977.7,-0.0016200688111700937,-0.3464285714285649,-9.699999999999818
5/29/11,6/6/11,9,6003.7,6002.2,-0.00024984592834418777,-0.25,-1.5
7/21/11,10/9/11,81,6005.3,5994.1,-0.0018650192330108102,-0.1454545454545431,-11.199999999999818
6/4/12,10/11/12,130,6005.16,5981.45,-0.003948271153474685,-0.18817460317460347,-23.710000000000036
5/23/13,9/13/13,114,5991.46,5962.78,-0.004786813230831933,-0.258378378378381,-28.68000000000029
7/4/14,9/28/14,87,5990.51,5975.03,-0.00258408716453198,-0.1842857142857199,-15.480000000000473
6/19/15,10/3/15,107,5985.89,5965.19,-0.0034581323746344698,-0.19903846153846855,-20.700000000000728
6/22/16,10/6/16,107,5998.76,5978.75,-0.003335689375804369,-0.19427184466019629,-20.01000000000022
2/28/17,3/17/17,18,5986.71,5979.98,-0.0011241566736989888,-0.42062500000002956,-6.730000000000473
6/26/17,10/13/17,110,6005.5,5990.35,-0.0025226875364248833,-0.14292452830188335,-15.149999999999636
6/19/18,10/3/18,107,6000.02,5977.88,-0.0036899877000410542,-0.21288461538461853,-22.140000000000327
7/15/19,9/29/19,77,6002.8,5987.68,-0.0025188245485439948,-0.20432432432432285,-15.11999999999989
7/5/20,10/26/20,114,6000.39,5979.9,-0.003414778039427552,-0.1813274336283247,-20.49000000000069
