Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2001,1,0.04657534246575343,17.0,0.0,-0.0005499780173457378,0.0,-0.23857142857143895,0.0,-3.3400000000001455
2002,1,0.4273972602739726,156.0,0.0,-0.005238053482412128,0.0,-0.20558441558441465,0.0,-31.659999999999854
2003,2,0.2958904109589041,54.0,17.0,-0.0017483192845427944,0.0012049551605757332,-0.17220634920635536,0.08165079365079375,-17.770000000000437
2004,1,0.11506849315068493,42.0,0.0,-0.0012393979213953356,0.0,-0.18675000000000636,0.0,-7.470000000000255
2005,1,0.0410958904109589,15.0,0.0,-0.0004279842435953729,0.0,-0.21666666666662118,0.0,-2.5999999999994543
2006,1,0.11506849315068493,42.0,0.0,-0.0015729375760966796,0.0,-0.2451282051282154,0.0,-9.5600000000004
2007,1,0.052054794520547946,19.0,0.0,-0.000745080495009728,0.0,-0.2516666666666525,0.0,-4.529999999999745
2008,2,0.20821917808219179,38.0,8.0,-0.001302067543202801,0.0003575672382594935,-0.22054292929292824,0.008320707070722189,-10.070000000000618
2009,2,0.684931506849315,125.0,110.0,-0.002005061236264407,0.001280526173707451,-0.2261230329041347,0.14054363376250162,-19.94000000000051
2010,1,0.07945205479452055,29.0,0.0,-0.0006421497196770392,0.0,-0.15000000000002098,0.0,-3.9000000000005457
2011,2,0.12602739726027398,23.0,14.0,-0.0005589332591684935,0.00037766188768571606,-0.17519607843140717,0.008137254901986815,-5.680000000000291
2012,1,0.6876712328767123,251.0,0.0,-0.006272364476838352,0.0,-0.15269076305221058,0.0,-38.02000000000044
2013,3,0.19452054794520549,23.666666666666668,21.545816814923082,-0.0007942118213279509,0.0009052968458839705,-0.1740413943355065,0.051323660909712715,-12.489999999999782
2014,1,0.16986301369863013,62.0,0.0,-0.0013849430055414087,0.0,-0.14186440677965917,0.0,-8.36999999999989
2015,1,0.20273972602739726,74.0,0.0,-0.0009343853820598126,0.0,-0.07985915492957849,0.0,-5.670000000000073
2016,1,0.14794520547945206,54.0,0.0,-0.0023998656865294662,0.0,-0.280384615384614,0.0,-14.579999999999927
2017,1,0.38082191780821917,139.0,0.0,-0.0038662253137400713,0.0,-0.17153284671532848,0.0,-23.5
2018,1,0.6986301369863014,255.0,0.0,-0.005686580166729148,0.0,-0.13596837944663887,0.0,-34.399999999999636
2019,1,0.5616438356164384,205.0,0.0,-0.002592516948538338,0.0,-0.0783084577114417,0.0,-15.739999999999782
