Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1998,4,0.3424657534246575,31.25,16.43738117827776,-0.0016237784042607846,0.0010709870262385836,-0.34914484126987216,0.16788358739266798,-15.950000000000728
1999,5,0.23013698630136986,16.8,10.777754868245983,-0.0003801456605633306,0.00031612643169989335,-0.14250432900433052,0.0849061263479195,-4.119999999999891
2000,3,0.3561643835616438,43.333333333333336,28.778850258865834,-0.0019186357570884858,0.0017274573450455602,-0.19522727272726534,0.04850618020321922,-21.100000000000364
2001,2,0.5424657534246575,99.0,41.0,-0.004140043294353674,0.001958357957824071,-0.2056437165775431,0.01237098930481384,-29.650000000000546
2002,2,0.33424657534246577,61.0,56.0,-0.0022604411188056404,0.002213033589253132,-0.15180434782620345,0.036804347825966977,-21.6899999999996
2003,4,0.2876712328767123,26.25,18.779976038323372,-0.0009334567591143207,0.0005546462552473334,-0.23256562881559928,0.1740764338546764,-8.150000000000546
2004,3,0.16712328767123288,20.333333333333332,8.178562764256865,-0.0006750333397509932,0.0005557354903487978,-0.22085757575756526,0.10927565072814018,-7.069999999999709
2005,4,0.33424657534246577,30.5,14.465476141489432,-0.0009521096639029487,0.0006923042430975877,-0.1623991013071778,0.03629895705758345,-9.949999999999818
2006,5,0.31232876712328766,22.8,17.474552927042225,-0.0006597096314178753,0.0005895399229412988,-0.16853759018758668,0.07040676309768551,-8.890000000000327
2007,4,0.3178082191780822,29.0,34.066112193791646,-0.0007527365332661203,0.0010380791302865707,-0.14360119047616882,0.02550709837950984,-12.409999999999854
2008,2,0.38904109589041097,71.0,29.0,-0.0021030798921828245,0.0008692887717897253,-0.15071875000000431,0.00021874999999341171,-14.489999999999782
2009,2,0.2273972602739726,41.5,0.5,-0.0013600539754275057,0.00018779083006686807,-0.1715371621621649,0.017212837837839626,-7.550000000000182
2010,2,0.38082191780821917,69.5,37.5,-0.0018226987342245871,0.001001076758192956,-0.13367799352750942,1.1326860835478292e-05,-13.769999999999527
2011,3,0.3726027397260274,45.333333333333336,22.15601247717849,-0.0016207523075124342,0.0011769552459124754,-0.19675141242943658,0.03669405626095709,-14.3100000000004
2012,1,0.40273972602739727,147.0,0.0,-0.004090461740342783,0.0,-0.1385416666666654,0.0,-19.949999999999818
2013,4,0.2328767123287671,21.25,10.353139620424328,-0.0008523888426290611,0.0007101499372572925,-0.20847085385878766,0.07801411446579545,-9.800000000000182
2014,4,0.2,18.25,11.431863365173676,-0.0004224720793938965,0.0003416051018401693,-0.14804656862743598,0.03242049051531084,-4.8400000000001455
2015,5,0.4383561643835616,32.0,33.05752561823102,-0.0012026418047724676,0.0009328812822759025,-0.29124946236561344,0.10440124984355657,-13.260000000000218
2016,4,0.4849315068493151,44.25,46.39706348466463,-0.001089723625692212,0.001046594898309322,-0.1488641456583015,0.025091667616419094,-13.659999999999854
2017,4,0.2547945205479452,23.25,14.254385290148432,-0.0007484353405513386,0.0006553490865418139,-0.21639989177490745,0.08925632066836908,-8.010000000000218
2018,3,0.3095890410958904,37.666666666666664,4.109609335312651,-0.0010993552074317478,0.0002701168505406604,-0.15573152337858245,0.03486389586627429,-6.9399999999996
2019,2,0.2219178082191781,40.5,31.5,-0.0013282334484171201,0.0011847928830154317,-0.15757142857141193,0.01757142857144832,-12.260000000000218
2020,4,0.3643835616438356,33.25,22.730761095924613,-0.0015042445410468125,0.0006101065084903355,-0.8861166603124265,0.8817391656223635,-10.179999999999382
