Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2000,15,0.3863013698630137,9.4,2.8,-0.0008963795526197646,0.0006547778550577622,-0.2710403078403034,0.18012735260014082,-4.1099999999999
2001,28,0.663013698630137,8.642857142857142,1.9678539019937016,-0.0010438108880879225,0.0006836826698624733,-0.4075868764172347,0.2706643538747627,-4.769999999999982
2002,24,0.6301369863013698,9.583333333333334,4.162497914580726,-0.0012316442496612936,0.0007850707541952692,-0.4076009887407988,0.31678797609825465,-5.399999999999864
2003,25,0.5698630136986301,8.32,2.5879721791394896,-0.0007154766686798154,0.0003466928048774184,-0.3175166378066493,0.3009384332033298,-2.269999999999982
2004,25,0.5726027397260274,8.36,2.2068982758613953,-0.0007754804263684586,0.0003214188180523525,-0.4356246031746009,0.29080647190926295,-2.7000000000000455
2005,28,0.6575342465753424,8.571428571428571,1.821078397711709,-0.0011151185566650268,0.0008445360757636269,-0.6541498015872975,0.6060927443521771,-7.619999999999891
2006,34,0.7232876712328767,7.764705882352941,2.3016467701781003,-0.0008864677432651224,0.00026763966421476063,-0.5456004901960754,0.36099924511729015,-2.2799999999999727
2007,28,0.6821917808219178,8.892857142857142,2.2254900859021993,-0.0012810747306834667,0.00042232769895408467,-0.6064455266955343,0.4204035822089016,-3.3300000000001546
2008,25,0.6383561643835617,9.32,2.962701469942593,-0.0012323160070362505,0.0004817445763381031,-0.5034055844155789,0.3167335630146653,-3.3900000000001
2009,28,0.6465753424657534,8.428571428571429,2.0076384746507423,-0.0013324798788080978,0.00048724580600767047,-0.6636414656771735,0.4690208870184595,-3.5799999999999272
2010,29,0.726027397260274,9.137931034482758,2.4596626896726907,-0.001311596542330013,0.000388149297867341,-0.5834695486505898,0.48014550349718865,-3.3099999999999454
2011,26,0.6465753424657534,9.076923076923077,4.488644449506203,-0.0011437668510661059,0.0006019745186431745,-0.44544230769231485,0.3259834854447574,-4.240000000000009
2012,27,0.6438356164383562,8.703703703703704,2.446688083690925,-0.0008503423665486679,0.00032972306140362044,-0.47396340388007385,0.38857615069101187,-3.199999999999818
2013,24,0.5972602739726027,9.083333333333334,2.413791392993373,-0.0011943102758493317,0.000439351122870902,-0.4786509289321801,0.40529726989605896,-3.619999999999891
2014,22,0.547945205479452,9.090909090909092,2.2137810294338034,-0.0009145610681934887,0.0003171730084744197,-0.3877420508784061,0.2928567686382909,-2.769999999999982
2015,22,0.4931506849315068,8.181818181818182,3.214121732666125,-0.0011455650445379958,0.0006503192374305093,-0.5327397504456147,0.3765521508326909,-4.639999999999873
2016,27,0.663013698630137,8.962962962962964,4.925229691816086,-0.0010239014093368028,0.00043612307885115495,-0.4181833627278052,0.27944167010136284,-3.1200000000001182
2017,27,0.6383561643835617,8.62962962962963,4.208880806176811,-0.0010794978042935348,0.0005535181721999465,-0.803573094258272,0.5863644761437293,-4.639999999999873
2018,27,0.6410958904109589,8.666666666666666,2.0,-0.0010705950970932685,0.0004891306494016801,-0.39264532895087867,0.2629491247164485,-2.990000000000009
2019,16,0.4383561643835616,10.0,3.0413812651491097,-0.0016921533404192918,0.0004464676266968997,-0.5104255952380993,0.263268503181106,-3.9200000000000728
2020,22,0.6575342465753424,10.909090909090908,6.848417806054256,-0.0016910158056152183,0.0007054979580554219,-0.6121922243098653,0.5737761467985029,-5.380000000000109
