Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,2,0.20273972602739726,37.0,19.0,-0.0013125392681516592,0.001197157797967614,-0.24971794871796707,0.18105128205125673,-22.399999999999636
1998,3,0.273972602739726,33.333333333333336,35.122009560324926,-0.0020305246694779793,0.002790006592993768,-0.29952768099116894,0.2518577913444656,-53.340000000000146
1999,4,0.33972602739726027,31.0,32.29551052391029,-0.000854980432465357,0.0011108774237914491,-0.4067744662863278,0.25146701887061684,-24.63000000000102
2000,5,0.273972602739726,20.0,19.83935482821959,-0.0010440276122719923,0.001630219265139205,-0.31558939393935137,0.20450364558127643,-38.19000000000051
2001,2,0.3287671232876712,60.0,51.0,-0.003139410166886812,0.003048665658610074,-0.32084862385316654,0.18584862385325146,-55.22999999999956
2002,3,0.3863013698630137,47.0,46.180804092898455,-0.0023481325478235124,0.003051574018061062,-0.2883030303030511,0.17988043677262255,-59.38999999999942
2003,1,0.18904109589041096,69.0,0.0,-0.004328029452559847,0.0,-0.5765671641791197,0.0,-38.63000000000102
2004,2,0.3041095890410959,55.5,49.5,-0.0027261491824625205,0.0026746177466061695,-0.29616336633675655,0.1811633663365201,-48.210000000000946
2005,2,0.2191780821917808,40.0,34.0,-0.0025332398724302206,0.002492707730441558,-0.40152777777792736,0.22152777777763633,-44.86000000000058
2006,3,0.2493150684931507,30.333333333333332,28.075295585660754,-0.0014662739232170962,0.0019785719036223715,-0.2504441429216086,0.22749046062950368,-38.05999999999949
2007,3,0.21643835616438356,26.333333333333332,26.662499674428297,-0.0011902579053554767,0.0016111914949697385,-0.2869999999999285,0.16977828679386764,-30.959999999999127
2008,4,0.336986301369863,30.75,24.200981385059574,-0.0018314115107819246,0.002267793326391877,-0.37507459677438004,0.2645218536318484,-50.13000000000102
2009,2,0.3232876712328767,59.0,47.0,-0.003169836051959696,0.0030678968547700977,-0.32349673202613716,0.22238562091504221,-55.68000000000029
2010,3,0.3643835616438356,44.333333333333336,32.78549814916481,-0.0024540122126856076,0.002237396169756507,-0.41745300387599177,0.1658475400753536,-48.68000000000029
2011,4,0.32054794520547947,29.25,37.399030736103306,-0.0012431414769090198,0.002042609585743302,-0.20511706349201458,0.15866046856791752,-42.67000000000007
2012,2,0.2684931506849315,49.0,39.0,-0.003581810208250203,0.003468057634738986,-0.4542843137255088,0.28595098039213906,-62.92000000000007
2013,3,0.3506849315068493,42.666666666666664,30.922843048824312,-0.0013342249984490834,0.0009822254332288382,-0.40437118845753134,0.21679919627849198,-24.290000000000873
2014,3,0.19726027397260273,24.0,18.40289832245635,-0.0010839387553783079,0.001393580293333729,-0.25627551020416395,0.21550255007919233,-27.26000000000022
2015,1,0.25205479452054796,92.0,0.0,-0.004790993470086567,0.0,-0.46989010989011226,0.0,-42.76000000000022
2016,3,0.23013698630136986,28.0,26.870057685088806,-0.002114180809498576,0.00283087629814865,-0.40688888888879865,0.33461988753784216,-54.600000000000364
2017,2,0.35342465753424657,64.5,57.5,-0.0028553560080042243,0.002757881821857569,-0.3157747933885313,0.0982747933883312,-50.100000000000364
2018,2,0.33972602739726027,62.0,53.0,-0.0042563156541082815,0.0042043497031030285,-0.41376488095253955,0.2604315476188909,-75.51000000000022
2019,4,0.35342465753424657,32.25,38.674119253061214,-0.002284811038839083,0.0030461822493448045,-0.5466165865384395,0.31870912808600976,-66.75
2020,2,0.3287671232876712,60.0,51.0,-0.00435297861728516,0.004294243191012755,-0.6140366972479261,0.09403669724748948,-77.18000000000029
