Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2000,19,0.5013698630136987,9.631578947368421,4.232835634291179,-0.00045792511592517016,0.0004283863112327306,-0.10087235133287553,0.06615344908001697,-3.1799999999998363
2001,21,0.5452054794520548,9.476190476190476,5.0106462620822505,-0.00036476003941996577,0.0003805708780460971,-0.0822050608122031,0.0539833474044215,-3.6700000000000728
2002,15,0.4684931506849315,11.4,5.828664798505172,-0.0005236620533049611,0.0004917474302461877,-0.09038618759912026,0.03823227611301603,-3.980000000000018
2003,18,0.4794520547945205,9.722222222222221,3.6788518069207345,-0.00033781546834896756,0.0002518165391139295,-0.06955862655862582,0.0288755303513861,-2.0
2004,17,0.4657534246575342,10.0,5.357787076110918,-0.0005049029873182612,0.000521945503888346,-0.09940578539107965,0.046276693244723895,-4.509999999999991
2005,22,0.6027397260273972,10.0,4.410730716621165,-0.0005778479705825363,0.0005198200407534225,-0.11722413576761409,0.07413490907719361,-3.5299999999999727
2006,12,0.4876712328767123,14.833333333333334,14.076181616080722,-0.002244315333166515,0.0053030319095758215,-0.15910588634529035,0.1517460679600504,-37.63000000000011
2007,12,0.3863013698630137,11.75,4.621056877670591,-0.0007775375273729864,0.0007156948437641103,-0.13152482702482324,0.06579069635798591,-5.620000000000118
2008,17,0.44931506849315067,9.647058823529411,2.989022591979412,-0.0006080296337701466,0.0005083678072540875,-0.12527489177489212,0.07761600501557739,-4.120000000000118
2009,23,0.6657534246575343,10.565217391304348,3.474454438957747,-0.000595523726678348,0.0004178384251420622,-0.11767152895413834,0.07110704555412425,-3.130000000000109
2010,25,0.6575342465753424,9.6,3.7841775856849003,-0.0006073432292669435,0.0005183355340767152,-0.12785974861739519,0.06721243154006012,-4.539999999999964
2011,20,0.5506849315068493,10.05,5.463286556643355,-0.0005986917072771253,0.0007854621110563688,-0.11807103174603326,0.10015189693425887,-6.990000000000009
2012,18,0.5095890410958904,10.333333333333334,3.464101615137755,-0.0003809082692382062,0.0003833512157584323,-0.07722207367795525,0.04863927018623331,-3.5800000000001546
2013,19,0.4684931506849315,9.0,2.127513992779762,-0.00032237692042148147,0.00019832372288942104,-0.08002961950330563,0.044208618190805855,-1.7000000000000455
2014,22,0.5287671232876713,8.772727272727273,2.274998864771309,-0.0003410370109760064,0.00014916198933278025,-0.09045429948839234,0.045998212758261554,-1.25
2015,16,0.4986301369863014,11.375,5.721396245672904,-0.00042260864171177296,0.0004163846129186811,-0.0764565190855599,0.051161746480280365,-2.9700000000000273
2016,13,0.3780821917808219,10.615384615384615,2.843033632704051,-0.0005925791308398072,0.00047288818582824784,-0.11055894758835742,0.07414845427450713,-3.2799999999999727
2017,18,0.5589041095890411,11.333333333333334,4.58257569495584,-0.00041596069580215536,0.0003731976285882755,-0.07989948461220371,0.059908877767466326,-2.730000000000018
2018,20,0.5534246575342465,10.1,3.6041642581880198,-0.00042801529749708747,0.0002736967002313863,-0.0914808080808114,0.04393613919212804,-2.3599999999999
2019,11,0.32054794520547947,10.636363636363637,2.4595907742670335,-0.0007351122777765131,0.0007282222456188926,-0.13509997704315976,0.1134743220203958,-4.369999999999891
2020,17,0.4602739726027397,9.882352941176471,3.233689441619942,-0.0006273826439700666,0.0005262115360893129,-0.12735701553348622,0.07228513603057658,-4.2000000000000455
