Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
1/1/00,1/6/00,6,1741.98,1741.77,-0.00012055247477011009,-0.042000000000007275,-0.21000000000003638
1/20/00,2/2/00,15,1742.67,1740.83,-0.001055851079091363,-0.13142857142858183,-1.8400000000001455
2/6/00,2/15/00,11,1741.37,1739.17,-0.001263373091301572,-0.21999999999998182,-2.199999999999818
4/6/00,4/12/00,7,1749.23,1748.72,-0.0002915568564454022,-0.08499999999999848,-0.5099999999999909
6/22/00,8/18/00,59,1747.72,1738.81,-0.005098070629162613,-0.15362068965517384,-8.910000000000082
11/3/00,12/1/00,30,1752.0,1741.94,-0.00574200913242006,-0.346896551724136,-10.059999999999945
2/3/01,2/14/01,13,1768.35,1766.34,-0.001136652811943332,-0.16749999999999923,-2.009999999999991
10/14/01,1/1/02,81,1790.78,1740.67,-0.02798222003819559,-0.6263749999999988,-50.1099999999999
2/18/02,2/26/02,10,1752.1,1751.71,-0.00022259003481529176,-0.043333333333319186,-0.38999999999987267
6/17/02,7/19/02,34,1755.18,1748.9,-0.0035779806059777187,-0.19030303030302947,-6.279999999999973
10/18/02,12/3/02,48,1751.21,1741.26,-0.005681785736719208,-0.21170212765957544,-9.950000000000045
4/28/03,5/23/03,27,1791.38,1787.96,-0.0019091426721299068,-0.13153846153846432,-3.4200000000000728
6/30/03,8/23/03,56,1791.24,1779.25,-0.006693687054777701,-0.21800000000000017,-11.990000000000009
10/7/03,11/14/03,40,1781.31,1771.57,-0.005467885994015645,-0.24974358974358998,-9.740000000000009
11/21/03,12/21/03,32,1771.92,1766.36,-0.0031378391800985215,-0.179354838709683,-5.560000000000173
1/18/04,2/25/04,40,1764.73,1760.11,-0.0026179642211557113,-0.11846153846154149,-4.620000000000118
4/27/04,5/7/04,12,1765.97,1763.72,-0.0012740873287768195,-0.20454545454545456,-2.25
12/3/04,12/29/04,28,1793.5,1788.97,-0.0025257875662113034,-0.16777777777777678,-4.529999999999973
1/1/05,1/9/05,10,1791.76,1785.23,-0.003644461311782813,-0.7255555555555525,-6.529999999999973
1/21/05,1/31/05,12,1794.96,1792.93,-0.00113094442215981,-0.18454545454545207,-2.0299999999999727
2/8/05,2/13/05,6,1794.12,1793.43,-0.00038458965955444856,-0.13799999999996543,-0.6899999999998272
2/14/05,2/22/05,10,1797.76,1795.13,-0.001462931648273341,-0.29222222222220906,-2.6299999999998818
5/10/05,5/21/05,13,1797.75,1796.09,-0.0009233764427757374,-0.13833333333334016,-1.6600000000000819
6/7/05,7/8/05,33,1797.2,1785.74,-0.0063765858001335616,-0.35812500000000114,-11.460000000000036
10/10/05,11/5/05,28,1792.05,1789.09,-0.001651739627800584,-0.10962962962963098,-2.9600000000000364
2/1/06,3/11/06,40,1787.7,1773.51,-0.007937573418358816,-0.36384615384615526,-14.190000000000055
9/29/06,1/20/07,115,1785.4,1748.75,-0.020527612859863386,-0.3214912280701762,-36.65000000000009
1/27/07,2/23/07,29,1749.15,1745.81,-0.0019094988994655378,-0.11928571428571948,-3.3400000000001455
7/9/07,7/23/07,16,1749.23,1748.25,-0.0005602465084637345,-0.06533333333333455,-0.9800000000000182
10/21/07,11/21/07,33,1758.65,1748.74,-0.005635004122480358,-0.30968750000000256,-9.910000000000082
2/1/08,2/9/08,10,1797.82,1797.25,-0.0003170506502319122,-0.06333333333332626,-0.5699999999999363
2/23/08,3/3/08,11,1797.51,1797.22,-0.0001613342902125516,-0.028999999999996362,-0.2899999999999636
4/24/08,5/21/08,29,1797.59,1790.27,-0.0040721187812570924,-0.2614285714285692,-7.319999999999936
6/18/08,7/5/08,19,1794.1,1788.59,-0.0030711777492893324,-0.3061111111111106,-5.509999999999991
9/26/08,11/28/08,65,1797.23,1754.98,-0.02350839903629474,-0.66015625,-42.25
