Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
1/20/00,2/1/00,13,1743.0,1740.0,-0.0017211703958691911,-0.25,-3.0
2/7/00,2/16/00,10,1741.0,1739.0,-0.0011487650775416428,-0.2222222222222222,-2.0
3/19/00,3/25/00,7,1746.0,1745.0,-0.000572737686139748,-0.16666666666666666,-1.0
5/13/00,5/22/00,10,1752.0,1751.0,-0.0005707762557077625,-0.1111111111111111,-1.0
6/4/00,6/15/00,12,1751.0,1749.0,-0.001142204454597373,-0.18181818181818182,-2.0
6/17/00,6/28/00,12,1749.0,1747.0,-0.0011435105774728416,-0.18181818181818182,-2.0
6/29/00,7/11/00,13,1747.0,1745.0,-0.0011448196908986834,-0.16666666666666666,-2.0
7/17/00,7/28/00,12,1744.0,1742.0,-0.0011467889908256881,-0.18181818181818182,-2.0
7/29/00,8/9/00,12,1742.0,1740.0,-0.001148105625717566,-0.18181818181818182,-2.0
11/5/00,12/1/00,27,1752.0,1742.0,-0.005707762557077625,-0.38461538461538464,-10.0
2/6/01,2/15/01,10,1768.0,1766.0,-0.0011312217194570137,-0.2222222222222222,-2.0
5/30/01,6/8/01,10,1792.0,1791.0,-0.0005580357142857143,-0.1111111111111111,-1.0
6/22/01,7/1/01,10,1791.0,1790.0,-0.0005583472920156337,-0.1111111111111111,-1.0
7/20/01,7/29/01,10,1790.0,1789.0,-0.0005586592178770949,-0.1111111111111111,-1.0
9/18/01,9/27/01,10,1792.0,1791.0,-0.0005580357142857143,-0.1111111111111111,-1.0
10/14/01,1/1/02,80,1791.0,1740.0,-0.02847571189279732,-0.6455696202531646,-51.0
2/18/02,2/25/02,8,1752.0,1751.0,-0.0005707762557077625,-0.14285714285714285,-1.0
5/26/02,6/4/02,10,1757.0,1756.0,-0.0005691519635742744,-0.1111111111111111,-1.0
6/10/02,6/19/02,10,1756.0,1755.0,-0.0005694760820045558,-0.1111111111111111,-1.0
6/20/02,6/29/02,10,1754.0,1751.0,-0.0017103762827822121,-0.3333333333333333,-3.0
7/9/02,7/18/02,10,1750.0,1749.0,-0.0005714285714285715,-0.1111111111111111,-1.0
7/28/02,8/6/02,10,1749.0,1748.0,-0.0005717552887364208,-0.1111111111111111,-1.0
8/13/02,8/22/02,10,1748.0,1747.0,-0.0005720823798627002,-0.1111111111111111,-1.0
8/25/02,9/3/02,10,1747.0,1746.0,-0.0005724098454493417,-0.1111111111111111,-1.0
9/6/02,9/10/02,5,1746.0,1745.0,-0.000572737686139748,-0.25,-1.0
10/21/02,11/2/02,13,1751.0,1747.0,-0.002284408909194746,-0.3333333333333333,-4.0
11/7/02,11/20/02,14,1746.0,1743.0,-0.001718213058419244,-0.23076923076923078,-3.0
11/22/02,12/1/02,10,1743.0,1741.0,-0.0011474469305794606,-0.2222222222222222,-2.0
12/10/02,12/19/02,10,1742.0,1741.0,-0.000574052812858783,-0.1111111111111111,-1.0
1/4/03,1/12/03,9,1742.0,1741.0,-0.000574052812858783,-0.125,-1.0
4/6/03,4/15/03,10,1794.0,1793.0,-0.0005574136008918618,-0.1111111111111111,-1.0
4/17/03,4/26/03,10,1793.0,1792.0,-0.0005577244841048522,-0.1111111111111111,-1.0
4/27/03,5/7/03,11,1792.0,1790.0,-0.0011160714285714285,-0.2,-2.0
5/9/03,5/20/03,12,1790.0,1788.0,-0.0011173184357541898,-0.18181818181818182,-2.0
7/3/03,7/27/03,25,1791.0,1784.0,-0.003908431044109436,-0.2916666666666667,-7.0
7/28/03,8/8/03,12,1784.0,1782.0,-0.0011210762331838565,-0.18181818181818182,-2.0
8/9/03,8/22/03,14,1782.0,1779.0,-0.0016835016835016834,-0.23076923076923078,-3.0
10/5/03,10/14/03,10,1782.0,1780.0,-0.001122334455667789,-0.2222222222222222,-2.0
10/17/03,11/9/03,24,1779.0,1772.0,-0.0039347948285553686,-0.30434782608695654,-7.0
11/22/03,12/14/03,23,1772.0,1767.0,-0.0028216704288939053,-0.22727272727272727,-5.0
12/15/03,12/24/03,10,1767.0,1766.0,-0.0005659309564233164,-0.1111111111111111,-1.0
1/6/04,1/15/04,10,1766.0,1765.0,-0.0005662514156285391,-0.1111111111111111,-1.0
1/19/04,1/28/04,10,1765.0,1764.0,-0.0005665722379603399,-0.1111111111111111,-1.0
2/1/04,2/14/04,14,1764.0,1762.0,-0.0011337868480725624,-0.15384615384615385,-2.0
2/19/04,2/28/04,10,1761.0,1760.0,-0.0005678591709256105,-0.1111111111111111,-1.0
4/28/04,5/7/04,10,1766.0,1764.0,-0.0011325028312570782,-0.2222222222222222,-2.0
9/7/04,9/16/04,10,1777.0,1776.0,-0.0005627462014631402,-0.1111111111111111,-1.0
12/3/04,12/18/04,16,1794.0,1791.0,-0.0016722408026755853,-0.2,-3.0
12/21/04,12/29/04,9,1790.0,1787.0,-0.0016759776536312849,-0.375,-3.0
1/21/05,1/29/05,9,1795.0,1792.0,-0.001671309192200557,-0.375,-3.0
2/14/05,2/18/05,5,1798.0,1786.0,-0.006674082313681869,-3.0,-12.0
5/11/05,5/20/05,10,1798.0,1796.0,-0.0011123470522803114,-0.2222222222222222,-2.0
6/8/05,7/7/05,30,1797.0,1784.0,-0.007234279354479688,-0.4482758620689655,-13.0
8/29/05,9/7/05,10,1797.0,1796.0,-0.0005564830272676684,-0.1111111111111111,-1.0
9/14/05,9/26/05,13,1796.0,1794.0,-0.0011135857461024498,-0.16666666666666666,-2.0
