Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
11/19/00,12/1/00,14,1748.0,1741.94,-0.003466819221967932,-0.466153846153842,-6.059999999999945
10/22/01,1/1/02,73,1786.55,1740.67,-0.0256807813943074,-0.6372222222222206,-45.87999999999988
2/18/02,2/22/02,5,1752.1,1751.05,-0.0005992808629644167,-0.26249999999998863,-1.0499999999999545
1/2/05,1/12/05,12,1790.93,1789.84,-0.0006086223358814389,-0.09909090909092232,-1.0900000000001455
2/14/05,2/22/05,10,1797.76,1795.13,-0.001462931648273341,-0.29222222222220906,-2.6299999999998818
10/2/08,11/28/08,59,1793.08,1754.98,-0.021248354786177922,-0.6568965517241364,-38.09999999999991
10/19/09,11/14/09,28,1776.24,1749.0,-0.0153357654371031,-1.0088888888888892,-27.24000000000001
11/4/10,12/17/10,45,1785.4,1768.62,-0.009398454127926626,-0.3813636363636409,-16.7800000000002
4/19/11,5/3/11,16,1763.91,1753.64,-0.005822292520593444,-0.6846666666666654,-10.269999999999982
12/24/13,4/28/14,127,1779.62,1743.45,-0.020324563670895947,-0.28706349206349085,-36.169999999999845
3/1/17,3/6/17,6,1797.78,1796.65,-0.000628552993135913,-0.22599999999997636,-1.1299999999998818
