Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2000,6,0.3506849315068493,21.333333333333332,18.624953392931992,-0.0022619022105318533,0.0022757509648988895,-0.16315763546797987,0.09905934181671473,-10.059999999999945
2001,2,0.25753424657534246,47.0,34.0,-0.01455943642506946,0.01342278361312613,-0.396937499999999,0.22943749999999977,-50.1099999999999
2002,3,0.25205479452054796,30.666666666666668,15.69146972791976,-0.0031607854591707393,0.0022481463877026962,-0.14844616376530803,0.07483764953990633,-9.950000000000045
2003,4,0.4246575342465753,38.75,10.985786271359915,-0.004302138725255444,0.001881521568318417,-0.19465922249793438,0.04415182339523433,-11.990000000000009
2004,3,0.2191780821917808,26.666666666666668,11.469767022723502,-0.002139279705381278,0.0006129396491934251,-0.16359492359492425,0.035267854616934116,-4.620000000000118
2005,7,0.30684931506849317,16.0,9.486832980505138,-0.002224946987497185,0.0019434212245502743,-0.2780587421837359,0.2011102575513617,-11.460000000000036
2006,2,0.4246575342465753,77.5,37.5,-0.014232593139111101,0.006295019720752285,-0.34266869095816577,0.021177462887989523,-36.65000000000009
2007,3,0.2136986301369863,26.0,7.2571803523590805,-0.00270158317680321,0.002146134406642026,-0.16476884920635218,0.10481340996741718,-9.910000000000082
2008,6,0.3835616438356164,23.333333333333332,20.07209228976613,-0.005209242058128341,0.008326505473803411,-0.22733821097883464,0.22156538643768772,-42.25
2009,4,0.4191780821917808,38.25,11.321991874224253,-0.007771161979318389,0.009584988080156004,-0.30562600535775575,0.29607511339166565,-43.549999999999955
2010,8,0.5863013698630137,26.75,35.205645854038806,-0.0026777823938792843,0.005168629805423969,-0.10419370039682593,0.06562520054152318,-28.90000000000009
2011,4,0.4547945205479452,41.5,28.02231253840411,-0.006725641360485986,0.00804395757369868,-0.21311389759666025,0.12880644952701784,-36.77999999999997
2012,4,0.3178082191780822,29.0,19.63415391607186,-0.0023472047337366065,0.0025468181781344917,-0.10684953703703501,0.10232712771038598,-11.169999999999845
2013,6,0.6465753424657534,39.333333333333336,40.945763584961455,-0.005326000885613451,0.007101525181098278,-0.17609728234728142,0.09204274244269717,-36.169999999999845
2014,2,0.19452054794520549,35.5,25.5,-0.004463789527868404,0.004305587605714937,-0.14613888888890061,0.11502777777776726,-15.670000000000073
2015,3,0.8027397260273973,97.66666666666667,82.79425637620577,-0.0116312406886883,0.009798932156744832,-0.22628015997217688,0.042042504404196504,-45.72000000000003
2016,4,0.32054794520547947,29.25,19.66437133498043,-0.004828095578967066,0.003544223975508147,-0.29243256279359614,0.015166403820684557,-19.09999999999991
2017,5,0.4246575342465753,31.0,27.546324618721822,-0.0034117075850701277,0.0041598051591939834,-0.15072492063492532,0.07712983575450506,-20.660000000000082
2018,4,0.2547945205479452,23.25,15.20485119953497,-0.0026463983514898714,0.0018512126127130074,-0.21717013888889103,0.055311342035549244,-10.309999999999945
2019,5,0.4986301369863014,36.4,46.34911002381814,-0.004600288192094236,0.0074278725387463135,-0.1517314213564189,0.09198820655112705,-34.799999999999955
2020,2,0.04657534246575343,8.5,1.5,-0.00030732480599433745,6.248317401366484e-05,-0.07944444444444167,0.030555555555571975,-0.6600000000000819
