Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2000,1,0.038356164383561646,14.0,0.0,-0.003466819221967932,0.0,-0.466153846153842,0.0,-6.059999999999945
2001,1,0.2,73.0,0.0,-0.0256807813943074,0.0,-0.6372222222222206,0.0,-45.87999999999988
2002,1,0.0136986301369863,5.0,0.0,-0.0005992808629644167,0.0,-0.26249999999998863,0.0,-1.0499999999999545
2005,2,0.06027397260273973,11.0,1.0,-0.00103577699207739,0.00042715465619595105,-0.1956565656565657,0.09656565656564337,-2.6299999999998818
2008,1,0.16164383561643836,59.0,0.0,-0.021248354786177922,0.0,-0.6568965517241364,0.0,-38.09999999999991
2009,1,0.07671232876712329,28.0,0.0,-0.0153357654371031,0.0,-1.0088888888888892,0.0,-27.24000000000001
2010,1,0.1232876712328767,45.0,0.0,-0.009398454127926626,0.0,-0.3813636363636409,0.0,-16.7800000000002
2011,1,0.043835616438356165,16.0,0.0,-0.005822292520593444,0.0,-0.6846666666666654,0.0,-10.269999999999982
2013,1,0.34794520547945207,127.0,0.0,-0.020324563670895947,0.0,-0.28706349206349085,0.0,-36.169999999999845
2017,1,0.01643835616438356,6.0,0.0,-0.000628552993135913,0.0,-0.22599999999997636,0.0,-1.1299999999998818
