Start Date, End Date, Duration, Start Elevation, Min Elevation, Percent Difference, Rate of Change, Drawdown
1/1/98,3/25/98,85,7489.34,7471.91,-0.002327307880267192,-0.21256097560975964,-17.43000000000029
8/28/98,11/10/98,76,7502.28,7492.12,-0.0013542549731548083,-0.14309859154929372,-10.159999999999854
12/5/98,2/6/99,65,7491.11,7487.87,-0.00043251267168681036,-0.05225806451612551,-3.2399999999997817
4/7/99,4/22/99,17,7485.92,7484.12,-0.00024045140744226252,-0.15000000000001515,-1.800000000000182
7/31/99,1/26/00,181,7519.21,7488.41,-0.004096174997107433,-0.17401129943502927,-30.800000000000182
4/1/00,4/14/00,15,7486.21,7485.05,-0.00015495157095511006,-0.09666666666665454,-1.1599999999998545
5/20/00,5/24/00,5,7498.6,7497.93,-8.935001200225012e-05,-0.2233333333333576,-0.6700000000000728
7/23/00,9/27/00,68,7505.0,7487.78,-0.0022944703530979687,-0.26090909090909475,-17.220000000000255
9/28/00,11/10/00,45,7488.44,7481.42,-0.0009374449150957379,-0.16714285714284588,-7.019999999999527
3/10/01,4/21/01,44,7477.37,7473.21,-0.0005563453460240505,-0.1014634146341428,-4.1599999999998545
4/23/01,4/28/01,6,7473.48,7472.64,-0.00011239743733832647,-0.209999999999809,-0.839999999999236
8/26/01,11/10/01,78,7498.88,7486.37,-0.001668249125202726,-0.16680000000000292,-12.510000000000218
3/26/02,4/3/02,10,7481.53,7480.9,-8.420737469476286e-05,-0.31500000000005457,-0.6300000000001091
4/22/02,5/21/02,31,7480.7,7477.03,-0.0004905957998583118,-0.14115384615384896,-3.6700000000000728
6/11/02,10/23/02,136,7477.18,7440.64,-0.0048868691137567855,-0.2747368421052629,-36.539999999999964
2/22/03,3/3/03,11,7447.16,7446.3,-0.00011548026361722759,-0.14333333333327877,-0.8599999999996726
4/6/03,4/14/03,10,7449.06,7447.63,-0.0001919705305099289,-0.23833333333338183,-1.430000000000291
4/22/03,4/30/03,9,7447.68,7446.96,-9.667440061875035e-05,-0.18000000000006366,-0.7200000000002547
5/10/03,5/16/03,7,7447.85,7447.24,-8.190283101842572e-05,-0.15250000000014552,-0.6100000000005821
6/29/03,9/9/03,74,7481.02,7463.84,-0.0022964782877201626,-0.23861111111111516,-17.18000000000029
9/25/03,10/20/03,27,7463.16,7459.58,-0.000479689568493765,-0.15565217391304031,-3.5799999999999272
10/25/03,11/2/03,10,7459.8,7458.78,-0.00013673288828124568,-0.17000000000007276,-1.0200000000004366
7/7/04,10/17/04,104,7496.7,7476.2,-0.002734536529406272,-0.20098039215686275,-20.5
12/2/04,12/10/04,10,7478.26,7477.61,-8.691861475805143e-05,-0.21666666666684856,-0.6500000000005457
1/12/05,3/13/05,62,7478.23,7471.89,-0.0008477941972898983,-0.10931034482757304,-6.339999999999236
3/15/05,4/20/05,38,7471.77,7461.22,-0.0014119813645227545,-0.2930555555555606,-10.550000000000182
4/24/05,5/18/05,26,7461.8,7457.5,-0.0005762684606931547,-0.19545454545455374,-4.300000000000182
7/13/05,7/22/05,11,7498.98,7498.29,-9.201251370181009e-05,-0.6899999999995998,-0.6899999999995998
8/27/05,10/21/05,57,7496.89,7489.41,-0.0009977470657833412,-0.1360000000000086,-7.480000000000473
7/3/06,10/9/06,100,7516.78,7499.86,-0.0022509638435606835,-0.17625000000000077,-16.920000000000073
11/28/06,3/13/07,107,7498.54,7477.59,-0.002793877208096485,-0.20144230769230595,-20.949999999999818
8/24/07,10/1/07,40,7511.78,7502.9,-0.001182143247006716,-0.2466666666666697,-8.88000000000011
10/6/07,3/19/08,167,7503.77,7469.43,-0.004576366279883331,-0.2093902439024399,-34.340000000000146
3/29/08,4/22/08,26,7471.16,7465.87,-0.000708056044844437,-0.22999999999999843,-5.289999999999964
5/3/08,5/7/08,5,7466.12,7465.68,-5.893288615768295e-05,-0.2199999999997999,-0.4399999999995998
5/24/08,6/1/08,9,7476.04,7474.92,-0.00014981193252041065,-0.22399999999997816,-1.1199999999998909
8/21/08,11/8/08,81,7509.78,7491.95,-0.0023742373278577973,-0.22569620253164466,-17.829999999999927
2/25/09,3/21/09,26,7486.44,7485.39,-0.00014025357846977635,-0.04772727272723965,-1.0499999999992724
7/6/09,9/10/09,68,7518.76,7504.05,-0.0019564396256829633,-0.23349206349206406,-14.710000000000036
9/16/09,11/1/09,48,7503.76,7492.81,-0.0014592684200986996,-0.24886363636363223,-10.949999999999818
5/12/10,5/23/10,13,7490.89,7486.69,-0.0005606810405707103,-0.4666666666667475,-4.200000000000728
7/18/10,9/22/10,68,7506.28,7495.45,-0.0014427919022471753,-0.17190476190476076,-10.829999999999927
9/24/10,11/3/10,42,7495.89,7486.16,-0.001298044661808067,-0.2560526315789598,-9.730000000000473
2/20/11,4/19/11,60,7484.79,7475.98,-0.0011770537316344747,-0.15456140350877895,-8.8100000000004
4/30/11,5/8/11,10,7475.97,7474.43,-0.00020599333598181422,-0.2199999999999948,-1.5399999999999636
7/22/11,11/3/11,106,7518.94,7497.82,-0.0028089065745969368,-0.20705882352941068,-21.11999999999989
12/1/11,3/14/12,106,7496.67,7483.31,-0.001782124596654204,-0.13098039215685953,-13.359999999999673
6/10/12,10/18/12,132,7482.27,7452.2,-0.004018833856570348,-0.23492187500000483,-30.07000000000062
5/8/13,5/13/13,6,7454.99,7454.25,-9.92623732560046e-05,-0.18499999999994543,-0.7399999999997817
6/23/13,9/14/13,85,7472.02,7454.49,-0.002346085797414977,-0.21641975308642783,-17.530000000000655
3/10/14,3/18/14,10,7464.66,7463.18,-0.000198267570123698,-0.2466666666665939,-1.4799999999995634
6/8/14,6/29/14,23,7504.95,7499.67,-0.0007035356664601024,-0.2933333333333192,-5.279999999999745
7/23/14,7/31/14,10,7500.92,7500.13,-0.00010532041402920757,-0.15799999999999273,-0.7899999999999636
8/16/14,10/17/14,64,7498.74,7490.88,-0.0010481760935836784,-0.13099999999999454,-7.859999999999673
1/15/15,2/7/15,25,7487.43,7485.32,-0.00028180563958535597,-0.1055000000000291,-2.110000000000582
4/22/15,5/2/15,11,7492.36,7492.04,-4.271017409730832e-05,-0.03999999999996362,-0.31999999999970896
6/22/15,7/2/15,12,7519.15,7517.76,-0.00018486132076091287,-0.17374999999992724,-1.389999999999418
7/16/15,7/26/15,12,7518.35,7517.05,-0.00017291027951614143,-0.1857142857143117,-1.300000000000182
8/24/15,11/2/15,72,7514.21,7501.39,-0.0017061008409399935,-0.19134328358208522,-12.819999999999709
12/10/15,3/9/16,92,7499.08,7486.82,-0.0016348672103778355,-0.1377528089887665,-12.260000000000218
5/13/16,5/26/16,15,7490.02,7487.44,-0.0003444583592568293,-0.21500000000006972,-2.5800000000008367
7/16/16,11/4/16,113,7515.0,7493.14,-0.0029088489687291645,-0.19693693693693398,-21.859999999999673
3/2/17,3/19/17,19,7488.45,7485.71,-0.00036589681442752265,-0.18266666666665213,-2.7399999999997817
5/19/17,6/4/17,18,7507.55,7491.59,-0.002125859967632588,-1.1400000000000026,-15.960000000000036
8/26/17,3/13/18,201,7517.41,7484.51,-0.004376507334307911,-0.16700507614213014,-32.899999999999636
3/21/18,5/8/18,50,7485.41,7478.21,-0.000961871160029954,-0.15319148936169827,-7.199999999999818
6/11/18,11/3/18,147,7480.02,7437.48,-0.005687150569116242,-0.2974825174825236,-42.54000000000087
11/19/18,11/30/18,13,7438.4,7437.97,-5.7808130780729934e-05,-0.04299999999993816,-0.42999999999938154
2/15/19,2/27/19,14,7438.05,7437.54,-6.856635811808448e-05,-0.051000000000021826,-0.5100000000002183
3/7/19,3/11/19,5,7437.59,7437.18,-5.5125383356686034e-05,-0.13666666666661817,-0.4099999999998545
5/25/19,6/6/19,14,7474.49,7469.73,-0.0006368327471172238,-0.43272727272729256,-4.760000000000218
7/31/19,8/28/19,30,7518.61,7514.57,-0.0005373333634807449,-0.16159999999999855,-4.039999999999964
9/8/19,3/8/20,184,7513.32,7484.1,-0.0038890929708836237,-0.16143646408839418,-29.219999999999345
4/13/20,4/29/20,18,7482.67,7480.25,-0.0003234139685433238,-0.16133333333333819,-2.4200000000000728
5/18/20,5/24/20,7,7483.57,7482.81,-0.0001015558082571966,-0.1899999999998272,-0.7599999999993088
6/27/20,11/3/20,131,7492.18,7463.46,-0.0038333302189750185,-0.224375000000002,-28.720000000000255
