Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1998,14,0.4767123287671233,12.428571428571429,2.8713930346059686,-0.00027658521132741,0.0001283022871501934,-0.17550913139148433,0.05158677628493992,-0.47000000000025466
1999,14,0.4958904109589041,12.928571428571429,7.1560592279179325,-0.0003045774118852279,0.0003640098022136272,-0.1640973140973141,0.05544710372492011,-0.6199999999998909
2000,17,0.5397260273972603,11.588235294117647,6.686763250494674,-0.00025899653056216473,0.00027984988467607587,-0.16828498299086536,0.05871087159878299,-1.019999999999527
2001,16,0.4794520547945205,10.9375,2.4101024355823553,-0.00020029738788248419,9.427551493747749e-05,-0.14645509719039132,0.04202827574079483,-0.42000000000007276
2002,11,0.5589041095890411,18.545454545454547,15.663296044422024,-0.0005598771415478433,0.0007455947585276451,-0.18095439913621733,0.08096258929681001,-0.5199999999995271
2003,10,0.34794520547945207,12.7,4.838388161361178,-0.00033473369513868433,0.00023328216048283985,-0.19727272727272727,0.05785416914325538,-0.4399999999995998
2004,7,0.2684931506849315,14.0,5.855400437691199,-0.0003815580574917133,0.00023051589201042674,-0.2115149089939006,0.05607060065340963,-0.4600000000000364
2005,13,0.44931506849315067,12.615384615384615,6.019691552773494,-0.0002983130906957431,0.000311365539196565,-0.1677417667802283,0.06165549624108255,-0.6899999999995998
2006,17,0.4602739726027397,9.882352941176471,1.9668533526235867,-0.00021945245232541508,9.069363735501815e-05,-0.19194661547602726,0.08402797589755992,-0.36999999999989086
2007,17,0.5780821917808219,12.411764705882353,7.088174273596267,-0.00029024359066935867,0.00027182931744223267,-0.1785479226655697,0.053875667031134805,-0.3400000000001455
2008,11,0.5506849315068493,18.272727272727273,16.028899520388503,-0.0005459624714485762,0.0006321906835393494,-0.204441063159394,0.06640593381010151,-0.4600000000000364
2009,14,0.5095890410958904,13.285714285714286,8.387308196048968,-0.00032364276022024376,0.00036523067186532837,-0.16765158015158016,0.06221985759592366,-0.47999999999956344
2010,15,0.4712328767123288,11.466666666666667,3.263263533472111,-0.0002934995908723345,0.0002445050084227265,-0.19385577385577385,0.10073961539910539,-0.7999999999992724
2011,15,0.589041095890411,14.333333333333334,7.73448267321236,-0.00037348156501203325,0.00026299090467774846,-0.19983471693998014,0.04708785929824159,-0.5399999999999636
2012,14,0.5616438356164384,14.642857142857142,10.068388598956233,-0.0003440569624700532,0.0003876567728173547,-0.1589102728475551,0.05765453678623633,-0.32999999999992724
2013,7,0.2465753424657534,12.857142857142858,6.334228364970104,-0.0003445007719707569,0.000224560768505693,-0.22146448322918916,0.08498068565529261,-0.3600000000005821
2014,10,0.3287671232876712,12.0,2.8284271247461903,-0.0002535135992482115,0.00015129897546855257,-0.1641219891219891,0.05653758271401376,-0.5200000000004366
2015,16,0.5068493150684932,11.5625,2.423033996872516,-0.00022484604478162956,0.0001125761421365306,-0.15262412730243613,0.04364093290557785,-0.3000000000001819
2016,16,0.5123287671232877,11.6875,2.8878787630369804,-0.00026665040321968806,0.00012467599915872996,-0.18388347763347768,0.056640120878768116,-0.43000000000029104
2017,9,0.4821917808219178,19.555555555555557,16.221461169362513,-0.0007252066108879781,0.000791655612253297,-0.26550053379321675,0.26690093527171516,-2.2700000000004366
2018,11,0.6054794520547945,20.09090909090909,23.348951876240786,-0.0006689668296375291,0.0011699433838709627,-0.190442217714945,0.07279799847529048,-0.5400000000008731
2019,12,0.44931506849315067,13.666666666666666,7.168604389202189,-0.0003445981393117011,0.0002523779788333442,-0.19613442113442112,0.0672467585539662,-0.8599999999996726
2020,15,0.5616438356164384,13.666666666666666,8.919392106839767,-0.00032967212148448305,0.0003744993499241351,-0.1643714455479161,0.05221495473653733,-0.38000000000010914
