Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
9/30/00,10/8/00,10,1910.1,1908.28,-0.0009528296947803447,-0.20222222222221514,-1.8199999999999363
10/5/02,10/21/02,18,1907.14,1904.65,-0.0013056199335130137,-0.14647058823529466,-2.490000000000009
4/12/05,4/16/05,5,1910.46,1908.93,-0.0008008542445274817,-0.3824999999999932,-1.5299999999999727
4/19/05,4/27/05,10,1910.05,1908.57,-0.0007748488259469743,-0.16444444444444647,-1.4800000000000182
10/9/05,10/21/05,14,1909.58,1906.75,-0.0014820012777678482,-0.2176923076923021,-2.8299999999999272
9/12/06,11/8/06,59,1904.19,1867.35,-0.019346808879366104,-0.635172413793106,-36.840000000000146
9/19/08,9/28/08,11,1907.8,1904.05,-0.0019656148443233045,-0.375,-3.75
1/19/09,1/26/09,8,1910.15,1908.51,-0.0008585713163888176,-0.23428571428572859,-1.6400000000001
5/29/09,6/13/09,17,1911.66,1908.79,-0.0015013129949887104,-0.1793750000000074,-2.8700000000001182
6/15/09,6/23/09,10,1908.94,1907.28,-0.0008695925487443722,-0.18444444444445354,-1.6600000000000819
10/5/09,10/20/09,17,1908.13,1905.09,-0.001593182854417776,-0.19000000000001194,-3.040000000000191
11/12/09,11/20/09,10,1906.64,1903.51,-0.0016416313514874905,-0.3477777777777899,-3.130000000000109
12/21/09,12/25/09,5,1903.88,1902.61,-0.0006670588482468481,-0.3175000000000523,-1.2700000000002092
2/15/10,2/19/10,5,1904.43,1902.93,-0.0007876372457900789,-0.375,-1.5
3/12/10,3/20/10,10,1908.82,1906.58,-0.0011734998585513612,-0.2488888888888899,-2.240000000000009
9/27/10,10/1/10,5,1905.15,1903.69,-0.0007663438574390659,-0.3650000000000091,-1.4600000000000364
5/4/11,5/14/11,12,1907.44,1902.54,-0.002568888143270609,-0.4454545454545537,-4.900000000000091
8/6/16,8/10/16,5,1909.23,1908.22,-0.0005290090769577217,-0.2524999999999977,-1.009999999999991
3/25/18,3/30/18,6,1907.73,1906.41,-0.0006919218128351162,-0.26399999999998724,-1.3199999999999363
7/20/19,7/26/19,7,1907.44,1906.4,-0.000545233401836998,-0.17333333333332726,-1.0399999999999636
9/12/19,9/21/19,11,1910.84,1906.47,-0.002286952335098643,-0.43699999999998906,-4.369999999999891
4/14/20,4/24/20,12,1909.84,1908.11,-0.00090583504377331,-0.15727272727272892,-1.7300000000000182
