Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2003,11,0.6301369863013698,20.90909090909091,31.046752268897322,-0.0010142955521653982,0.0023815985816088864,-0.17028552683406306,0.08512022384277365,-0.8599999999996726
2004,10,0.5095890410958904,18.6,17.65899204371529,-0.00089106029737518,0.0013430650704085684,-0.19488177839897505,0.12011444140441646,-1.1499999999996362
2005,11,0.5808219178082191,19.272727272727273,26.96830095127142,-0.0014120460343234787,0.0030588452685743773,-0.24541841511693321,0.23358423171152468,-1.3100000000004002
2006,8,0.5287671232876713,24.125,30.407390137925354,-0.0017900815051543272,0.0033095554354264237,-0.24828072254542843,0.18727481342973118,-1.019999999999527
2007,13,0.6301369863013698,17.692307692307693,12.904290374103164,-0.0013776456668632571,0.001752699896201513,-0.3438812379865892,0.2157071971560389,-1.2199999999993452
2008,11,0.4301369863013699,14.272727272727273,7.9554544935124305,-0.0007800860949541967,0.001089837419211327,-0.24388238024601663,0.17984183987417487,-1.1300000000001091
2009,11,0.4602739726027397,15.272727272727273,14.623088276550943,-0.0008067241698948756,0.0017293468027955662,-0.20163170163170163,0.15122714842943372,-1.3699999999998909
2010,12,0.5972602739726027,18.166666666666668,18.16513755032486,-0.0013501672658987787,0.002681646653159913,-0.25963950923628343,0.21432596091861109,-1.5799999999999272
2011,10,0.4136986301369863,15.1,11.69144986731757,-0.0012006133442899456,0.0019345049360146927,-0.38418209241738654,0.2276336180814461,-1.860000000000582
2012,12,0.589041095890411,17.916666666666668,11.87755820397816,-0.0007867969799823768,0.0009151644333746374,-0.20575581825581826,0.10892276618131924,-1.0299999999997453
2013,8,0.5397260273972603,24.625,18.920475020463943,-0.0016573738313953,0.002180752909512957,-0.2692063492063492,0.20565371193232684,-1.2399999999997817
2014,12,0.4383561643835616,13.333333333333334,4.921607686744466,-0.0004929236241868637,0.00048584175376555804,-0.19441844919786097,0.1021863513982615,-0.8000000000001819
2015,13,0.6547945205479452,18.384615384615383,30.259234983309604,-0.001002419409753103,0.002819347709083976,-0.15861868270443302,0.10596266874507998,-0.8800000000001091
2016,8,0.5452054794520548,24.875,33.73587667454338,-0.0015649509735695263,0.0033516831036888607,-0.19572149826574609,0.13117601054510925,-0.8400000000001455
2017,8,0.5397260273972603,24.625,31.54733546593119,-0.0014123228103505095,0.0028146609380629694,-0.20773406240695957,0.10701505328263082,-0.9400000000005093
2018,7,0.43561643835616437,22.714285714285715,24.17031405738562,-0.0018406454498930557,0.0030138990447431276,-0.3036573693535719,0.18881950362803926,-1.0100000000002183
2019,9,0.46301369863013697,18.77777777777778,15.682812798855652,-0.0009464435920261393,0.001521161675976131,-0.21678020421189823,0.10705642187585383,-0.9000000000005457
2020,32,0.9643835616438357,11.0,1.713913650100261,-0.00026128814801272646,8.714265707131358e-05,-0.148971688034188,0.039261111908086954,-0.5500000000001819
2021,3,0.08767123287671233,10.666666666666666,0.4714045207910317,-0.0003474635687750629,0.00014185143153167036,-0.20370370370370372,0.07715802465185058,-0.4099999999998545
