Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
2/19/97,2/27/97,9,7672.56,7672.3,-3.388699469280374e-05,-0.032500000000027285,-0.2600000000002183
4/1/97,4/16/97,17,7672.4,7668.9,-0.00045618059538084563,-0.21875,-3.5
4/22/97,4/30/97,9,7673.14,7672.77,-4.822015498217038e-05,-0.04624999999998636,-0.36999999999989086
5/20/97,5/30/97,12,7677.09,7675.46,-0.00021232003272074563,-0.1481818181818281,-1.6300000000001091
6/9/97,6/13/97,5,7676.88,7676.25,-8.20645887391895e-05,-0.15750000000002728,-0.6300000000001091
6/14/97,6/25/97,13,7677.25,7676.53,-9.378358136054638e-05,-0.060000000000021224,-0.7200000000002547
7/1/97,7/5/97,5,7676.8,7676.49,-4.038140892043562e-05,-0.07750000000010004,-0.3100000000004002
7/14/97,7/22/97,10,7676.62,7676.01,-7.946205491475058e-05,-0.0677777777777414,-0.6099999999996726
8/7/97,9/18/97,44,7677.91,7674.6,-0.0004311069027898856,-0.07697674418603467,-3.3099999999994907
4/3/98,4/11/98,10,7675.31,7674.52,-0.00010292743876142639,-0.08777777777777374,-0.7899999999999636
5/29/98,6/6/98,10,7677.71,7676.64,-0.0001393644719583976,-0.11888888888885656,-1.069999999999709
9/16/98,10/5/98,21,7675.23,7673.96,-0.00016546735407271535,-0.06349999999997635,-1.269999999999527
4/15/99,4/28/99,15,7677.48,7675.65,-0.00023835946169836032,-0.1307142857142805,-1.8299999999999272
5/5/99,5/13/99,10,7676.11,7675.85,-3.387132284442365e-05,-0.028888888888812088,-0.2599999999993088
5/25/99,6/2/99,10,7676.8,7676.17,-8.206544393498713e-05,-0.07000000000001212,-0.6300000000001091
4/19/00,4/25/00,7,7676.91,7676.6,-4.038083030796124e-05,-0.05166666666658178,-0.3099999999994907
4/29/00,5/7/00,10,7677.31,7676.54,-0.00010029554622653463,-0.08555555555560407,-0.7700000000004366
5/12/00,5/16/00,5,7676.55,7676.14,-5.34094091746754e-05,-0.10249999999996362,-0.4099999999998545
5/27/00,6/1/00,6,7676.92,7676.54,-4.9499017835291907e-05,-0.07600000000002183,-0.38000000000010914
6/4/00,6/13/00,11,7677.45,7676.85,-7.815094855706704e-05,-0.05999999999994543,-0.5999999999994543
6/21/00,6/29/00,10,7677.29,7676.89,-5.210171818436404e-05,-0.04444444444440402,-0.3999999999996362
6/30/00,7/15/00,17,7676.89,7676.44,-5.8617487029347506e-05,-0.028125000000045475,-0.4500000000007276
7/18/00,7/25/00,8,7676.91,7676.64,-3.517040059080113e-05,-0.03857142857136101,-0.26999999999952706
7/31/00,10/3/00,66,7677.43,7670.44,-0.0009104609224702395,-0.10753846153847217,-6.990000000000691
4/22/01,5/9/01,19,7677.32,7677.12,-2.605075729549089e-05,-0.011111111111101005,-0.1999999999998181
5/12/01,5/22/01,12,7677.36,7676.15,-0.00015760626048537992,-0.1100000000000033,-1.2100000000000364
10/26/01,11/7/01,14,7674.67,7669.92,-0.0006189191196494442,-0.36538461538461536,-4.75
5/9/02,5/17/02,10,7677.45,7676.84,-7.945346436638111e-05,-0.0677777777777414,-0.6099999999996726
5/22/02,5/30/02,10,7676.89,7676.2,-8.988014677825386e-05,-0.07666666666672325,-0.6900000000005093
6/6/02,7/27/02,53,7676.4,7672.8,-0.0004689698296075575,-0.06923076923075874,-3.5999999999994543
4/20/03,4/25/03,6,7676.46,7676.23,-2.9961727150336604e-05,-0.04600000000009459,-0.23000000000047294
4/30/03,5/8/03,10,7676.94,7676.1,-0.00010941859647193231,-0.09333333333324845,-0.839999999999236
5/17/03,5/25/03,10,7677.39,7676.45,-0.00012243744293314647,-0.10444444444450103,-0.9400000000005093
6/28/03,7/6/03,10,7676.87,7676.66,-2.735489854589649e-05,-0.023333333333337376,-0.21000000000003638
8/12/03,8/28/03,18,7677.81,7676.94,-0.00011331356207053838,-0.051176470588282376,-0.8700000000008004
9/20/03,10/4/03,16,7677.3,7676.4,-0.0001172287132195623,-0.06000000000003638,-0.9000000000005457
10/31/03,11/5/03,6,7676.6,7676.4,-2.6053200635792874e-05,-0.040000000000145516,-0.2000000000007276
3/27/04,4/4/04,9,7676.83,7676.43,-5.210484014881614e-05,-0.049999999999954525,-0.3999999999996362
4/9/04,4/14/04,6,7677.15,7676.87,-3.647186781549734e-05,-0.05599999999994907,-0.27999999999974534
5/8/04,5/18/04,12,7677.63,7676.01,-0.00021100261408792698,-0.14727272727271734,-1.6199999999998909
5/30/04,6/11/04,14,7677.47,7676.88,-7.68482325557958e-05,-0.04538461538462658,-0.5900000000001455
8/12/04,8/31/04,21,7676.73,7675.88,-0.00011072422763330928,-0.04249999999997271,-0.8499999999994543
10/21/04,10/29/04,10,7677.89,7677.13,-9.898552857623881e-05,-0.08444444444446869,-0.7600000000002183
10/31/04,11/7/04,8,7676.94,7676.69,-3.2565058473819e-05,-0.03571428571428571,-0.25
4/19/05,4/27/05,10,7677.41,7676.15,-0.00016411784703437987,-0.14000000000002424,-1.2600000000002183
4/29/05,5/6/05,8,7676.09,7675.71,-4.950437006341889e-05,-0.054285714285729876,-0.38000000000010914
5/11/05,5/19/05,10,7677.4,7676.2,-0.000156302915049342,-0.13333333333331313,-1.199999999999818
5/22/05,5/30/05,10,7677.69,7677.39,-3.907425280250602e-05,-0.03333333333325249,-0.2999999999992724
5/31/05,6/12/05,14,7677.39,7675.57,-0.00023705972993434205,-0.1400000000000476,-1.8200000000006185
6/25/05,7/3/05,10,7676.0,7675.63,-4.82021886399024e-05,-0.04111111111109898,-0.36999999999989086
11/17/05,12/9/05,24,7677.18,7675.16,-0.00026311744677087637,-0.08782608695654072,-2.0200000000004366
3/2/06,3/9/06,8,7675.17,7674.97,-2.605805474013189e-05,-0.028571428571402584,-0.1999999999998181
4/18/06,4/26/06,10,7676.06,7674.94,-0.0001459081872732626,-0.12444444444453337,-1.1200000000008004
5/14/06,5/25/06,13,7677.57,7676.88,-8.987218612133785e-05,-0.057499999999966654,-0.6899999999995998
5/28/06,6/3/06,7,7676.84,7676.62,-2.8657624751884195e-05,-0.03666666666670911,-0.22000000000025466
6/8/06,6/16/06,10,7676.68,7675.66,-0.00013286993856724997,-0.11333333333338184,-1.0200000000004366
9/6/06,9/14/06,10,7675.25,7673.97,-0.00016676981205820596,-0.14222222222219394,-1.2799999999997453
10/10/06,10/21/06,13,7676.79,7675.92,-0.00011332861782071554,-0.0724999999999909,-0.8699999999998909
5/5/07,5/13/07,10,7677.62,7676.2,-0.0001849531495437483,-0.15777777777778587,-1.4200000000000728
7/7/07,7/18/07,13,7677.15,7676.22,-0.00012113870381578861,-0.07749999999994846,-0.9299999999993815
