Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
1997,14,0.34794520547945207,9.071428571428571,2.658256295132628,-0.00020473549597193995,9.491821835503084e-05,-0.21144252572824002,0.10570542790235694,-1.0299999999997453
1998,6,0.15616438356164383,9.5,1.6072751268321592,-0.00017369309879496778,6.139478898812008e-05,-0.17407407407407408,0.10612258356958817,-1.1300000000001091
1999,7,0.1917808219178082,10.0,0.5345224838248488,-0.00014888222320696547,4.5575294874840064e-05,-0.12579365079365082,0.030671291839586674,-0.36999999999989086
2000,9,0.2191780821917808,8.88888888888889,3.4138425546082702,-0.00015923400578312763,5.416605494629325e-05,-0.17307692307692307,0.05778456272641543,-0.5299999999997453
2001,6,0.1506849315068493,9.166666666666666,1.4624940645653532,-0.0002388340213048827,0.0001905661891324747,-0.23564814814814816,0.17707047278403476,-1.6400000000003274
2002,9,0.23835616438356164,9.666666666666666,2.1081851067789192,-0.0001447456616617454,4.094385704553209e-05,-0.1319088319088319,0.03148373739838475,-0.4600000000000364
2003,10,0.25205479452054796,9.2,1.3266499161421599,-0.00013025751931417762,5.0895760291572126e-09,-0.12634920634920635,0.027558773859315187,-0.6399999999994179
2004,6,0.1589041095890411,9.666666666666666,0.74535599249993,-0.00015195777497715375,4.8534628022536814e-05,-0.1349206349206349,0.04072699555116574,-0.5500000000001819
2005,11,0.2547945205479452,8.454545454545455,2.2709083630539633,-0.00018946640841811246,6.485513247302284e-05,-0.2343434343434344,0.14985623828810682,-0.6999999999998181
2006,7,0.16986301369863013,8.857142857142858,1.5518257844571737,-0.0001674882583732548,5.8848184233116904e-05,-0.16746031746031748,0.053979924041688734,-0.47000000000025466
2007,7,0.16986301369863013,8.857142857142858,2.695423180587601,-0.00018607247601829343,9.486541001791817e-05,-0.20253357753357754,0.12935213547073515,-0.9700000000002547
2008,11,0.28493150684931506,9.454545454545455,0.9875254992000196,-0.00014210867702595337,3.744445446076692e-05,-0.1316738816738817,0.04126769689380437,-1.180000000000291
2009,8,0.2054794520547945,9.375,1.653594569415369,-0.00017910854685678867,9.06310570121933e-05,-0.20486111111111113,0.20922840132198373,-0.8499999999994543
2010,10,0.26301369863013696,9.6,1.2,-0.0001302626097742742,6.7878695070018414e-09,-0.12000000000000002,0.026666666666666672,-1.0300000000006548
2011,11,0.26575342465753427,8.818181818181818,2.4052284646041735,-0.00023683956598288325,0.00017403459135283592,-0.24365079365079367,0.15450546704932427,-1.5100000000002183
2012,13,0.3287671232876712,9.23076923076923,1.4756404687116058,-0.0001302761882348248,1.8830455940248288e-08,-0.12820512820512822,0.03819351053786214,-0.5999999999994543
2013,4,0.1095890410958904,10.0,1.4142135623730951,-0.00016283674705472645,5.6396546912744314e-05,-0.13672438672438672,0.0290823865467927,-1.1099999999996726
2014,12,0.29863013698630136,9.083333333333334,1.6562172428626492,-0.00015199454223629652,4.855613035243369e-05,-0.15509259259259262,0.07123464145106073,-0.8599999999996726
2015,10,0.2547945205479452,9.3,1.4177446878757824,-0.00014329362402866407,3.906362776212523e-05,-0.1366666666666667,0.04099081499043715,-0.569999999999709
2016,11,0.3178082191780822,10.545454545454545,1.233150906022776,-0.00017764317510148228,6.265422146890836e-05,-0.14162605071695983,0.04397763359171388,-0.6000000000003638
2017,13,0.2876712328767123,8.076923076923077,2.0554444947519057,-0.00023050692046719056,0.00016281262570621053,-0.2623765123765124,0.16590513499653983,-1.2199999999993452
2018,9,0.2136986301369863,8.666666666666666,2.1602468994692865,-0.0002171062351430978,8.683759246444069e-05,-0.2477954144620811,0.15675748525018726,-1.6499999999996362
2019,11,0.27945205479452057,9.272727272727273,2.0489868490153897,-0.00021316841457881308,0.0001275536995879617,-0.21212121212121213,0.13150723804334888,-0.9700000000002547
2020,14,0.36712328767123287,9.571428571428571,1.8789923482808437,-0.00017679612317141844,7.949409754086951e-05,-0.1615842490842491,0.07077080209830451,-0.6000000000003638
2021,2,0.0547945205479452,10.0,0.0,-0.00013026770067640442,8.484836883752302e-09,-0.1111111111111111,0.0,-0.17000000000007276
