Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
1/9/97,1/18/97,10,2072.0,2071.0,-0.00048262548262548264,-0.1111111111111111,-1.0
2/17/97,2/26/97,10,2071.0,2070.0,-0.0004828585224529213,-0.1111111111111111,-1.0
3/27/97,4/5/97,10,2070.0,2069.0,-0.0004830917874396135,-0.1111111111111111,-1.0
5/8/97,5/17/97,10,2069.0,2068.0,-0.0004833252779120348,-0.1111111111111111,-1.0
7/5/97,8/11/97,38,2076.0,2065.0,-0.0052986512524084775,-0.2972972972972973,-11.0
8/16/97,9/23/97,39,2065.0,2040.0,-0.012106537530266344,-0.6578947368421053,-25.0
2/19/98,2/28/98,10,2042.0,2041.0,-0.0004897159647404506,-0.1111111111111111,-1.0
4/2/98,4/6/98,5,2042.0,2041.0,-0.0004897159647404506,-0.25,-1.0
7/9/98,7/25/98,17,2076.0,2071.0,-0.0024084778420038534,-0.3125,-5.0
8/7/98,9/22/98,47,2071.0,2042.0,-0.014002897151134718,-0.6304347826086957,-29.0
12/10/98,12/19/98,10,2044.0,2043.0,-0.0004892367906066536,-0.1111111111111111,-1.0
3/11/99,3/20/99,10,2043.0,2042.0,-0.0004894762604013706,-0.1111111111111111,-1.0
7/23/99,8/13/99,22,2072.0,2067.0,-0.002413127413127413,-0.23809523809523808,-5.0
8/17/99,8/30/99,14,2068.0,2065.0,-0.0014506769825918763,-0.23076923076923078,-3.0
10/11/99,10/20/99,10,2068.0,2067.0,-0.00048355899419729207,-0.1111111111111111,-1.0
11/4/99,11/13/99,10,2067.0,2066.0,-0.0004837929366231253,-0.1111111111111111,-1.0
12/8/99,12/17/99,10,2066.0,2065.0,-0.000484027105517909,-0.1111111111111111,-1.0
1/12/00,1/21/00,10,2065.0,2064.0,-0.00048426150121065375,-0.1111111111111111,-1.0
2/29/00,3/9/00,10,2064.0,2063.0,-0.00048449612403100775,-0.1111111111111111,-1.0
4/8/00,4/15/00,8,2063.0,2062.0,-0.0004847309743092584,-0.14285714285714285,-1.0
6/17/00,7/3/00,17,2076.0,2072.0,-0.0019267822736030828,-0.25,-4.0
7/10/00,7/21/00,12,2072.0,2069.0,-0.0014478764478764478,-0.2727272727272727,-3.0
8/8/00,8/19/00,12,2073.0,2070.0,-0.001447178002894356,-0.2727272727272727,-3.0
9/3/00,9/12/00,10,2071.0,2069.0,-0.0009657170449058426,-0.2222222222222222,-2.0
10/15/00,10/24/00,10,2069.0,2068.0,-0.0004833252779120348,-0.1111111111111111,-1.0
11/28/00,12/7/00,10,2068.0,2067.0,-0.00048355899419729207,-0.1111111111111111,-1.0
1/7/01,1/16/01,10,2067.0,2066.0,-0.0004837929366231253,-0.1111111111111111,-1.0
3/3/01,3/12/01,10,2066.0,2065.0,-0.000484027105517909,-0.1111111111111111,-1.0
7/5/01,7/12/01,8,2073.0,2072.0,-0.000482392667631452,-0.14285714285714285,-1.0
7/20/01,7/30/01,11,2073.0,2071.0,-0.000964785335262904,-0.2,-2.0
8/1/01,8/18/01,18,2071.0,2064.0,-0.003380009657170449,-0.4117647058823529,-7.0
8/21/01,9/4/01,15,2064.0,2059.0,-0.0024224806201550387,-0.35714285714285715,-5.0
10/2/01,10/11/01,10,2060.0,2059.0,-0.0004854368932038835,-0.1111111111111111,-1.0
11/9/01,11/18/01,10,2059.0,2058.0,-0.00048567265662943174,-0.1111111111111111,-1.0
1/4/02,1/13/02,10,2058.0,2057.0,-0.00048590864917395527,-0.1111111111111111,-1.0
2/25/02,3/6/02,10,2057.0,2056.0,-0.0004861448711716091,-0.1111111111111111,-1.0
4/18/02,4/26/02,9,2056.0,2055.0,-0.00048638132295719845,-0.125,-1.0
6/24/02,8/6/02,44,2076.0,2057.0,-0.009152215799614644,-0.4418604651162791,-19.0
8/9/02,9/13/02,36,2057.0,2040.0,-0.008264462809917356,-0.4857142857142857,-17.0
1/5/03,1/14/03,10,2042.0,2041.0,-0.0004897159647404506,-0.1111111111111111,-1.0
6/23/03,9/10/03,51,2076.0,2047.0,-0.013969171483622351,-0.58,-29.0
10/24/03,11/2/03,10,2052.0,2051.0,-0.0004873294346978557,-0.1111111111111111,-1.0
12/15/03,12/24/03,10,2051.0,2050.0,-0.00048756704046806434,-0.1111111111111111,-1.0
2/19/04,2/28/04,10,2050.0,2049.0,-0.0004878048780487805,-0.1111111111111111,-1.0
7/3/04,7/8/04,6,2076.0,2075.0,-0.0004816955684007707,-0.2,-1.0
7/19/04,9/8/04,52,2076.0,2045.0,-0.014932562620423893,-0.6078431372549019,-31.0
11/3/04,11/12/04,10,2050.0,2049.0,-0.0004878048780487805,-0.1111111111111111,-1.0
1/16/05,1/20/05,5,2049.0,2048.0,-0.0004880429477794046,-0.25,-1.0
1/21/05,1/30/05,10,2049.0,2048.0,-0.0004880429477794046,-0.1111111111111111,-1.0
7/4/05,8/14/05,42,2076.0,2058.0,-0.008670520231213872,-0.43902439024390244,-18.0
8/16/05,8/26/05,11,2058.0,2056.0,-0.0009718172983479105,-0.2,-2.0
8/28/05,9/16/05,20,2056.0,2049.0,-0.003404669260700389,-0.3684210526315789,-7.0
10/22/05,10/31/05,10,2050.0,2049.0,-0.0004878048780487805,-0.1111111111111111,-1.0
12/6/05,12/15/05,10,2049.0,2048.0,-0.0004880429477794046,-0.1111111111111111,-1.0
2/10/06,2/19/06,10,2048.0,2047.0,-0.00048828125,-0.1111111111111111,-1.0
6/29/06,7/11/06,13,2072.0,2070.0,-0.0009652509652509653,-0.16666666666666666,-2.0
7/15/06,8/5/06,22,2069.0,2061.0,-0.0038666022232962784,-0.38095238095238093,-8.0
8/17/06,9/15/06,30,2064.0,2051.0,-0.006298449612403101,-0.4482758620689655,-13.0
9/26/06,10/5/06,10,2053.0,2052.0,-0.0004870920603994155,-0.1111111111111111,-1.0
11/25/06,12/4/06,10,2052.0,2051.0,-0.0004873294346978557,-0.1111111111111111,-1.0
2/8/07,2/17/07,10,2051.0,2050.0,-0.00048756704046806434,-0.1111111111111111,-1.0
3/2/07,3/11/07,10,2051.0,2050.0,-0.00048756704046806434,-0.1111111111111111,-1.0
7/3/07,7/15/07,13,2075.0,2072.0,-0.0014457831325301205,-0.25,-3.0
7/18/07,8/26/07,40,2071.0,2058.0,-0.006277160791887977,-0.3333333333333333,-13.0
8/28/07,9/19/07,23,2058.0,2049.0,-0.004373177842565598,-0.4090909090909091,-9.0
12/7/07,12/16/07,10,2050.0,2049.0,-0.0004878048780487805,-0.1111111111111111,-1.0
2/16/08,2/25/08,10,2049.0,2048.0,-0.0004880429477794046,-0.1111111111111111,-1.0
7/11/08,7/20/08,10,2075.0,2073.0,-0.0009638554216867469,-0.2222222222222222,-2.0
7/24/08,9/9/08,48,2073.0,2049.0,-0.011577424023154847,-0.5106382978723404,-24.0
11/30/08,12/9/08,10,2051.0,2050.0,-0.00048756704046806434,-0.1111111111111111,-1.0
2/20/09,3/1/09,10,2050.0,2049.0,-0.0004878048780487805,-0.1111111111111111,-1.0
4/14/09,4/23/09,10,2049.0,2048.0,-0.0004880429477794046,-0.1111111111111111,-1.0
7/8/09,7/19/09,12,2074.0,2071.0,-0.0014464802314368371,-0.2727272727272727,-3.0
7/22/09,8/8/09,18,2071.0,2066.0,-0.0024142926122646064,-0.29411764705882354,-5.0
8/12/09,9/24/09,44,2067.0,2047.0,-0.009675858732462506,-0.46511627906976744,-20.0
1/27/10,2/5/10,10,2048.0,2047.0,-0.00048828125,-0.1111111111111111,-1.0
7/18/10,7/27/10,10,2075.0,2074.0,-0.00048192771084337347,-0.1111111111111111,-1.0
7/29/10,9/14/10,48,2073.0,2049.0,-0.011577424023154847,-0.5106382978723404,-24.0
11/17/10,11/26/10,10,2050.0,2049.0,-0.0004878048780487805,-0.1111111111111111,-1.0
1/31/11,2/9/11,10,2049.0,2048.0,-0.0004880429477794046,-0.1111111111111111,-1.0
7/22/11,8/14/11,24,2073.0,2065.0,-0.003859141341051616,-0.34782608695652173,-8.0
8/23/11,9/17/11,26,2066.0,2048.0,-0.008712487899322363,-0.72,-18.0
10/19/11,10/28/11,10,2050.0,2049.0,-0.0004878048780487805,-0.1111111111111111,-1.0
12/31/11,1/9/12,10,2049.0,2048.0,-0.0004880429477794046,-0.1111111111111111,-1.0
3/14/12,3/23/12,10,2048.0,2047.0,-0.00048828125,-0.1111111111111111,-1.0
6/16/12,8/6/12,52,2070.0,2043.0,-0.013043478260869565,-0.5294117647058824,-27.0
8/13/12,8/25/12,13,2048.0,2043.0,-0.00244140625,-0.4166666666666667,-5.0
8/29/12,9/7/12,10,2043.0,2042.0,-0.0004894762604013706,-0.1111111111111111,-1.0
9/8/12,9/17/12,10,2042.0,2041.0,-0.0004897159647404506,-0.1111111111111111,-1.0
11/5/12,11/14/12,10,2066.0,2065.0,-0.000484027105517909,-0.1111111111111111,-1.0
11/29/12,12/8/12,10,2065.0,2064.0,-0.00048426150121065375,-0.1111111111111111,-1.0
12/31/12,1/9/13,10,2064.0,2063.0,-0.00048449612403100775,-0.1111111111111111,-1.0
2/10/13,2/19/13,10,2063.0,2062.0,-0.0004847309743092584,-0.1111111111111111,-1.0
3/23/13,4/1/13,10,2062.0,2061.0,-0.00048496605237633366,-0.1111111111111111,-1.0
