Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
9/10/97,9/23/97,15,2050.75,2040.51,-0.004993295135925885,-0.7314285714285721,-10.240000000000009
9/12/98,9/23/98,13,2051.35,2042.75,-0.0041923611280375896,-0.7166666666666591,-8.599999999999909
6/23/03,9/10/03,52,2076.08,2047.83,-0.013607375438326077,-0.553921568627451,-28.25
8/18/04,9/11/04,26,2057.28,2045.08,-0.005930160211541585,-0.4880000000000109,-12.200000000000273
9/10/11,9/18/11,10,2051.71,2048.71,-0.0014621949495786442,-0.3333333333333333,-3.0
8/1/12,8/9/12,9,2047.16,2045.93,-0.0006008323726528548,-0.15375000000000227,-1.2300000000000182
8/14/12,9/16/12,35,2047.06,2041.47,-0.0027307455570427432,-0.16441176470587995,-5.589999999999918
9/9/14,9/18/14,11,2055.49,2049.67,-0.002831441651382254,-0.5819999999999709,-5.819999999999709
9/10/15,9/18/15,10,2052.1,2048.95,-0.0015350129136007461,-0.3500000000000101,-3.150000000000091
8/10/16,9/14/16,28,2071.54,2058.4,-0.006343107060447721,-0.486666666666662,-13.139999999999873
