Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
2/15/97,2/16/97,2,2071.0,2070.0,-1.0
3/27/98,3/28/98,2,2042.0,2041.0,-1.0
12/8/98,12/9/98,2,2044.0,2043.0,-1.0
3/6/99,3/7/99,2,2043.0,2042.0,-1.0
5/15/01,5/18/01,4,2065.0,2064.0,-1.0
4/4/03,4/5/03,2,2041.0,2040.0,-1.0
4/6/05,4/9/05,4,2048.0,2047.0,-1.0
4/11/05,4/14/05,4,2048.0,2047.0,-1.0
10/20/05,10/21/05,2,2050.0,2049.0,-1.0
9/24/06,9/25/06,2,2053.0,2052.0,-1.0
2/21/07,2/22/07,2,2051.0,2050.0,-1.0
10/3/11,10/6/11,4,2050.0,2049.0,-1.0
2/7/13,2/9/13,3,2063.0,2062.0,-1.0
5/27/13,5/28/13,2,2077.0,2076.0,-1.0
4/13/14,4/16/14,4,2048.0,2047.0,-1.0
6/29/14,6/30/14,2,2076.0,2075.0,-1.0
11/8/18,11/9/18,2,2056.0,2055.0,-1.0
11/25/18,11/26/18,2,2056.0,2055.0,-1.0
12/20/18,12/22/18,3,2056.0,2055.0,-1.0
12/23/18,12/25/18,3,2056.0,2055.0,-1.0
3/14/19,3/15/19,2,2056.0,2055.0,-1.0
12/21/19,12/22/19,2,2055.0,2054.0,-1.0
7/8/20,7/9/20,3,2070.0,2069.0,-1.0
