Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2004,7,0.2493150684931507,13.0,3.295017884191656,-0.00042425791406527897,0.00023697468656268703,-0.1783072399613753,0.05091046649742761,-0.339999999999236
2005,4,0.273972602739726,25.0,20.868636754709208,-0.0010159359745984527,0.001127597674607574,-0.18647741147741148,0.059051876681411805,-0.4499999999998181
2006,3,0.2465753424657534,30.0,30.430248109405877,-0.001415627537382643,0.0016114657700041213,-0.24074074074074073,0.09442628728875527,-0.3999999999996362
2007,6,0.3589041095890411,21.833333333333332,22.923180892324307,-0.0016345689707879685,0.002671133683009391,-0.2751715876715877,0.1558437523944714,-0.7999999999992724
2008,8,0.273972602739726,12.5,4.69041575982343,-0.0003714237342686617,0.00022744002181411332,-0.16513157894736843,0.0437463815209119,-0.46999999999934516
2009,7,0.19726027397260273,10.285714285714286,1.6659862556700857,-0.00029039927464830534,0.0001346724555169459,-0.1644863073434502,0.0535521816903094,-0.3000000000001819
2010,7,0.26575342465753427,13.857142857142858,5.462301226944332,-0.0004751300315872002,0.00031034221267864544,-0.18544011544011543,0.052879271731949576,-0.3900000000003274
2011,9,0.2684931506849315,10.88888888888889,1.3698697784375502,-0.0002462675512551636,8.707680420713106e-05,-0.1315721315721316,0.029920976196119303,-0.2999999999992724
2012,8,0.35342465753424657,16.125,9.584329658353786,-0.0006240771536081672,0.0006717212804343905,-0.1763128239801668,0.0784553694776708,-0.5500000000001819
2013,6,0.3287671232876712,20.0,9.237604307034012,-0.0008637942386799939,0.0005818366888919143,-0.21877347189847193,0.06488848741724336,-0.5900000000001455
2014,5,0.2219178082191781,16.2,4.445222154178574,-0.0006291026943137112,0.000342488983686041,-0.21144688644688645,0.04927420735400107,-0.5900000000001455
2015,7,0.3041095890410959,15.857142857142858,9.44803186502083,-0.0006340461386642725,0.0006464815700847506,-0.19105970870676753,0.09112953659584011,-0.4600000000000364
2016,7,0.3095890410958904,16.142857142857142,17.971632976352893,-0.0006335670628589941,0.0010989068030322715,-0.15945655098197473,0.06787852002636699,-0.5099999999993088
2017,6,0.23835616438356164,14.5,8.751190395216717,-0.0004924876937113553,0.00046086237713787614,-0.17474747474747473,0.06704057982240452,-0.4499999999998181
2018,6,0.3643835616438356,22.166666666666668,19.05620342274108,-0.0009861841070311552,0.001033352659640474,-0.21419025906855518,0.07824846623621308,-0.47000000000025466
2019,5,0.18082191780821918,13.2,5.455272678794342,-0.0004064495948811724,0.0003581911711410639,-0.1552042160737813,0.05950810851981817,-0.38000000000010914
2020,5,0.3452054794520548,25.2,26.07220742476555,-0.0011821150816472253,0.0016371598036969707,-0.1946611627106983,0.07786248156120532,-0.4899999999997817
