Year, Number of Drawdowns, Percent of Year in Drawdown, Average Days of Drawdown, SD of Drawdown, Average Percent Difference, SD Percent Difference, Average Rate of Change, SD Rate of Change, Max Daily Drawdown
2003,23,0.6438356164383562,10.217391304347826,2.4839751055801216,-0.0007950435341200844,0.00040235715398506867,-1.0558486887508298,0.8791149430127747,-10.609999999999673
2004,27,0.7397260273972602,10.0,2.6105200276601623,-0.0007912432553888954,0.0002905096992595737,-1.3224548928437545,1.201057990875669,-7.239999999999782
2005,34,0.8410958904109589,9.029411764705882,3.043655833114156,-0.0006884810673653376,0.0003938252604677175,-1.1162909455740224,0.7827361926244636,-10.970000000000255
2006,29,0.7726027397260274,9.724137931034482,2.8755395502606045,-0.0005598666999711083,0.00021977805528950036,-0.8589401030004389,0.6336083623702983,-5.880000000000109
2007,33,0.7917808219178082,8.757575757575758,2.7855721683106416,-0.0007011041217533124,0.00031665937378431356,-1.3353394753395238,1.0891464560418136,-7.220000000000255
2008,25,0.7041095890410959,10.28,3.053129541961821,-0.0007400250041084508,0.0004015380830441618,-0.9588112626262827,0.8857043705220778,-8.970000000000255
2009,25,0.7095890410958904,10.36,2.496076921891631,-0.0006698832359632506,0.00032229588948928903,-1.0160611111111253,0.8395803655513067,-7.329999999999927
2010,26,0.7095890410958904,9.961538461538462,3.7874364095272965,-0.0008063750790190803,0.0004940683908121354,-1.1082848124098175,0.9364591731962068,-14.610000000000582
2011,23,0.6246575342465753,9.91304347826087,2.7961626418806134,-0.0007656779557543972,0.00033380919796903967,-1.7493522178304621,1.398026872787634,-7.709999999999127
2012,29,0.7726027397260274,9.724137931034482,3.3207451565526873,-0.0006755862859471842,0.0004008941216131375,-0.7685129923040871,0.4970073469257481,-8.1200000000008
2013,29,0.7479452054794521,9.413793103448276,2.9304259003076356,-0.0008809277901718784,0.0005411151054000421,-1.0948764989799036,0.6840551827358945,-15.789999999999964
2014,26,0.7013698630136986,9.846153846153847,2.4914053447233306,-0.0008509922571070231,0.0005111244857999579,-1.4708415516107363,1.7496281134531133,-15.069999999999709
2015,28,0.7095890410958904,9.25,3.1353400362412276,-0.0006496333401852652,0.00031030565552670565,-0.8185425170068054,0.4347252682092007,-7.609999999999673
2016,32,0.852054794520548,9.71875,3.5376049012714805,-0.0007510990389183976,0.0004952903679324543,-0.9990726794906611,0.8464590801214172,-14.700000000000728
2017,20,0.5287671232876713,9.65,2.937260628544903,-0.0008456886512734814,0.0006219257694005234,-1.3051968253967985,1.067575972411046,-14.779999999999745
2018,29,0.7589041095890411,9.551724137931034,2.3574709841568566,-0.0006276316046234031,0.00027671376058595115,-0.8484901267314947,0.7062296163088267,-7.030000000000655
2019,27,0.6986301369863014,9.444444444444445,2.7397395568751004,-0.0007313315213875167,0.0003940855073492947,-1.0081920928865724,0.8298954754410571,-9.539999999999964
2020,40,1,10.4,3.726929030716845,-0.0005647460920276597,0.00038071435255075117,-0.8852938650659954,1.060144492337189,-7.8100000000004
2021,9,0.24383561643835616,9.88888888888889,2.9606472432164948,-0.0006773816255586301,0.0003698168246950401,-0.8460682219014966,0.6259741715706445,-8.05999999999949
