Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
1/23/97,1/25/97,3,402.0,398.0,-4.0
2/3/98,2/6/98,4,428.0,419.0,-9.0
3/19/98,3/22/98,4,430.0,428.0,-2.0
2/4/99,2/6/99,3,421.0,420.0,-1.0
2/25/00,2/26/00,2,426.0,425.0,-1.0
12/10/01,12/12/01,3,384.0,383.0,-1.0
3/8/03,3/11/03,4,421.0,420.0,-1.0
3/18/05,3/21/05,4,435.0,433.0,-2.0
5/17/05,5/18/05,2,461.0,460.0,-1.0
6/6/05,6/8/05,3,464.0,463.0,-1.0
2/24/06,2/26/06,3,403.0,402.0,-1.0
4/1/06,4/2/06,2,441.0,440.0,-1.0
4/17/06,4/19/06,3,440.0,439.0,-1.0
12/10/09,12/11/09,2,383.0,382.0,-1.0
12/8/10,12/10/10,3,421.0,420.0,-1.0
7/5/11,7/6/11,2,464.0,463.0,-1.0
1/17/12,1/20/12,4,402.0,401.0,-1.0
12/24/12,12/25/12,2,428.0,427.0,-1.0
1/24/13,1/25/13,2,424.0,423.0,-1.0
4/23/14,4/24/14,2,421.0,420.0,-1.0
10/23/16,10/25/16,3,391.0,390.0,-1.0
12/14/16,12/15/16,2,431.0,428.0,-3.0
1/5/17,1/7/17,3,412.0,409.0,-3.0
4/5/18,4/6/18,2,450.0,448.0,-2.0
2/11/19,2/13/19,3,431.0,428.0,-3.0
5/20/19,5/21/19,2,462.0,461.0,-1.0
5/22/19,5/25/19,4,462.0,461.0,-1.0
4/12/21,4/13/21,2,398.0,397.0,-1.0
