Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
4/13/01,4/21/01,10,7881.36,7880.6,-9.643005775644163e-05,-0.08444444444436765,-0.7599999999993088
7/29/01,8/9/01,13,7944.71,7943.1,-0.0002026505687431854,-0.13416666666663937,-1.6099999999996726
8/15/01,11/24/01,98,7943.29,7906.06,-0.00468697479256071,-0.3838144329896862,-37.22999999999956
2/4/02,4/14/02,70,7903.57,7899.42,-0.0005250791730824977,-0.06014492753622661,-4.149999999999636
4/18/02,5/4/02,18,7899.93,7897.07,-0.0003620285243034536,-0.1682352941176813,-2.860000000000582
6/23/02,9/4/02,75,7910.19,7875.26,-0.004415823134463191,-0.47202702702701865,-34.92999999999938
10/25/02,11/19/02,27,7881.87,7874.22,-0.000970581854306102,-0.29423076923075525,-7.649999999999636
3/20/03,3/28/03,10,7865.24,7864.19,-0.00013349878706818633,-0.11666666666668687,-1.050000000000182
8/1/03,8/10/03,11,7949.44,7946.47,-0.0003736112229288284,-0.29699999999993454,-2.969999999999345
8/11/03,9/11/03,33,7946.47,7938.54,-0.0009979273815921147,-0.2478125000000091,-7.930000000000291
9/17/03,11/6/03,52,7938.91,7903.95,-0.0044036271981922,-0.6854901960784321,-34.960000000000036
7/29/04,9/23/04,58,7935.13,7917.77,-0.002187739835390179,-0.3045614035087662,-17.359999999999673
10/1/04,12/9/04,71,7917.9,7907.75,-0.0012819055557660032,-0.1449999999999948,-10.149999999999636
3/30/05,4/9/05,12,7900.54,7899.38,-0.00014682540687090432,-0.10545454545453223,-1.1599999999998545
7/25/05,8/2/05,10,7949.86,7949.64,-2.7673443305837484e-05,-0.024444444444371684,-0.21999999999934516
8/17/05,10/16/05,61,7949.13,7926.1,-0.002897172394966461,-0.3838333333333291,-23.029999999999745
10/27/05,11/10/05,16,7925.41,7923.03,-0.0003002999213920932,-0.15866666666667395,-2.380000000000109
11/27/05,4/13/06,139,7921.74,7893.81,-0.0035257405569987634,-0.2023913043478216,-27.92999999999938
8/18/06,10/6/06,51,7947.76,7928.38,-0.0024384229015471165,-0.38760000000000217,-19.38000000000011
12/20/06,4/24/07,127,7920.94,7898.27,-0.0028620340515139826,-0.1799206349206283,-22.669999999999163
8/9/07,11/25/07,110,7948.58,7914.74,-0.00425736420844983,-0.3104587155963316,-33.840000000000146
2/7/08,4/17/08,72,7909.39,7889.83,-0.0024730099287050456,-0.2754929577464845,-19.5600000000004
7/8/08,7/16/08,10,7949.42,7948.97,-5.6607903469664216e-05,-0.04999999999997979,-0.4499999999998181
8/26/08,11/29/08,97,7948.74,7901.5,-0.005943080286938532,-0.49208333333333104,-47.23999999999978
8/19/09,11/2/09,77,7947.73,7907.75,-0.005030367161441011,-0.5260526315789417,-39.97999999999956
11/20/09,12/6/09,18,7908.96,7908.28,-8.597843458562074e-05,-0.04000000000001712,-0.680000000000291
8/18/10,11/1/10,77,7948.5,7906.62,-0.005268918663898862,-0.5510526315789488,-41.88000000000011
3/4/11,5/14/11,73,7901.21,7881.4,-0.0025072109208590077,-0.27513888888889443,-19.8100000000004
7/21/11,7/29/11,10,7949.55,7949.3,-3.144832097414319e-05,-0.027777777777777776,-0.25
8/3/11,8/21/11,20,7949.3,7948.17,-0.00014215088120967997,-0.05947368421053206,-1.1300000000001091
9/22/11,3/26/12,188,7945.37,7906.44,-0.004899708887062565,-0.20818181818181974,-38.93000000000029
6/21/12,9/12/12,85,7928.27,7906.73,-0.002716860046391063,-0.25642857142858183,-21.540000000000873
9/19/12,2/11/13,147,7906.65,7891.68,-0.001893342945495165,-0.10253424657533798,-14.969999999999345
7/23/13,9/14/13,55,7944.36,7922.23,-0.0027856240150245094,-0.40981481481481685,-22.13000000000011
10/24/13,3/26/14,155,7925.83,7891.24,-0.004364211697702341,-0.22461038961039057,-34.590000000000146
4/5/14,4/13/14,10,7891.02,7890.22,-0.0001013810635380701,-0.0888888888889091,-0.8000000000001819
8/14/14,1/30/15,171,7948.63,7903.37,-0.005694063002051953,-0.26623529411764835,-45.26000000000022
2/23/15,3/26/15,33,7900.95,7897.52,-0.00043412501028349524,-0.10718749999998067,-3.4299999999993815
8/19/15,12/9/15,114,7948.42,7901.68,-0.005880413969065522,-0.41362831858406884,-46.73999999999978
3/25/16,4/11/16,19,7893.12,7891.15,-0.00024958444822836275,-0.1094444444444586,-1.9700000000002547
8/12/16,2/2/17,176,7948.61,7897.01,-0.006491701064714391,-0.29485714285713976,-51.599999999999454
8/16/17,4/23/18,252,7948.81,7891.16,-0.0072526579450258016,-0.22968127490040058,-57.650000000000546
7/18/18,4/8/19,266,7946.44,7879.02,-0.008484302404598684,-0.2544150943396195,-67.41999999999916
4/15/19,4/19/19,5,7879.23,7878.75,-6.091965839296016e-05,-0.11999999999989086,-0.47999999999956344
8/28/19,2/21/20,179,7948.86,7899.54,-0.006204663310210484,-0.27707865168539164,-49.31999999999971
4/16/20,4/26/20,22,7897.78,7896.36,-0.00017979736077734158,-0.06761904761905109,-1.4200000000000728
7/31/20,12/10/20,264,7949.01,7902.73,-0.0058221086651042905,-0.17596958174905192,-46.280000000000655
