Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
7/8/03,7/10/03,2,7944.0,7943.0,-1.0
7/14/04,7/15/04,2,7935.0,7934.0,-1.0
7/22/04,7/23/04,2,7936.0,7935.0,-1.0
7/8/05,7/9/05,2,7950.0,7949.0,-1.0
8/6/05,8/9/05,4,7950.0,7949.0,-1.0
6/30/06,7/1/06,2,7950.0,7949.0,-1.0
7/13/06,7/14/06,2,7950.0,7949.0,-1.0
7/22/06,7/23/06,2,7950.0,7949.0,-1.0
7/24/06,7/26/06,3,7950.0,7949.0,-1.0
6/26/07,6/28/07,3,7950.0,7949.0,-1.0
6/30/07,7/3/07,4,7950.0,7949.0,-1.0
7/8/07,7/11/07,4,7950.0,7949.0,-1.0
7/23/07,7/24/07,2,7950.0,7949.0,-1.0
11/25/08,11/27/08,3,7902.0,7901.0,-1.0
11/28/08,11/29/08,2,7902.0,7901.0,-1.0
6/27/09,6/30/09,4,7950.0,7949.0,-1.0
7/15/11,7/18/11,4,7950.0,7949.0,-1.0
3/25/15,3/26/15,2,7898.0,7897.0,-1.0
8/3/19,8/4/19,2,7950.0,7949.0,-1.0
