Start Date, End Date, Duration, Start Elevation, End Elevation, Drawdown
6/25/99,6/26/99,2,1731.0,1730.0,-1.0
6/14/02,6/15/02,2,1723.0,1722.0,-1.0
4/4/03,4/5/03,2,1716.0,1715.0,-1.0
2/17/04,2/18/04,2,1709.0,1708.0,-1.0
1/15/06,1/17/06,3,1706.0,1705.0,-1.0
1/18/06,1/19/06,2,1706.0,1705.0,-1.0
4/5/07,4/6/07,2,1711.0,1709.0,-2.0
7/8/07,7/9/07,2,1712.0,1711.0,-1.0
10/30/09,10/31/09,2,1731.0,1730.0,-1.0
2/21/11,2/23/11,3,1730.0,1729.0,-1.0
9/5/11,9/6/11,2,1729.0,1728.0,-1.0
9/10/12,9/11/12,2,1723.0,1722.0,-1.0
6/11/13,6/13/13,3,1724.0,1723.0,-1.0
6/21/14,6/23/14,3,1719.0,1718.0,-1.0
2/14/15,2/15/15,2,1716.0,1715.0,-1.0
2/18/15,2/19/15,2,1716.0,1715.0,-1.0
4/29/19,5/2/19,4,1731.0,1730.0,-1.0
8/11/20,8/12/20,2,1729.0,1728.0,-1.0
8/26/20,8/27/20,2,1728.0,1727.0,-1.0
